,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,MA Chidambaram Stadium,Chennai Super Kings,2008-04-23,,,0,3.0,36,12.0,-,-,0
1,2.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2008-04-25,,,0,3.0,27,9.0,-,-,0
2,3.0,Dr DY Patil Sports Academy,Deccan Chargers,2008-04-27,,,0,2.1,31,14.31,-,-,0
3,4.0,Eden Gardens,Kolkata Knight Riders,2008-04-29,1.0,119.0,1,4.0,25,6.25,25,24,0
4,5.0,Dr DY Patil Sports Academy,Delhi Capitals,2008-05-04,2.0,73.0,1,3.0,27,9.0,27,18,0
5,6.0,Dr DY Patil Sports Academy,Rajasthan Royals,2008-05-07,3.0,39.5,2,2.2,12,5.14,6,7,0
6,7.0,Wankhede Stadium,Chennai Super Kings,2008-05-14,5.0,32.5,2,4.0,37,9.25,18.5,12,0
7,8.0,Wankhede Stadium,Kolkata Knight Riders,2008-05-16,7.0,26.0,2,3.0,13,4.33,6.5,9,0
8,9.0,Rajiv Gandhi International Stadium,Deccan Chargers,2008-05-18,9.0,21.09,3,4.0,24,6.0,8,8,0
9,10.0,Newlands,Chennai Super Kings,2009-04-18,12.0,21.58,1,4.0,27,6.75,27,24,0
10,11.0,Kingsmead,Deccan Chargers,2009-04-25,13.0,19.53,3,4.0,34,8.5,11.3,8,0
11,12.0,St George's Park,Kolkata Knight Riders,2009-04-27,16.0,19.06,2,3.0,31,10.33,15.5,9,0
12,13.0,Kingsmead,Punjab Kings,2009-04-29,18.0,19.33,1,3.0,24,8.0,24,18,0
13,14.0,Wanderers Stadium,Royal Challengers Bangalore,2009-05-03,,21.11,0,3.0,32,10.67,-,-,0
14,15.0,SuperSport Park,Deccan Chargers,2009-05-06,19.0,20.84,1,3.0,16,5.33,16,18,0
15,16.0,Buffalo Park,Delhi Capitals,2009-05-08,,20.95,0,1.0,2,2.0,-,-,0
16,17.0,St George's Park,Royal Challengers Bangalore,2009-05-10,20.0,21.25,1,4.0,27,6.75,27,24,0
17,18.0,SuperSport Park,Punjab Kings,2009-05-12,,22.1,0,2.0,17,8.5,-,-,0
18,19.0,Kingsmead,Rajasthan Royals,2009-05-14,21.0,22.48,1,3.0,30,10.0,30,18,0
19,20.0,St George's Park,Chennai Super Kings,2009-05-16,22.0,22.32,1,3.1,19,6.0,19,19,0
20,21.0,Arun Jaitley Stadium,Delhi Capitals,2010-03-17,23.0,20.92,2,2.0,11,5.5,5.5,6,0
21,22.0,Barabati Stadium,Royal Challengers Bangalore,2010-03-20,,22.38,0,3.1,35,11.05,-,-,0
22,23.0,Brabourne Stadium,Kolkata Knight Riders,2010-03-22,,23.88,0,4.0,36,9.0,-,-,0
23,24.0,Brabourne Stadium,Chennai Super Kings,2010-03-25,,25.63,0,4.0,42,10.5,-,-,0
24,25.0,Dr DY Patil Sports Academy,Deccan Chargers,2010-03-28,,26.29,0,2.0,16,8.0,-,-,0
25,26.0,Brabourne Stadium,Punjab Kings,2010-03-30,25.0,26.12,1,3.0,22,7.33,22,18,0
26,27.0,Brabourne Stadium,Deccan Chargers,2010-04-03,,26.6,0,2.0,12,6.0,-,-,0
27,28.0,MA Chidambaram Stadium,Chennai Super Kings,2010-04-06,26.0,26.38,1,2.0,21,10.5,21,12,0
28,29.0,Brabourne Stadium,Delhi Capitals,2010-04-13,,27.38,0,2.0,26,13.0,-,-,0
29,30.0,Eden Gardens,Kolkata Knight Riders,2010-04-19,,27.65,0,2.0,7,3.5,-,-,0
30,31.0,Sawai Mansingh Stadium,Rajasthan Royals,2011-05-09,27.0,27.96,1,4.0,36,9.0,36,24,0
31,32.0,MA Chidambaram Stadium,Delhi Capitals,2011-05-12,28.0,26.76,2,3.0,21,7.0,10.5,9,0
32,33.0,MA Chidambaram Stadium,Kochi Tuskers Kerala,2011-05-18,30.0,27.07,1,4.0,36,9.0,36,24,0
33,34.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2011-05-22,,27.77,0,4.0,21,5.25,-,-,0
34,35.0,Wankhede Stadium,Royal Challengers Bangalore,2011-05-24,31.0,27.77,1,3.0,28,9.33,28,18,0
35,36.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2011-05-28,32.0,27.38,1,2.0,15,7.5,15,12,0
36,37.0,MA Chidambaram Stadium,Mumbai Indians,2012-04-04,33.0,26.97,1,3.0,14,4.67,14,18,0
37,38.0,Dr YS Rajasekhara Reddy Cricket Stadium,Deccan Chargers,2012-04-07,,27.27,0,1.0,10,10.0,-,-,0
38,39.0,Arun Jaitley Stadium,Delhi Capitals,2012-04-10,,27.42,0,1.0,5,5.0,-,-,0
39,40.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2012-04-12,,28.33,0,4.0,30,7.5,-,-,0
40,41.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-04-14,,29.27,0,3.0,31,10.33,-,-,0
41,42.0,MA Chidambaram Stadium,Pune Warriors,2012-04-19,34.0,28.4,2,4.0,28,7.0,14,12,0
42,43.0,MA Chidambaram Stadium,Rajasthan Royals,2012-04-21,,29.31,0,3.0,32,10.67,-,-,0
43,45.0,MA Chidambaram Stadium,Punjab Kings,2012-04-28,36.0,28.49,2,4.0,28,7.0,14,12,0
44,46.0,MA Chidambaram Stadium,Kolkata Knight Riders,2012-04-30,38.0,27.72,2,4.0,27,6.75,13.5,12,0
45,47.0,MA Chidambaram Stadium,Deccan Chargers,2012-05-04,,28.62,0,4.0,35,8.75,-,-,0
46,48.0,Wankhede Stadium,Mumbai Indians,2012-05-06,40.0,28.17,2,4.0,39,9.75,19.5,12,0
47,49.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-05-10,,29.1,0,3.0,38,12.67,-,-,0
48,50.0,MA Chidambaram Stadium,Delhi Capitals,2012-05-12,,29.63,0,4.0,22,5.5,-,-,0
49,51.0,Eden Gardens,Kolkata Knight Riders,2012-05-14,,30.17,0,3.0,22,7.33,-,-,0
50,52.0,Himachal Pradesh Cricket Association Stadium,Punjab Kings,2012-05-17,42.0,29.19,2,3.0,18,6.0,9,9,0
51,53.0,M Chinnaswamy Stadium,Mumbai Indians,2012-05-23,44.0,28.11,2,3.0,10,3.33,5,9,0
52,54.0,MA Chidambaram Stadium,Delhi Capitals,2012-05-25,46.0,28.02,1,3.0,24,8.0,24,18,0
53,55.0,MA Chidambaram Stadium,Kolkata Knight Riders,2012-05-27,47.0,28.47,1,3.4,49,13.36,49,22,0
54,56.0,MA Chidambaram Stadium,Mumbai Indians,2013-04-06,48.0,28.2,2,4.0,44,11.0,22,12,0
55,57.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2013-04-10,50.0,27.1,3,4.0,27,6.75,9,8,0
56,58.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2013-04-13,53.0,27.19,1,4.0,32,8.0,32,24,0
57,59.0,MA Chidambaram Stadium,Pune Warriors,2013-04-15,54.0,26.84,2,4.0,35,8.75,17.5,12,0
58,60.0,Arun Jaitley Stadium,Delhi Capitals,2013-04-18,56.0,26.5,1,1.3,8,5.33,8,9,0
59,61.0,Eden Gardens,Kolkata Knight Riders,2013-04-20,57.0,26.28,1,2.0,14,7.0,14,12,0
60,62.0,MA Chidambaram Stadium,Rajasthan Royals,2013-04-22,58.0,26.0,2,4.0,36,9.0,18,12,0
61,63.0,MA Chidambaram Stadium,Sunrisers Hyderabad,2013-04-25,60.0,25.75,2,4.0,37,9.25,18.5,12,0
62,64.0,MA Chidambaram Stadium,Kolkata Knight Riders,2013-04-28,62.0,25.94,1,4.0,37,9.25,37,24,0
63,65.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-04-30,63.0,25.81,1,4.0,18,4.5,18,24,0
64,66.0,MA Chidambaram Stadium,Punjab Kings,2013-05-02,64.0,25.15,3,4.0,34,8.5,11.3,8,0
65,67.0,Wankhede Stadium,Mumbai Indians,2013-05-05,67.0,25.06,1,3.0,19,6.33,19,18,0
66,68.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-08,68.0,25.06,1,4.0,25,6.25,25,24,0
67,69.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-05-12,69.0,25.2,1,3.0,35,11.67,35,18,0
68,70.0,MA Chidambaram Stadium,Delhi Capitals,2013-05-14,70.0,24.76,2,4.0,19,4.75,9.5,12,0
69,71.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-05-18,72.0,24.78,1,2.0,26,13.0,26,12,0
70,72.0,Arun Jaitley Stadium,Mumbai Indians,2013-05-21,73.0,23.91,3,3.0,9,3.0,3,6,0
71,73.0,Eden Gardens,Mumbai Indians,2013-05-26,76.0,23.23,4,4.0,42,10.5,10.5,6,0
72,75.0,MA Chidambaram Stadium,Delhi Capitals,2015-04-09,80.0,23.1,2,4.0,36,9.0,18,12,0
73,76.0,MA Chidambaram Stadium,Sunrisers Hyderabad,2015-04-11,82.0,22.84,2,4.0,25,6.25,12.5,12,0
74,77.0,Wankhede Stadium,Mumbai Indians,2015-04-17,84.0,22.66,0,2.0,27,13.5,-,-,0
75,78.0,Sardar Patel Stadium,Rajasthan Royals,2015-04-19,86.0,22.74,2,4.0,30,7.5,15,12,0
76,79.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-22,87.0,22.77,1,2.2,30,12.86,30,14,0
77,80.0,MA Chidambaram Stadium,Punjab Kings,2015-04-25,,22.92,1,3.0,25,8.33,25,18,0
78,81.0,MA Chidambaram Stadium,Kolkata Knight Riders,2015-04-28,88.0,22.4,0,3.0,13,4.33,-,-,0
79,82.0,Eden Gardens,Kolkata Knight Riders,2015-04-30,,22.7,3,3.0,22,7.33,7.3,6,0
80,83.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-02,91.0,22.24,3,4.0,25,6.25,8.3,8,0
81,84.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2015-05-04,94.0,21.95,2,3.4,17,4.64,8.5,11,0
82,85.0,MA Chidambaram Stadium,Mumbai Indians,2015-05-08,96.0,21.89,1,2.2,16,6.86,16,14,0
83,86.0,MA Chidambaram Stadium,Rajasthan Royals,2015-05-10,97.0,21.88,2,4.0,43,10.75,21.5,12,0
84,88.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2015-05-16,99.0,21.86,1,2.0,20,10.0,20,12,0
85,89.0,Wankhede Stadium,Mumbai Indians,2015-05-19,100.0,21.61,3,4.0,40,10.0,13.3,8,0
86,90.0,JSCA International Stadium Complex,Royal Challengers Bangalore,2015-05-22,103.0,21.6,1,3.0,21,7.0,21,18,0
87,91.0,Eden Gardens,Mumbai Indians,2015-05-24,104.0,21.53,2,4.0,36,9.0,18,12,0
88,92.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2016-04-11,106.0,20.94,4,4.0,22,5.5,5.5,6,0
89,93.0,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,2016-04-14,110.0,21.15,1,4.0,43,10.75,43,24,0
90,94.0,Wankhede Stadium,Mumbai Indians,2016-04-16,111.0,21.31,1,4.0,39,9.75,39,24,0
91,95.0,Saurashtra Cricket Association Stadium,Sunrisers Hyderabad,2016-04-21,,21.54,0,3.0,26,8.67,-,-,0
92,96.0,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,2016-04-24,,21.93,0,4.0,43,10.75,-,-,0
93,97.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-27,112.0,22.09,1,4.0,40,10.0,40,24,0
94,98.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-04-29,113.0,22.25,1,4.0,40,10.0,40,24,0
95,99.0,Saurashtra Cricket Association Stadium,Punjab Kings,2016-05-01,114.0,22.15,2,4.0,33,8.25,16.5,12,0
96,100.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-05-06,116.0,21.89,2,3.0,14,4.67,7,9,0
97,101.0,Eden Gardens,Kolkata Knight Riders,2016-05-08,,22.22,0,4.0,39,9.75,-,-,0
98,102.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-14,,22.62,0,3.0,46,15.33,-,-,0
99,103.0,Green Park,Kolkata Knight Riders,2016-05-19,118.0,22.67,1,4.0,29,7.25,29,24,0
100,104.0,Green Park,Mumbai Indians,2016-05-21,119.0,22.48,2,4.0,22,5.5,11,12,0
101,105.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-24,,22.69,0,3.0,26,8.67,-,-,0
102,106.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2016-05-27,121.0,22.58,2,4.0,32,8.0,16,12,0
103,107.0,Wankhede Stadium,Mumbai Indians,2018-04-07,,22.79,0,4.0,25,6.25,-,-,0
104,108.0,MA Chidambaram Stadium,Kolkata Knight Riders,2018-04-10,,23.2,0,3.0,50,16.67,-,-,0
105,109.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2018-04-15,123.0,23.31,1,4.0,37,9.25,37,24,0
106,110.0,Maharashtra Cricket Association Stadium,Rajasthan Royals,2018-04-20,124.0,23.06,2,2.0,16,8.0,8,6,0
107,111.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-22,126.0,23.17,1,3.0,37,12.33,37,18,0
108,112.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-25,127.0,23.07,2,4.0,33,8.25,16.5,12,0
109,113.0,Maharashtra Cricket Association Stadium,Mumbai Indians,2018-04-28,129.0,23.05,1,3.0,21,7.0,21,18,0
110,114.0,Maharashtra Cricket Association Stadium,Delhi Capitals,2018-04-30,,23.39,0,3.0,43,14.33,-,-,0
111,115.0,Eden Gardens,Kolkata Knight Riders,2018-05-03,,23.56,0,1.4,22,13.2,-,-,0
112,116.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2018-05-05,,23.69,0,2.0,17,8.5,-,-,0
113,117.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-11,130.0,23.75,1,3.5,31,8.09,31,23,0
