,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,10.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2008-05-17,,,0,2.0,21,10.5,-,-,0
1,13.0,Wankhede Stadium,Delhi Capitals,2008-05-30,,,0,0.1,0,0.0,-,-,0
2,16.0,Newlands,Kolkata Knight Riders,2009-04-23,,,0,1.0,7,7.0,-,-,0
3,18.0,SuperSport Park,Delhi Capitals,2009-04-28,,,0,2.0,17,8.5,-,-,0
4,20.0,St George's Park,Deccan Chargers,2009-05-02,1.0,67.0,1,4.0,22,5.5,22,24,0
5,21.0,Kingsmead,Punjab Kings,2009-05-05,,73.0,0,1.0,6,6.0,-,-,0
6,22.0,SuperSport Park,Royal Challengers Bangalore,2009-05-07,2.0,22.0,3,4.0,15,3.75,5,8,0
7,23.0,Diamond Oval,Chennai Super Kings,2009-05-09,,25.5,0,2.2,14,6.0,-,-,0
8,24.0,Diamond Oval,Deccan Chargers,2009-05-11,5.0,21.33,2,4.0,26,6.5,13,12,0
9,25.0,Kingsmead,Mumbai Indians,2009-05-14,,24.33,0,1.0,18,18.0,-,-,0
10,26.0,Mangaung Oval,Delhi Capitals,2009-05-17,,26.5,0,2.0,13,6.5,-,-,0
11,27.0,Kingsmead,Kolkata Knight Riders,2009-05-20,,28.67,0,2.0,13,6.5,-,-,0
12,28.0,Nehru Stadium (Kochi),Royal Challengers Bangalore,2011-04-09,7.0,28.57,1,4.0,28,7.0,28,24,0
13,29.0,Dr DY Patil Sports Academy,Pune Warriors,2011-04-13,8.0,28.5,1,4.0,28,7.0,28,24,0
14,30.0,Barabati Stadium,Mumbai Indians,2011-04-15,,32.13,0,4.0,29,7.25,-,-,0
15,31.0,Nehru Stadium (Kochi),Chennai Super Kings,2011-04-18,,33.88,0,1.0,14,14.0,-,-,0
16,32.0,Eden Gardens,Kolkata Knight Riders,2011-04-20,9.0,29.6,2,4.0,25,6.25,12.5,12,0
17,33.0,Sawai Mansingh Stadium,Rajasthan Royals,2011-04-24,11.0,29.09,1,3.0,24,8.0,24,18,0
18,34.0,Nehru Stadium (Kochi),Deccan Chargers,2011-04-27,,31.36,0,3.0,25,8.33,-,-,0
19,35.0,Nehru Stadium (Kochi),Delhi Capitals,2011-04-30,12.0,31.0,1,4.0,27,6.75,27,24,0
20,36.0,Arun Jaitley Stadium,Delhi Capitals,2011-05-02,,32.33,0,2.0,16,8.0,-,-,0
21,37.0,Nehru Stadium (Kochi),Kolkata Knight Riders,2011-05-05,,32.92,0,1.0,7,7.0,-,-,0
22,38.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2011-05-08,,34.92,0,4.0,24,6.0,-,-,0
23,39.0,Holkar Cricket Stadium,Punjab Kings,2011-05-13,,37.17,0,3.0,27,9.0,-,-,0
24,40.0,Holkar Cricket Stadium,Rajasthan Royals,2011-05-15,,37.58,0,1.0,5,5.0,-,-,0
25,41.0,MA Chidambaram Stadium,Chennai Super Kings,2011-05-18,13.0,34.07,2,4.0,26,6.5,13,12,0
26,42.0,MA Chidambaram Stadium,Mumbai Indians,2012-04-04,,35.21,0,1.0,16,16.0,-,-,0
27,43.0,Dr YS Rajasekhara Reddy Cricket Stadium,Deccan Chargers,2012-04-07,15.0,26.79,5,4.0,16,4.0,3.2,4.8,1
28,44.0,Arun Jaitley Stadium,Delhi Capitals,2012-04-10,,27.79,0,2.0,19,9.5,-,-,0
29,45.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2012-04-12,20.0,26.0,2,2.0,18,9.0,9,6,0
30,47.0,MA Chidambaram Stadium,Pune Warriors,2012-04-19,,27.0,0,4.0,21,5.25,-,-,0
31,48.0,MA Chidambaram Stadium,Rajasthan Royals,2012-04-21,,28.52,0,3.0,32,10.67,-,-,0
32,50.0,MA Chidambaram Stadium,Punjab Kings,2012-04-28,,29.24,0,1.0,15,15.0,-,-,0
33,51.0,MA Chidambaram Stadium,Kolkata Knight Riders,2012-04-30,,29.86,0,2.0,13,6.5,-,-,0
34,52.0,MA Chidambaram Stadium,Deccan Chargers,2012-05-04,,31.05,0,3.0,25,8.33,-,-,0
35,53.0,Wankhede Stadium,Mumbai Indians,2012-05-06,22.0,30.18,2,2.0,12,6.0,6,6,0
36,54.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-05-10,23.0,29.78,1,4.0,21,5.25,21,24,0
37,55.0,MA Chidambaram Stadium,Delhi Capitals,2012-05-12,,30.26,0,1.0,11,11.0,-,-,0
38,56.0,Eden Gardens,Kolkata Knight Riders,2012-05-14,24.0,30.63,1,4.0,39,9.75,39,24,0
39,58.0,M Chinnaswamy Stadium,Mumbai Indians,2012-05-23,25.0,30.0,1,2.0,15,7.5,15,12,0
40,61.0,MA Chidambaram Stadium,Mumbai Indians,2013-04-06,,30.48,0,2.0,12,6.0,-,-,0
41,62.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2013-04-10,26.0,30.42,1,4.0,29,7.25,29,24,0
42,63.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2013-04-13,,31.19,0,2.0,20,10.0,-,-,0
43,64.0,MA Chidambaram Stadium,Pune Warriors,2013-04-15,,32.23,1,4.0,27,6.75,27,24,0
44,65.0,Arun Jaitley Stadium,Delhi Capitals,2013-04-18,27.0,31.81,1,4.0,21,5.25,21,24,0
45,66.0,Eden Gardens,Kolkata Knight Riders,2013-04-20,28.0,29.3,3,4.0,20,5.0,6.7,8,0
46,67.0,MA Chidambaram Stadium,Rajasthan Royals,2013-04-22,,30.8,0,3.0,45,15.0,-,-,0
