,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Arun Jaitley Stadium,Delhi Capitals,2008-04-19,1.0,31.0,1,4.0,31,7.75,31,24,0
1,2.0,Sawai Mansingh Stadium,Punjab Kings,2008-04-21,,70.0,0,4.0,39,9.75,-,-,0
2,3.0,Rajiv Gandhi International Stadium,Deccan Chargers,2008-04-24,2.0,51.0,1,4.0,32,8.0,32,24,0
3,4.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2008-04-26,3.0,30.5,2,4.0,20,5.0,10,12,0
4,5.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2008-05-01,5.0,24.0,2,3.1,22,6.95,11,9.5,0
5,6.0,Sawai Mansingh Stadium,Chennai Super Kings,2008-05-04,7.0,23.29,1,4.0,19,4.75,19,24,0
6,7.0,Dr DY Patil Sports Academy,Mumbai Indians,2008-05-07,8.0,21.0,2,4.0,26,6.5,13,12,0
7,8.0,Sawai Mansingh Stadium,Deccan Chargers,2008-05-09,10.0,21.1,1,3.0,22,7.33,22,18,0
8,9.0,Sawai Mansingh Stadium,Delhi Capitals,2008-05-11,11.0,19.33,2,4.0,21,5.25,10.5,12,0
9,10.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2008-05-17,,19.83,0,2.0,6,3.0,-,-,0
10,11.0,Eden Gardens,Kolkata Knight Riders,2008-05-20,,22.83,0,4.0,36,9.0,-,-,0
11,12.0,Sawai Mansingh Stadium,Mumbai Indians,2008-05-26,,25.33,0,3.0,30,10.0,-,-,0
12,13.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2008-05-28,13.0,26.46,1,4.0,40,10.0,40,24,0
13,14.0,Wankhede Stadium,Delhi Capitals,2008-05-30,14.0,22.13,3,3.0,10,3.33,3.3,6,0
14,15.0,Dr DY Patil Sports Academy,Chennai Super Kings,2008-06-01,17.0,22.53,1,4.0,29,7.25,29,24,0
15,16.0,MA Chidambaram Stadium,Chennai Super Kings,2010-04-03,18.0,22.63,2,4.0,47,11.75,23.5,12,0
16,17.0,Vidarbha Cricket Association Stadium,Deccan Chargers,2010-04-05,,24.74,0,3.0,40,13.33,-,-,0
17,18.0,Sawai Mansingh Stadium,Punjab Kings,2010-04-07,20.0,24.45,1,4.0,19,4.75,19,24,0
18,19.0,Sawai Mansingh Stadium,Mumbai Indians,2010-04-11,21.0,22.87,3,4.0,37,9.25,12.3,8,0
19,20.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2010-04-14,,23.91,0,4.0,24,6.0,-,-,0
20,21.0,Eden Gardens,Kolkata Knight Riders,2010-04-17,,24.65,0,3.0,17,5.67,-,-,0
21,22.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2011-04-15,,25.43,0,2.0,18,9.0,-,-,0
22,23.0,Eden Gardens,Kolkata Knight Riders,2011-04-17,,26.3,0,4.0,20,5.0,-,-,0
23,24.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2011-04-21,24.0,25.16,2,4.0,24,6.0,12,12,0
24,25.0,Sawai Mansingh Stadium,Kochi Tuskers Kerala,2011-04-24,,26.08,0,4.0,23,5.75,-,-,0
25,26.0,Sawai Mansingh Stadium,Mumbai Indians,2011-04-29,,27.08,0,4.0,25,6.25,-,-,0
26,27.0,Sawai Mansingh Stadium,Pune Warriors,2011-05-01,26.0,26.77,1,4.0,19,4.75,19,24,0
27,28.0,MA Chidambaram Stadium,Chennai Super Kings,2011-05-04,,27.81,0,4.0,27,6.75,-,-,0
28,29.0,Sawai Mansingh Stadium,Chennai Super Kings,2011-05-09,,29.62,0,4.0,47,11.75,-,-,0
29,30.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2011-05-11,,30.35,0,2.0,19,9.5,-,-,0
30,32.0,Wankhede Stadium,Mumbai Indians,2011-05-20,27.0,27.86,3,4.0,19,4.75,6.3,8,0
31,33.0,Sawai Mansingh Stadium,Delhi Capitals,2012-05-01,30.0,27.9,1,4.0,29,7.25,29,24,0
32,34.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2012-05-05,31.0,26.84,2,4.0,22,5.5,11,12,0
33,35.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-05-08,,27.72,0,4.0,28,7.0,-,-,0
34,36.0,Sawai Mansingh Stadium,Chennai Super Kings,2012-05-10,33.0,27.85,1,3.0,32,10.67,32,18,0
35,37.0,Sawai Mansingh Stadium,Pune Warriors,2012-05-13,34.0,26.8,2,3.0,19,6.33,9.5,9,0
36,38.0,Rajiv Gandhi International Stadium,Deccan Chargers,2012-05-18,,27.2,0,2.0,14,7.0,-,-,0
37,39.0,Sawai Mansingh Stadium,Mumbai Indians,2012-05-20,,27.69,0,3.0,17,5.67,-,-,0
38,43.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-04-20,36.0,26.49,2,2.0,11,5.5,5.5,6,0
39,44.0,MA Chidambaram Stadium,Chennai Super Kings,2013-04-22,,27.05,0,1.5,21,11.45,-,-,0
40,45.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2013-04-27,,27.49,0,2.0,16,8.0,-,-,0
41,46.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2013-04-29,38.0,25.98,3,4.0,22,5.5,7.3,8,0
42,47.0,Eden Gardens,Kolkata Knight Riders,2013-05-03,41.0,25.85,1,3.0,21,7.0,21,18,0
43,48.0,Sawai Mansingh Stadium,Pune Warriors,2013-05-05,,26.56,0,4.0,29,7.25,-,-,0
44,49.0,Sawai Mansingh Stadium,Delhi Capitals,2013-05-07,42.0,26.43,1,3.0,21,7.0,21,18,0
45,50.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2013-05-09,43.0,26.26,1,4.0,19,4.75,19,24,0
46,51.0,Sawai Mansingh Stadium,Chennai Super Kings,2013-05-12,,26.79,0,4.0,23,5.75,-,-,0
47,52.0,Wankhede Stadium,Mumbai Indians,2013-05-15,44.0,26.27,2,4.0,30,7.5,15,12,0
48,53.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-17,46.0,26.11,1,3.0,19,6.33,19,18,0
49,54.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2013-05-22,47.0,26.23,1,4.0,32,8.0,32,24,0
50,55.0,Eden Gardens,Mumbai Indians,2013-05-24,48.0,26.4,1,2.5,34,12.0,34,17,0
51,58.0,Dubai International Cricket Stadium,Chennai Super Kings,2014-04-23,,26.5,0,1.0,5,5.0,-,-,0
52,59.0,Sheikh Zayed Stadium,Royal Challengers Bangalore,2014-04-26,49.0,26.06,1,2.0,5,2.5,5,12,0
53,60.0,Sheikh Zayed Stadium,Kolkata Knight Riders,2014-04-29,,26.59,0,3.0,26,8.67,-,-,0
54,61.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-03,,26.82,0,1.0,11,11.0,-,-,0
55,62.0,Sardar Patel Stadium,Kolkata Knight Riders,2014-05-05,50.0,25.67,3,4.0,21,5.25,7,8,0
56,63.0,Sardar Patel Stadium,Sunrisers Hyderabad,2014-05-08,53.0,24.51,3,2.0,13,6.5,4.3,4,0
57,64.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-11,,25.15,0,4.0,35,8.75,-,-,0
58,67.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2014-05-23,,25.44,0,2.0,16,8.0,-,-,0
59,68.0,Wankhede Stadium,Mumbai Indians,2014-05-25,,26.04,0,2.0,33,16.5,-,-,0
60,69.0,Sardar Patel Stadium,Chennai Super Kings,2015-04-19,,26.4,0,2.0,20,10.0,-,-,0
61,70.0,Sardar Patel Stadium,Punjab Kings,2015-04-21,,26.64,0,1.0,13,13.0,-,-,0
