,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sheikh Zayed Stadium,Chennai Super Kings,2014-04-18,1.0,34.0,1,4.0,34,8.5,34,24,0
1,2.0,Sharjah Cricket Stadium,Rajasthan Royals,2014-04-20,2.0,28.0,1,4.0,22,5.5,22,24,0
2,3.0,Sharjah Cricket Stadium,Sunrisers Hyderabad,2014-04-22,3.0,19.0,2,4.0,20,5.0,10,12,0
3,4.0,Sheikh Zayed Stadium,Kolkata Knight Riders,2014-04-26,5.0,15.33,2,4.0,16,4.0,8,12,0
4,5.0,Dubai International Cricket Stadium,Royal Challengers Bangalore,2014-04-28,,17.17,0,2.0,11,5.5,-,-,0
5,6.0,Wankhede Stadium,Mumbai Indians,2014-05-03,,23.83,0,4.0,40,10.0,-,-,0
6,7.0,Barabati Stadium,Chennai Super Kings,2014-05-07,,28.5,0,4.0,28,7.0,-,-,0
7,8.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2014-05-09,7.0,27.57,1,4.0,22,5.5,22,24,0
8,9.0,Barabati Stadium,Kolkata Knight Riders,2014-05-11,,30.43,0,4.0,20,5.0,-,-,0
9,10.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2014-05-14,,36.14,0,4.0,40,10.0,-,-,0
10,11.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-19,8.0,33.88,1,4.0,18,4.5,18,24,0
11,12.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2014-05-21,9.0,33.11,1,4.0,27,6.75,27,24,0
12,13.0,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,2014-05-23,10.0,26.83,3,4.0,24,6.0,8,8,0
13,14.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2014-05-25,13.0,25.0,2,4.0,28,7.0,14,12,0
14,15.0,Eden Gardens,Kolkata Knight Riders,2014-05-28,15.0,22.56,2,4.0,11,2.75,5.5,12,0
15,16.0,Wankhede Stadium,Chennai Super Kings,2014-05-30,17.0,22.59,1,4.0,23,5.75,23,24,0
16,17.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2014-06-01,,23.82,0,4.0,21,5.25,-,-,0
17,18.0,Maharashtra Cricket Association Stadium,Rajasthan Royals,2015-04-10,18.0,24.39,1,4.0,34,8.5,34,24,0
18,19.0,Wankhede Stadium,Mumbai Indians,2015-04-12,19.0,23.45,2,4.0,30,7.5,15,12,0
19,20.0,Maharashtra Cricket Association Stadium,Delhi Capitals,2015-04-15,21.0,23.67,1,3.5,28,7.3,28,23,0
20,21.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2015-04-18,,24.71,0,2.0,22,11.0,-,-,0
21,22.0,Sardar Patel Stadium,Rajasthan Royals,2015-04-21,22.0,23.87,2,4.0,30,7.5,15,12,0
22,23.0,MA Chidambaram Stadium,Chennai Super Kings,2015-04-25,24.0,24.33,1,4.0,35,8.75,35,24,0
23,24.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2015-04-27,25.0,23.42,2,4.0,25,6.25,12.5,12,0
24,25.0,Arun Jaitley Stadium,Delhi Capitals,2015-05-01,,24.31,0,2.5,23,8.12,-,-,0
25,26.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2015-05-03,,25.23,0,3.0,24,8.0,-,-,0
26,27.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-05-06,27.0,26.15,1,4.0,50,12.5,50,24,0
27,28.0,Eden Gardens,Kolkata Knight Riders,2015-05-09,28.0,26.39,1,4.0,33,8.25,33,24,0
28,29.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-11,,27.07,0,2.0,19,9.5,-,-,0
