,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2013-04-10,1.0,13.5,2,4,27,6.75,13.5,12,0
1,2.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2013-04-13,3.0,13.4,3,4,40,10.0,13.3,8,0
2,3.0,MA Chidambaram Stadium,Pune Warriors,2013-04-15,6.0,13.14,2,4,25,6.25,12.5,12,0
3,4.0,Arun Jaitley Stadium,Delhi Capitals,2013-04-18,,15.0,1,2,13,6.5,13,12,0
4,5.0,Eden Gardens,Kolkata Knight Riders,2013-04-20,8.0,14.63,1,3,12,4.0,12,18,0
5,6.0,MA Chidambaram Stadium,Rajasthan Royals,2013-04-22,,18.63,0,3,32,10.67,-,-,0
6,7.0,MA Chidambaram Stadium,Sunrisers Hyderabad,2013-04-25,,21.63,0,3,24,8.0,-,-,0
7,8.0,MA Chidambaram Stadium,Kolkata Knight Riders,2013-04-28,9.0,22.44,1,3,29,9.67,29,18,0
8,9.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-04-30,10.0,22.3,1,3,21,7.0,21,18,0
9,10.0,MA Chidambaram Stadium,Punjab Kings,2013-05-02,,25.4,0,3,31,10.33,-,-,0
10,11.0,Wankhede Stadium,Mumbai Indians,2013-05-05,,26.8,0,3,14,4.67,-,-,0
11,12.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-08,11.0,26.55,1,2,24,12.0,24,12,0
12,13.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-05-12,12.0,27.33,1,4,36,9.0,36,24,0
13,14.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-05-18,,29.17,0,2,22,11.0,-,-,0
14,15.0,Arun Jaitley Stadium,Mumbai Indians,2013-05-21,13.0,28.92,1,3,26,8.67,26,18,0
15,16.0,Eden Gardens,Mumbai Indians,2013-05-26,14.0,28.64,1,4,25,6.25,25,24,0
16,17.0,Maharashtra Cricket Association Stadium,Punjab Kings,2015-04-10,,30.14,0,4,21,5.25,-,-,0
17,18.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-12,15.0,28.56,2,4,35,8.75,17.5,12,0
18,19.0,Sardar Patel Stadium,Mumbai Indians,2015-04-14,17.0,28.88,1,4,34,8.5,34,24,0
19,20.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2015-04-16,,30.24,0,3,23,7.67,-,-,0
20,21.0,Sardar Patel Stadium,Chennai Super Kings,2015-04-19,18.0,29.61,1,4,19,4.75,19,24,0
21,22.0,Sardar Patel Stadium,Punjab Kings,2015-04-21,19.0,29.84,1,4,34,8.5,34,24,0
22,23.0,Sardar Patel Stadium,Royal Challengers Bangalore,2015-04-24,,31.05,0,3,23,7.67,-,-,0
23,24.0,Brabourne Stadium,Sunrisers Hyderabad,2015-05-07,,33.05,0,4,38,9.5,-,-,0
24,25.0,MA Chidambaram Stadium,Chennai Super Kings,2015-05-10,20.0,29.41,3,4,19,4.75,6.3,8,0
25,26.0,Brabourne Stadium,Kolkata Knight Riders,2015-05-16,23.0,25.77,4,4,23,5.75,5.8,6,0
26,27.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2015-05-20,27.0,26.37,1,4,42,10.5,42,24,0
27,28.0,Eden Gardens,Kolkata Knight Riders,2016-04-10,,27.15,0,4,21,5.25,-,-,0
