,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Rajiv Gandhi International Stadium,Deccan Chargers,2012-05-10,,,0,4.0,39,9.75,-,-,0
1,2.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2012-05-17,,,0,4.0,41,10.25,-,-,0
2,3.0,Himachal Pradesh Cricket Association Stadium,Punjab Kings,2012-05-19,1.0,131.0,1,4.0,51,12.75,51,24,0
3,4.0,MA Chidambaram Stadium,Chennai Super Kings,2012-05-25,,161.0,0,4.0,30,7.5,-,-,0
4,5.0,Eden Gardens,Kolkata Knight Riders,2013-04-03,,185.0,0,3.0,24,8.0,-,-,0
5,6.0,Arun Jaitley Stadium,Rajasthan Royals,2013-04-06,,216.0,0,3.0,31,10.33,-,-,0
6,7.0,Arun Jaitley Stadium,Mumbai Indians,2013-04-21,,229.0,0,1.0,13,13.0,-,-,0
7,8.0,JSCA International Stadium Complex,Chennai Super Kings,2014-05-02,2.0,127.0,1,2.0,25,12.5,25,12,0
8,9.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-05,,140.5,0,3.0,27,9.0,-,-,0
9,10.0,Eden Gardens,Mumbai Indians,2015-04-08,,151.0,0,3.0,21,7.0,-,-,0
10,11.0,Eden Gardens,Royal Challengers Bangalore,2015-04-11,,159.0,0,2.0,16,8.0,-,-,0
11,12.0,Maharashtra Cricket Association Stadium,Punjab Kings,2015-04-18,3.0,89.25,2,4.0,20,5.0,10,12,0
12,13.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-20,,94.5,2,4.0,39,9.75,19.5,12,0
13,14.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2015-04-22,5.0,76.8,0,3.0,21,7.0,-,-,0
14,15.0,MA Chidambaram Stadium,Chennai Super Kings,2015-04-28,6.0,58.57,1,1.0,6,6.0,6,6,0
15,16.0,Eden Gardens,Chennai Super Kings,2015-04-30,8.0,47.78,1,4.0,24,6.0,24,24,0
16,17.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-05-02,10.0,45.2,2,4.0,26,6.5,13,12,0
17,18.0,Eden Gardens,Sunrisers Hyderabad,2015-05-04,11.0,42.0,1,1.4,22,13.2,22,10,0
18,19.0,Eden Gardens,Delhi Capitals,2015-05-07,12.0,40.5,1,2.0,10,5.0,10,12,0
19,20.0,Eden Gardens,Punjab Kings,2015-05-09,13.0,41.23,1,4.0,50,12.5,50,24,0
20,21.0,Wankhede Stadium,Mumbai Indians,2015-05-14,,44.08,0,4.0,37,9.25,-,-,0
21,22.0,Brabourne Stadium,Rajasthan Royals,2015-05-16,14.0,37.81,3,4.0,32,8.0,10.7,8,0
22,23.0,Eden Gardens,Delhi Capitals,2016-04-10,17.0,33.11,3,3.0,24,8.0,8,6,0
23,24.0,Eden Gardens,Mumbai Indians,2016-04-13,20.0,34.05,1,4.0,52,13.0,52,24,0
24,25.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-16,21.0,33.33,1,4.0,19,4.75,19,24,0
25,26.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2016-04-19,,34.19,0,1.0,18,18.0,-,-,0
26,27.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-04-24,,34.95,0,2.0,16,8.0,-,-,0
27,28.0,Wankhede Stadium,Mumbai Indians,2016-04-28,,36.29,0,3.0,28,9.33,-,-,0
28,29.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-30,22.0,32.83,3,4.0,26,6.5,8.7,8,0
29,30.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-02,25.0,32.48,1,4.0,24,6.0,24,24,0
30,31.0,Eden Gardens,Punjab Kings,2016-05-04,26.0,28.69,4,4.0,20,5.0,5,6,0
31,32.0,Eden Gardens,Gujarat Lions,2016-05-08,30.0,28.43,1,3.0,21,7.0,21,18,0
32,33.0,Eden Gardens,Rising Pune Supergiant,2016-05-14,31.0,27.87,1,2.0,11,5.5,11,12,0
33,34.0,Eden Gardens,Royal Challengers Bangalore,2016-05-16,,28.9,0,2.3,32,12.8,-,-,0
34,35.0,Eden Gardens,Royal Challengers Bangalore,2018-04-08,,29.23,0,2.0,10,5.0,-,-,0
35,36.0,MA Chidambaram Stadium,Chennai Super Kings,2018-04-10,,30.35,0,4.0,35,8.75,-,-,0
36,37.0,Eden Gardens,Sunrisers Hyderabad,2018-04-14,,31.61,0,3.0,39,13.0,-,-,0
37,38.0,Eden Gardens,Delhi Capitals,2018-04-16,32.0,31.41,1,2.0,25,12.5,25,12,0
38,40.0,Eden Gardens,Punjab Kings,2018-04-21,,32.38,0,1.5,31,16.91,-,-,0
39,41.0,Arun Jaitley Stadium,Delhi Capitals,2018-04-27,33.0,32.24,1,3.0,28,9.33,28,18,0
40,42.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-29,34.0,30.42,3,3.0,31,10.33,10.3,6,0
41,43.0,Eden Gardens,Chennai Super Kings,2018-05-03,,30.75,0,1.0,12,12.0,-,-,0
42,44.0,Wankhede Stadium,Mumbai Indians,2018-05-06,37.0,29.45,2,2.0,12,6.0,6,6,0
43,45.0,Eden Gardens,Mumbai Indians,2018-05-09,,29.87,0,2.0,16,8.0,-,-,0
44,46.0,Holkar Cricket Stadium,Punjab Kings,2018-05-12,39.0,28.68,3,4.0,41,10.25,13.7,8,0
45,47.0,Eden Gardens,Rajasthan Royals,2018-05-15,42.0,27.65,2,3.0,13,4.33,6.5,9,0
46,48.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-19,44.0,27.73,1,3.0,31,10.33,31,18,0
47,49.0,Eden Gardens,Rajasthan Royals,2018-05-23,,28.23,0,3.0,22,7.33,-,-,0
48,50.0,Eden Gardens,Sunrisers Hyderabad,2018-05-25,,28.43,0,1.0,9,9.0,-,-,0
49,51.0,Eden Gardens,Sunrisers Hyderabad,2019-03-24,45.0,27.89,2,3.0,32,10.67,16,9,0
50,52.0,Eden Gardens,Punjab Kings,2019-03-27,47.0,27.17,2,3.0,21,7.0,10.5,9,0
51,53.0,Arun Jaitley Stadium,Delhi Capitals,2019-03-30,49.0,27.18,1,3.0,28,9.33,28,18,0
52,54.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-05,,27.51,0,1.0,16,16.0,-,-,0
53,57.0,Eden Gardens,Delhi Capitals,2019-04-12,50.0,27.54,1,3.0,29,9.67,29,18,0
54,58.0,Eden Gardens,Chennai Super Kings,2019-04-14,,27.86,0,1.0,16,16.0,-,-,0
55,59.0,Eden Gardens,Royal Challengers Bangalore,2019-04-19,51.0,27.65,1,3.0,17,5.67,17,18,0
56,60.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-21,,27.8,0,1.0,8,8.0,-,-,0
57,61.0,Eden Gardens,Rajasthan Royals,2019-04-25,52.0,27.88,1,3.0,32,10.67,32,18,0
58,62.0,Eden Gardens,Mumbai Indians,2019-04-28,53.0,27.31,2,4.0,25,6.25,12.5,12,0
59,63.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2019-05-03,55.0,27.35,1,3.0,29,9.67,29,18,0
60,64.0,Wankhede Stadium,Mumbai Indians,2019-05-05,,27.96,0,2.1,34,15.69,-,-,0
