,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2008-04-19,,,0,1.0,19,19.0,-,-,0
1,2.0,Sawai Mansingh Stadium,Rajasthan Royals,2008-04-21,,,0,2.0,27,13.5,-,-,0
2,3.0,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,2008-04-25,1.0,31.0,2,4.0,16,4.0,8,12,0
3,4.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2008-04-27,,45.5,0,4.0,29,7.25,-,-,0
4,5.0,Rajiv Gandhi International Stadium,Deccan Chargers,2008-05-01,3.0,23.8,3,4.0,28,7.0,9.3,8,0
5,6.0,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,2008-05-03,,27.0,0,1.0,16,16.0,-,-,0
6,7.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2008-05-05,6.0,20.0,3,4.0,25,6.25,8.3,8,0
7,8.0,MA Chidambaram Stadium,Chennai Super Kings,2008-05-10,9.0,21.78,1,3.0,36,12.0,36,18,0
8,9.0,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,2008-05-12,10.0,20.82,2,4.0,33,8.25,16.5,12,0
9,10.0,Arun Jaitley Stadium,Delhi Capitals,2008-05-17,,22.0,0,1.0,13,13.0,-,-,0
10,11.0,Wankhede Stadium,Mumbai Indians,2008-05-21,12.0,22.0,1,4.0,22,5.5,22,24,0
11,12.0,Punjab Cricket Association IS Bindra Stadium,Deccan Chargers,2008-05-23,,24.58,0,4.0,31,7.75,-,-,0
12,13.0,Eden Gardens,Kolkata Knight Riders,2008-05-25,13.0,23.64,2,4.0,36,9.0,18,12,0
13,14.0,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,2008-05-28,15.0,21.53,3,4.0,35,8.75,11.7,8,0
14,15.0,Wankhede Stadium,Chennai Super Kings,2008-05-31,,22.88,0,2.5,23,8.12,-,-,0
