,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Newlands,Deccan Chargers,2009-04-19,,,0,0.1,4,24.0,-,-,0
1,2.0,Kingsmead,Punjab Kings,2009-04-21,1.0,36.0,1,4.0,32,8.0,32,24,0
2,3.0,Kingsmead,Delhi Capitals,2009-05-05,,72.0,0,4.0,36,9.0,-,-,0
3,4.0,Wanderers Stadium,Delhi Capitals,2009-05-10,2.0,53.5,1,4.0,35,8.75,35,24,0
4,5.0,Barabati Stadium,Deccan Chargers,2010-03-21,3.0,47.33,1,4.0,35,8.75,35,24,0
5,6.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-04-07,4.0,31.2,2,3.0,14,4.67,7,9,0
6,7.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2013-04-09,,34.8,0,1.0,18,18.0,-,-,0
7,8.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2013-04-11,6.0,28.29,2,4.0,24,6.0,12,12,0
8,9.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-04-29,8.0,25.5,1,2.0,6,3.0,6,12,0
9,10.0,Maharashtra Cricket Association Stadium,Pune Warriors,2013-05-02,9.0,27.56,1,4.0,44,11.0,44,24,0
10,11.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2013-05-06,,30.78,0,3.0,29,9.67,-,-,0
11,12.0,Arun Jaitley Stadium,Delhi Capitals,2013-05-10,10.0,29.8,1,2.0,21,10.5,21,12,0
12,14.0,M Chinnaswamy Stadium,Punjab Kings,2013-05-14,,32.7,0,2.1,29,13.38,-,-,0
13,16.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-08,11.0,30.73,1,2.0,11,5.5,11,12,0
14,17.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-10,12.0,28.0,2,3.0,26,8.67,13,9,0
15,18.0,Rajiv Gandhi International Stadium,Mumbai Indians,2014-05-12,14.0,27.64,1,3.0,23,7.67,23,18,0
16,19.0,Rajiv Gandhi International Stadium,Punjab Kings,2014-05-14,,30.21,0,2.0,36,18.0,-,-,0
17,20.0,Dr YS Rajasekhara Reddy Cricket Stadium,Kolkata Knight Riders,2015-04-22,15.0,28.8,1,1.0,9,9.0,9,6,0
18,21.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2015-04-27,16.0,28.88,1,4.0,30,7.5,30,24,0
19,22.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2015-05-02,17.0,26.78,2,4.0,20,5.0,10,12,0
20,23.0,Eden Gardens,Kolkata Knight Riders,2015-05-04,19.0,26.42,1,3.0,20,6.67,20,18,0
21,24.0,Brabourne Stadium,Rajasthan Royals,2015-05-07,20.0,26.55,1,3.0,29,9.67,29,18,0
22,25.0,Shaheed Veer Narayan Sing International Stadium,Delhi Capitals,2015-05-09,,27.25,0,2.0,14,7.0,-,-,0
23,26.0,Rajiv Gandhi International Stadium,Punjab Kings,2015-05-11,21.0,24.39,3,4.0,16,4.0,5.3,8,0
24,27.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2015-05-15,24.0,22.56,2,1.0,3,3.0,1.5,3,0
25,28.0,Rajiv Gandhi International Stadium,Mumbai Indians,2015-05-17,,23.24,0,3.0,17,5.67,-,-,0
26,29.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-04-12,,24.88,0,4.0,41,10.25,-,-,0
27,30.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2016-04-16,,25.64,0,2.0,19,9.5,-,-,0
28,31.0,Rajiv Gandhi International Stadium,Mumbai Indians,2016-04-18,,26.56,0,4.0,23,5.75,-,-,0
29,32.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2016-04-21,,27.24,0,3.0,17,5.67,-,-,0
30,33.0,Rajiv Gandhi International Stadium,Punjab Kings,2016-04-23,26.0,26.44,2,4.0,33,8.25,16.5,12,0
31,34.0,Rajiv Gandhi International Stadium,Rising Pune Supergiant,2016-04-26,28.0,26.07,1,2.0,16,8.0,16,12,0
32,35.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2016-04-30,29.0,26.55,1,4.0,40,10.0,40,24,0
33,36.0,Rajiv Gandhi International Stadium,Gujarat Lions,2016-05-06,30.0,26.47,1,3.0,24,8.0,24,18,0
34,37.0,Dr YS Rajasekhara Reddy Cricket Stadium,Mumbai Indians,2016-05-08,31.0,26.19,1,4.0,18,4.5,18,24,0
35,38.0,Dr YS Rajasekhara Reddy Cricket Stadium,Rising Pune Supergiant,2016-05-10,32.0,26.0,1,3.0,20,6.67,20,18,0
36,39.0,Rajiv Gandhi International Stadium,Delhi Capitals,2016-05-12,33.0,25.03,2,3.0,19,6.33,9.5,9,0
37,40.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2016-05-15,35.0,25.14,1,3.0,29,9.67,29,18,0
38,41.0,Shaheed Veer Narayan Sing International Stadium,Delhi Capitals,2016-05-20,,25.66,0,2.0,18,9.0,-,-,0
39,42.0,Eden Gardens,Kolkata Knight Riders,2016-05-22,,26.06,0,2.0,14,7.0,-,-,0
40,43.0,Arun Jaitley Stadium,Kolkata Knight Riders,2016-05-25,36.0,25.11,2,3.0,17,5.67,8.5,9,0
41,44.0,Arun Jaitley Stadium,Gujarat Lions,2016-05-27,,25.84,0,3.0,27,9.0,-,-,0
42,45.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-29,,26.92,0,3.0,40,13.33,-,-,0
43,46.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2017-04-05,,27.46,0,2.0,20,10.0,-,-,0
44,47.0,Rajiv Gandhi International Stadium,Gujarat Lions,2017-04-09,,27.78,0,1.0,12,12.0,-,-,0
45,48.0,Eden Gardens,Kolkata Knight Riders,2017-04-15,,28.49,0,2.0,26,13.0,-,-,0
