,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,2.0,Kingsmead,Punjab Kings,2009-05-20,1.0,6.5,2,4.0,13,3.25,6.5,12,0
1,3.0,MA Chidambaram Stadium,Deccan Chargers,2010-03-14,3.0,13.0,1,4.0,26,6.5,26,24,0
2,4.0,Eden Gardens,Kolkata Knight Riders,2010-03-16,4.0,15.25,1,4.0,22,5.5,22,24,0
3,5.0,Arun Jaitley Stadium,Delhi Capitals,2010-03-19,5.0,20.2,1,4.0,40,10.0,40,24,0
4,6.0,MA Chidambaram Stadium,Punjab Kings,2010-03-21,,26.6,0,4.0,32,8.0,-,-,0
5,7.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2010-03-23,,34.6,0,4.0,40,10.0,-,-,0
6,8.0,MA Chidambaram Stadium,Mumbai Indians,2010-04-06,6.0,27.86,2,4.0,22,5.5,11,12,0
7,9.0,Vidarbha Cricket Association Stadium,Deccan Chargers,2010-04-10,8.0,23.11,2,4.0,13,3.25,6.5,12,0
8,10.0,MA Chidambaram Stadium,Kolkata Knight Riders,2010-04-13,10.0,18.67,3,4.0,16,4.0,5.3,8,0
9,11.0,MA Chidambaram Stadium,Delhi Capitals,2010-04-15,13.0,19.08,1,4.0,24,6.0,24,24,0
10,12.0,Himachal Pradesh Cricket Association Stadium,Punjab Kings,2010-04-18,14.0,19.14,1,4.0,20,5.0,20,24,0
11,13.0,Dr DY Patil Sports Academy,Deccan Chargers,2010-04-22,15.0,18.8,1,4.0,14,3.5,14,24,0
12,14.0,Dr DY Patil Sports Academy,Mumbai Indians,2010-04-25,,20.4,0,4.0,24,6.0,-,-,0
13,15.0,MA Chidambaram Stadium,Kolkata Knight Riders,2011-04-08,16.0,20.75,1,4.0,26,6.5,26,24,0
14,16.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2011-04-13,,23.06,0,4.0,37,9.25,-,-,0
15,17.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2011-04-16,17.0,23.06,1,4.0,23,5.75,23,24,0
16,18.0,Nehru Stadium (Kochi),Kochi Tuskers Kerala,2011-04-18,18.0,22.26,2,4.0,31,7.75,15.5,12,0
17,19.0,Wankhede Stadium,Mumbai Indians,2011-04-22,,23.63,0,4.0,26,6.5,-,-,0
18,20.0,MA Chidambaram Stadium,Pune Warriors,2011-04-25,20.0,22.29,2,4.0,19,4.75,9.5,12,0
19,21.0,Dr DY Patil Sports Academy,Pune Warriors,2011-04-27,22.0,22.59,1,4.0,29,7.25,29,24,0
20,22.0,MA Chidambaram Stadium,Deccan Chargers,2011-05-01,,23.64,0,4.0,23,5.75,-,-,0
21,23.0,MA Chidambaram Stadium,Rajasthan Royals,2011-05-04,23.0,24.17,1,4.0,36,9.0,36,24,0
22,24.0,Eden Gardens,Kolkata Knight Riders,2011-05-07,24.0,22.72,2,3.0,12,4.0,6,9,0
23,25.0,Sawai Mansingh Stadium,Rajasthan Royals,2011-05-09,26.0,21.93,2,4.0,24,6.0,12,12,0
24,26.0,MA Chidambaram Stadium,Delhi Capitals,2011-05-12,28.0,21.07,2,4.0,19,4.75,9.5,12,0
25,27.0,MA Chidambaram Stadium,Kochi Tuskers Kerala,2011-05-18,30.0,20.9,1,4.0,16,4.0,16,24,0
26,28.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2011-05-22,31.0,20.81,1,4.0,18,4.5,18,24,0
27,29.0,Wankhede Stadium,Royal Challengers Bangalore,2011-05-24,32.0,21.19,1,4.0,33,8.25,33,24,0
