,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sardar Patel Stadium,Delhi Capitals,2014-05-15,1.0,31.0,1,4.0,31,7.75,31,24,0
1,2.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2016-05-15,,42.0,0,1.1,11,9.43,-,-,0
2,3.0,Arun Jaitley Stadium,Kolkata Knight Riders,2016-05-25,2.0,28.0,1,3.0,14,4.67,14,18,0
3,4.0,Arun Jaitley Stadium,Gujarat Lions,2016-05-27,3.0,19.0,2,3.0,20,6.67,10,9,0
4,5.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-29,5.0,18.5,2,4.0,35,8.75,17.5,12,0
5,6.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2017-04-05,,24.33,0,3.4,35,9.55,-,-,0
6,7.0,Rajiv Gandhi International Stadium,Gujarat Lions,2017-04-09,,29.17,0,3.0,29,9.67,-,-,0
7,8.0,Wankhede Stadium,Mumbai Indians,2017-04-12,,32.17,0,2.0,18,9.0,-,-,0
8,9.0,Eden Gardens,Kolkata Knight Riders,2017-04-15,7.0,33.43,1,4.0,41,10.25,41,24,0
9,10.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-12,,39.14,0,4.0,40,10.0,-,-,0
10,11.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-28,,41.14,0,1.0,14,14.0,-,-,0
11,13.0,Holkar Cricket Stadium,Punjab Kings,2018-05-04,8.0,39.5,1,3.0,28,9.33,28,18,0
12,14.0,Wankhede Stadium,Kolkata Knight Riders,2018-05-06,,42.38,0,2.0,23,11.5,-,-,0
13,15.0,Eden Gardens,Kolkata Knight Riders,2018-05-09,9.0,39.0,1,2.0,12,6.0,12,12,0
14,17.0,Wankhede Stadium,Punjab Kings,2018-05-16,,40.67,0,1.0,15,15.0,-,-,0
15,18.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-20,,44.67,0,4.0,36,9.0,-,-,0
16,19.0,Wankhede Stadium,Delhi Capitals,2019-03-24,10.0,42.9,1,2.0,27,13.5,27,12,0
