,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-19,,,0,3.0,37,12.33,-,-,0
1,2.0,Arun Jaitley Stadium,Delhi Capitals,2015-04-23,,,0,2.0,14,7.0,-,-,0
2,3.0,Wankhede Stadium,Delhi Capitals,2015-05-05,1.0,64.0,1,2.0,13,6.5,13,12,0
3,4.0,MA Chidambaram Stadium,Chennai Super Kings,2015-05-08,,68.0,0,1.0,4,4.0,-,-,0
4,5.0,Wankhede Stadium,Royal Challengers Bangalore,2015-05-10,,119.0,0,3.0,51,17.0,-,-,0
5,6.0,Wankhede Stadium,Kolkata Knight Riders,2015-05-14,,129.0,0,1.0,10,10.0,-,-,0
6,7.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-17,,140.0,0,1.0,11,11.0,-,-,0
7,9.0,Eden Gardens,Chennai Super Kings,2015-05-24,,176.0,0,4.0,36,9.0,-,-,0
8,10.0,Wankhede Stadium,Rising Pune Supergiant,2016-04-09,,188.0,0,0.4,12,18.0,-,-,0
9,11.0,Eden Gardens,Kolkata Knight Riders,2016-04-13,2.0,105.0,1,2.0,22,11.0,22,12,0
10,12.0,Wankhede Stadium,Gujarat Lions,2016-04-16,,113.0,0,2.0,16,8.0,-,-,0
11,13.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2016-04-18,,127.5,0,3.0,29,9.67,-,-,0
12,14.0,Barabati Stadium,Royal Challengers Bangalore,2016-04-20,,136.5,0,2.0,18,9.0,-,-,0
13,15.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-23,3.0,93.33,1,1.0,7,7.0,7,6,0
14,17.0,Wankhede Stadium,Kolkata Knight Riders,2016-04-28,4.0,73.75,1,2.0,15,7.5,15,12,0
15,18.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-05-01,,77.25,0,2.0,14,7.0,-,-,0
16,19.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2016-05-08,,79.75,0,1.0,10,10.0,-,-,0
17,20.0,Green Park,Gujarat Lions,2016-05-21,,82.25,0,1.0,10,10.0,-,-,0
18,21.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-06,5.0,73.0,1,4.0,36,9.0,36,24,0
19,23.0,Wankhede Stadium,Sunrisers Hyderabad,2017-04-12,6.0,64.5,1,3.0,22,7.33,22,18,0
20,24.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-14,7.0,56.57,1,2.0,9,4.5,9,12,0
21,25.0,Wankhede Stadium,Gujarat Lions,2017-04-16,,58.71,0,1.0,15,15.0,-,-,0
22,26.0,Holkar Cricket Stadium,Punjab Kings,2017-04-20,,61.29,0,2.0,18,9.0,-,-,0
23,27.0,Wankhede Stadium,Delhi Capitals,2017-04-22,8.0,56.5,1,3.0,23,7.67,23,18,0
24,30.0,Wankhede Stadium,Royal Challengers Bangalore,2017-05-01,,57.13,0,1.0,5,5.0,-,-,0
25,31.0,Barabati Stadium,Delhi Capitals,2017-05-06,,57.38,0,1.0,2,2.0,-,-,0
26,32.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-05-08,,59.0,0,1.0,13,13.0,-,-,0
27,33.0,Wankhede Stadium,Punjab Kings,2017-05-11,,62.63,0,2.0,29,14.5,-,-,0
28,34.0,Eden Gardens,Kolkata Knight Riders,2017-05-13,9.0,52.3,2,4.0,22,5.5,11,12,0
29,35.0,Wankhede Stadium,Rising Pune Supergiant,2017-05-16,,53.8,0,1.0,15,15.0,-,-,0
