,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Arun Jaitley Stadium,Delhi Capitals,2010-03-17,1.0,24.0,1,4.0,24,6.0,24,24,0
1,2.0,Barabati Stadium,Royal Challengers Bangalore,2010-03-20,,48.0,0,2.0,24,12.0,-,-,0
2,5.0,Dr DY Patil Sports Academy,Deccan Chargers,2010-03-28,2.0,34.0,1,2.0,20,10.0,20,12,0
3,6.0,Brabourne Stadium,Punjab Kings,2010-03-30,,44.0,0,2.0,20,10.0,-,-,0
4,7.0,Brabourne Stadium,Deccan Chargers,2010-04-03,3.0,28.5,2,4.0,26,6.5,13,12,0
5,8.0,MA Chidambaram Stadium,Chennai Super Kings,2010-04-06,5.0,23.5,2,4.0,27,6.75,13.5,12,0
6,9.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2010-04-09,7.0,21.43,1,1.0,9,9.0,9,6,0
7,10.0,Sawai Mansingh Stadium,Rajasthan Royals,2010-04-11,8.0,21.13,1,2.0,19,9.5,19,12,0
8,11.0,Brabourne Stadium,Delhi Capitals,2010-04-13,,23.0,0,4.0,15,3.75,-,-,0
9,12.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2010-04-17,9.0,19.27,3,4.0,28,7.0,9.3,8,0
10,13.0,Dr DY Patil Sports Academy,Royal Challengers Bangalore,2010-04-21,12.0,16.36,3,4.0,17,4.25,5.7,8,0
11,14.0,Dr DY Patil Sports Academy,Chennai Super Kings,2010-04-25,15.0,18.27,1,4.0,45,11.25,45,24,0
12,15.0,Arun Jaitley Stadium,Delhi Capitals,2011-04-10,,19.47,0,3.0,18,6.0,-,-,0
13,16.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2011-04-12,16.0,18.65,2,4.0,25,6.25,12.5,12,0
14,17.0,Barabati Stadium,Kochi Tuskers Kerala,2011-04-15,,21.18,0,3.0,43,14.33,-,-,0
15,18.0,Wankhede Stadium,Pune Warriors,2011-04-20,,21.94,0,1.0,13,13.0,-,-,0
16,19.0,Wankhede Stadium,Chennai Super Kings,2011-04-22,18.0,22.39,1,4.0,30,7.5,30,24,0
17,20.0,Rajiv Gandhi International Stadium,Deccan Chargers,2011-04-24,19.0,22.26,1,2.0,20,10.0,20,12,0
18,21.0,Sawai Mansingh Stadium,Rajasthan Royals,2011-04-29,,23.11,0,2.0,16,8.0,-,-,0
