,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Wankhede Stadium,Gujarat Lions,2016-04-16,1.0,20.0,1,4.0,20,5.0,20,24,0
1,3.0,Barabati Stadium,Royal Challengers Bangalore,2016-04-20,2.0,15.67,2,4.0,27,6.75,13.5,12,0
2,4.0,Arun Jaitley Stadium,Delhi Capitals,2016-04-23,,24.0,0,4.0,25,6.25,-,-,0
3,5.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2016-04-25,,30.67,0,2.0,20,10.0,-,-,0
4,6.0,Wankhede Stadium,Kolkata Knight Riders,2016-04-28,,37.67,0,2.0,21,10.5,-,-,0
5,7.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-05-01,,47.0,0,2.0,28,14.0,-,-,0
6,8.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2016-05-08,,48.67,0,1.0,5,5.0,-,-,0
7,9.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-05-11,4.0,40.25,1,4.0,15,3.75,15,24,0
8,10.0,Dr YS Rajasekhara Reddy Cricket Stadium,Punjab Kings,2016-05-13,,48.25,0,4.0,32,8.0,-,-,0
9,11.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2016-05-15,5.0,34.67,2,2.1,15,6.92,7.5,6.5,0
10,12.0,Green Park,Gujarat Lions,2016-05-21,,39.33,0,2.0,28,14.0,-,-,0
11,13.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-06,,42.83,0,2.0,21,10.5,-,-,0
12,14.0,Wankhede Stadium,Kolkata Knight Riders,2017-04-09,7.0,31.22,3,4.0,24,6.0,8,8,0
13,15.0,Wankhede Stadium,Sunrisers Hyderabad,2017-04-12,,32.56,0,1.0,12,12.0,-,-,0
14,16.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-14,10.0,31.4,1,4.0,21,5.25,21,24,0
15,17.0,Wankhede Stadium,Gujarat Lions,2017-04-16,,33.2,0,3.0,18,6.0,-,-,0
16,18.0,Holkar Cricket Stadium,Punjab Kings,2017-04-20,11.0,32.82,1,4.0,29,7.25,29,24,0
