,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Barabati Stadium,Punjab Kings,2017-04-13,1.0,15.0,1,2.0,15,7.5,15,12,0
1,3.0,Arun Jaitley Stadium,Delhi Capitals,2017-04-17,,27.0,0,1.0,12,12.0,-,-,0
2,4.0,Eden Gardens,Royal Challengers Bangalore,2017-04-23,2.0,7.75,3,1.4,4,2.4,1.3,3.3,0
3,5.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-26,,11.25,0,2.0,14,7.0,-,-,0
4,6.0,Eden Gardens,Delhi Capitals,2017-04-28,,15.0,0,1.0,15,15.0,-,-,0
5,8.0,Eden Gardens,Rising Pune Supergiant,2017-05-03,,16.75,0,0.2,7,21.0,-,-,0
6,9.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-05-07,,20.5,0,2.0,15,7.5,-,-,0
7,10.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2017-05-09,,29.75,0,4.0,37,9.25,-,-,0
8,11.0,Eden Gardens,Mumbai Indians,2017-05-13,,33.75,0,2.0,16,8.0,-,-,0
9,15.0,M Chinnaswamy Stadium,Mumbai Indians,2018-05-01,,44.25,0,3.0,28,9.33,-,-,0
10,16.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-05,5.0,38.6,1,4.0,16,4.0,16,24,0
11,17.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-07,,40.2,0,1.0,8,8.0,-,-,0
12,18.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-12,,42.6,0,1.0,12,12.0,-,-,0
13,19.0,Holkar Cricket Stadium,Punjab Kings,2018-05-14,6.0,36.83,1,2.0,8,4.0,8,12,0
14,20.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2018-05-17,,42.5,0,2.0,34,17.0,-,-,0
15,21.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-19,,46.33,0,2.0,23,11.5,-,-,0
16,23.0,M Chinnaswamy Stadium,Mumbai Indians,2019-03-28,,50.83,0,3.0,27,9.0,-,-,0
17,24.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-31,,53.5,0,1.0,16,16.0,-,-,0
18,25.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2019-05-04,,55.5,0,1.0,12,12.0,-,-,0
