,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-07,,,0,3.0,19,6.33,-,-,0
1,2.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-12,1.0,44.0,1,4.0,25,6.25,25,24,0
2,3.0,Holkar Cricket Stadium,Punjab Kings,2018-05-14,2.0,28.5,1,2.1,13,6.0,13,13,0
3,4.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2018-05-17,3.0,26.0,1,2.0,21,10.5,21,12,0
4,5.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-19,,32.33,0,2.0,19,9.5,-,-,0
5,6.0,MA Chidambaram Stadium,Chennai Super Kings,2019-03-23,4.0,29.0,1,4.0,19,4.75,19,24,0
6,7.0,M Chinnaswamy Stadium,Mumbai Indians,2019-03-28,,32.25,0,1.0,13,13.0,-,-,0
7,8.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-31,,39.5,0,3.0,29,9.67,-,-,0
8,9.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-02,,43.0,0,1.0,14,14.0,-,-,0
9,11.0,M Chinnaswamy Stadium,Delhi Capitals,2019-04-07,5.0,38.8,1,4.0,22,5.5,22,24,0
10,12.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2019-04-13,6.0,35.5,1,4.0,19,4.75,19,24,0
11,13.0,Wankhede Stadium,Mumbai Indians,2019-04-15,7.0,28.88,2,4.0,18,4.5,9,12,0
12,14.0,Eden Gardens,Kolkata Knight Riders,2019-04-19,,30.5,0,1.0,13,13.0,-,-,0
13,16.0,M Chinnaswamy Stadium,Punjab Kings,2019-04-24,9.0,29.56,1,3.0,22,7.33,22,18,0
