,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,2.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-04-24,,,0,4.0,22,5.5,-,-,0
1,3.0,Sawai Mansingh Stadium,Rajasthan Royals,2012-05-01,1.0,10.0,4,4.0,18,4.5,4.5,6,0
2,4.0,Arun Jaitley Stadium,Punjab Kings,2012-05-15,5.0,12.8,1,3.0,24,8.0,24,18,0
3,5.0,Arun Jaitley Stadium,Royal Challengers Bangalore,2012-05-17,,20.2,0,3.0,37,12.33,-,-,0
4,7.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2012-05-22,6.0,19.83,1,4.0,18,4.5,18,24,0
5,8.0,MA Chidambaram Stadium,Chennai Super Kings,2012-05-25,7.0,21.71,1,4.0,33,8.25,33,24,0
6,9.0,Sawai Mansingh Stadium,Rajasthan Royals,2013-05-07,,25.71,0,4.0,28,7.0,-,-,0
7,10.0,Sheikh Zayed Stadium,Punjab Kings,2014-04-18,,31.0,0,3.0,37,12.33,-,-,0
8,11.0,JSCA International Stadium Complex,Sunrisers Hyderabad,2014-05-22,,36.43,0,4.0,38,9.5,-,-,0
9,12.0,Eden Gardens,Kolkata Knight Riders,2015-04-30,8.0,34.75,1,4.0,23,5.75,23,24,0
10,13.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2015-05-02,9.0,33.11,1,2.0,20,10.0,20,12,0
11,14.0,MA Chidambaram Stadium,Royal Challengers Bangalore,2015-05-04,,35.22,0,2.0,19,9.5,-,-,0
12,15.0,MA Chidambaram Stadium,Mumbai Indians,2015-05-08,,39.0,0,4.0,34,8.5,-,-,0
13,16.0,MA Chidambaram Stadium,Rajasthan Royals,2015-05-10,,42.89,0,4.0,35,8.75,-,-,0
14,17.0,Shaheed Veer Narayan Sing International Stadium,Delhi Capitals,2015-05-12,10.0,37.64,2,3.0,28,9.33,14,9,0
15,18.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2015-05-16,12.0,33.77,2,4.0,25,6.25,12.5,12,0
16,19.0,Wankhede Stadium,Mumbai Indians,2015-05-19,,37.31,0,4.0,46,11.5,-,-,0
17,20.0,JSCA International Stadium Complex,Royal Challengers Bangalore,2015-05-22,,37.62,0,1.0,4,4.0,-,-,0
18,21.0,Eden Gardens,Mumbai Indians,2015-05-24,,39.0,0,2.0,18,9.0,-,-,0
19,23.0,Arun Jaitley Stadium,Punjab Kings,2016-04-15,,39.77,0,1.0,10,10.0,-,-,0
20,24.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2016-04-17,,41.77,0,3.0,26,8.67,-,-,0
21,25.0,Arun Jaitley Stadium,Mumbai Indians,2016-04-23,,43.23,0,1.0,19,19.0,-,-,0
22,27.0,Arun Jaitley Stadium,Rising Pune Supergiant,2016-05-05,,44.0,0,1.0,10,10.0,-,-,0
23,29.0,Shaheed Veer Narayan Sing International Stadium,Royal Challengers Bangalore,2016-05-22,14.0,42.21,1,3.0,19,6.33,19,18,0
24,30.0,M Chinnaswamy Stadium,Delhi Capitals,2017-04-08,15.0,37.13,2,1.0,3,3.0,1.5,3,0
25,31.0,Holkar Cricket Stadium,Punjab Kings,2017-04-10,,37.56,0,1.0,7,7.0,-,-,0
26,32.0,M Chinnaswamy Stadium,Mumbai Indians,2017-04-14,,39.31,0,2.0,28,14.0,-,-,0
27,33.0,M Chinnaswamy Stadium,Rising Pune Supergiant,2017-04-16,17.0,37.71,1,3.0,12,4.0,12,18,0
28,34.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-18,18.0,36.78,1,4.0,21,5.25,21,24,0
29,35.0,Eden Gardens,Kolkata Knight Riders,2017-04-23,19.0,33.85,2,3.0,15,5.0,7.5,9,0
30,36.0,M Chinnaswamy Stadium,Gujarat Lions,2017-04-27,21.0,33.38,1,2.0,24,12.0,24,12,0
31,37.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-29,22.0,32.68,1,4.0,18,4.5,18,24,0
32,38.0,Wankhede Stadium,Mumbai Indians,2017-05-01,23.0,30.67,2,4.0,17,4.25,8.5,12,0
33,39.0,M Chinnaswamy Stadium,Punjab Kings,2017-05-05,25.0,30.28,1,3.0,21,7.0,21,18,0
34,40.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2017-05-07,26.0,28.81,2,3.1,21,6.63,10.5,9.5,0
35,41.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-14,28.0,26.27,3,2.0,10,5.0,3.3,4,0
36,42.0,M Chinnaswamy Stadium,Rajasthan Royals,2018-04-15,,26.7,0,1.0,13,13.0,-,-,0
37,43.0,M Chinnaswamy Stadium,Chennai Super Kings,2018-04-25,31.0,27.0,1,3.0,36,12.0,36,18,0
38,44.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2019-04-05,32.0,26.0,2,3.1,21,6.63,10.5,9.5,0
39,45.0,M Chinnaswamy Stadium,Delhi Capitals,2019-04-07,34.0,26.03,1,3.0,27,9.0,27,18,0
40,47.0,Wankhede Stadium,Mumbai Indians,2019-04-15,,27.41,0,4.0,47,11.75,-,-,0
41,49.0,M Chinnaswamy Stadium,Chennai Super Kings,2019-04-21,,27.62,0,1.0,7,7.0,-,-,0
