,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,2017-04-22,,,0,3,19,6.33,-,-,0
1,2.0,Wankhede Stadium,Mumbai Indians,2017-04-24,1.0,45.0,1,4,26,6.5,26,24,0
2,3.0,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2017-04-26,,77.0,0,3,32,10.67,-,-,0
3,4.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2017-04-29,2.0,42.0,1,2,7,3.5,7,12,0
4,5.0,Maharashtra Cricket Association Stadium,Gujarat Lions,2017-05-01,,48.0,0,2,12,6.0,-,-,0
5,6.0,Eden Gardens,Kolkata Knight Riders,2017-05-03,3.0,28.5,2,2,18,9.0,9,6,0
6,7.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-05-06,,33.25,0,3,19,6.33,-,-,0
7,8.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-12,5.0,31.2,1,3,23,7.67,23,18,0
8,10.0,Wankhede Stadium,Mumbai Indians,2017-05-16,6.0,21.5,3,4,16,4.0,5.3,8,0
9,11.0,Rajiv Gandhi International Stadium,Mumbai Indians,2017-05-21,,23.13,0,4,13,3.25,-,-,0
10,12.0,Eden Gardens,Kolkata Knight Riders,2018-04-08,9.0,25.89,1,4,48,12.0,48,24,0
11,13.0,M Chinnaswamy Stadium,Punjab Kings,2018-04-13,10.0,23.18,2,4,22,5.5,11,12,0
12,14.0,M Chinnaswamy Stadium,Rajasthan Royals,2018-04-15,,25.91,0,4,30,7.5,-,-,0
13,15.0,Wankhede Stadium,Mumbai Indians,2018-04-17,,28.82,0,2,32,16.0,-,-,0
14,16.0,M Chinnaswamy Stadium,Delhi Capitals,2018-04-21,12.0,29.0,1,4,31,7.75,31,24,0
15,17.0,M Chinnaswamy Stadium,Chennai Super Kings,2018-04-25,,30.17,0,1,14,14.0,-,-,0
16,18.0,M Chinnaswamy Stadium,Mumbai Indians,2018-05-01,,31.42,0,1,15,15.0,-,-,0
17,19.0,M Chinnaswamy Stadium,Punjab Kings,2019-04-24,,33.17,0,2,21,10.5,-,-,0
18,20.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-28,13.0,32.85,1,4,29,7.25,29,24,0
19,21.0,M Chinnaswamy Stadium,Sunrisers Hyderabad,2019-05-04,14.0,28.19,3,3,24,8.0,8,6,0
