,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Maharashtra Cricket Association Stadium,Mumbai Indians,2017-04-06,1.0,36.0,1,4.0,36,9.0,36,24,0
1,2.0,Holkar Cricket Stadium,Punjab Kings,2017-04-08,,68.0,0,4.0,32,8.0,-,-,0
2,3.0,Maharashtra Cricket Association Stadium,Delhi Capitals,2017-04-11,,109.0,0,4.0,41,10.25,-,-,0
3,4.0,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-14,,127.0,0,3.0,18,6.0,-,-,0
4,5.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-16,2.0,36.25,3,4.0,18,4.5,6,8,0
5,6.0,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,2017-04-22,,41.0,0,2.0,19,9.5,-,-,0
6,7.0,Wankhede Stadium,Mumbai Indians,2017-04-24,5.0,30.83,2,4.0,21,5.25,10.5,12,0
7,8.0,Maharashtra Cricket Association Stadium,Gujarat Lions,2017-05-01,,36.83,0,4.0,36,9.0,-,-,0
8,9.0,Eden Gardens,Kolkata Knight Riders,2017-05-03,7.0,35.0,1,4.0,24,6.0,24,24,0
9,10.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2017-05-06,8.0,27.5,3,4.0,30,7.5,10,8,0
10,11.0,Arun Jaitley Stadium,Delhi Capitals,2017-05-12,11.0,25.5,2,4.0,31,7.75,15.5,12,0
11,12.0,Maharashtra Cricket Association Stadium,Punjab Kings,2017-05-14,,26.33,0,3.0,10,3.33,-,-,0
12,13.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-09,,28.08,0,2.0,21,10.5,-,-,0
13,15.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-15,13.0,28.38,1,3.0,32,10.67,32,18,0
14,16.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2018-04-18,,30.31,0,3.0,25,8.33,-,-,0
15,17.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-20,,33.31,0,3.0,39,13.0,-,-,0
16,18.0,Sawai Mansingh Stadium,Mumbai Indians,2018-04-22,,35.69,0,3.0,31,10.33,-,-,0
17,19.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2018-04-29,,37.23,0,3.0,20,6.67,-,-,0
18,20.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-02,,39.38,0,3.0,28,9.33,-,-,0
19,21.0,Holkar Cricket Stadium,Punjab Kings,2018-05-06,14.0,38.14,1,3.0,22,7.33,22,18,0
20,22.0,Sawai Mansingh Stadium,Punjab Kings,2018-05-08,15.0,36.47,1,2.0,13,6.5,13,12,0
21,23.0,Sawai Mansingh Stadium,Chennai Super Kings,2018-05-11,,38.53,0,4.0,31,7.75,-,-,0
22,24.0,Wankhede Stadium,Mumbai Indians,2018-05-13,16.0,35.53,2,4.0,26,6.5,13,12,0
23,25.0,Eden Gardens,Kolkata Knight Riders,2018-05-15,18.0,30.95,3,4.0,15,3.75,5,8,0
24,26.0,Sawai Mansingh Stadium,Punjab Kings,2019-03-25,21.0,30.32,2,4.0,48,12.0,24,12,0
25,27.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-29,23.0,30.74,1,3.0,40,13.33,40,18,0
26,28.0,MA Chidambaram Stadium,Chennai Super Kings,2019-03-31,24.0,30.71,1,3.0,30,10.0,30,18,0
27,29.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2019-04-02,,31.92,0,3.0,29,9.67,-,-,0
28,30.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2019-04-07,,32.04,0,0.5,3,3.6,-,-,0
29,31.0,Sawai Mansingh Stadium,Chennai Super Kings,2019-04-11,25.0,31.08,2,3.0,39,13.0,19.5,9,0
