,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sawai Mansingh Stadium,Mumbai Indians,2018-04-22,1.0,7.33,3,4.0,22,5.5,7.3,8,0
1,2.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2018-04-29,4.0,8.0,3,4.0,26,6.5,8.7,8,0
2,3.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-02,7.0,11.29,1,3.1,31,9.79,31,19,0
3,4.0,Holkar Cricket Stadium,Punjab Kings,2018-05-06,8.0,15.25,1,3.4,43,11.73,43,22,0
4,5.0,Sawai Mansingh Stadium,Punjab Kings,2018-05-08,9.0,17.11,1,4.0,32,8.0,32,24,0
5,6.0,Sawai Mansingh Stadium,Chennai Super Kings,2018-05-11,10.0,17.82,2,4.0,42,10.5,21,12,0
6,7.0,Wankhede Stadium,Mumbai Indians,2018-05-13,12.0,16.31,2,4.0,16,4.0,8,12,0
7,8.0,Eden Gardens,Kolkata Knight Riders,2018-05-15,,19.62,0,4.0,43,10.75,-,-,0
8,9.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2018-05-19,,22.46,0,4.0,37,9.25,-,-,0
9,10.0,Eden Gardens,Kolkata Knight Riders,2018-05-23,14.0,21.67,2,4.0,33,8.25,16.5,12,0
10,11.0,Sawai Mansingh Stadium,Punjab Kings,2019-03-25,,22.8,0,4.0,17,4.25,-,-,0
11,12.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-29,,25.6,0,4.0,42,10.5,-,-,0
12,13.0,MA Chidambaram Stadium,Chennai Super Kings,2019-03-31,16.0,23.59,2,4.0,17,4.25,8.5,12,0
13,14.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2019-04-02,18.0,24.89,1,4.0,47,11.75,47,24,0
14,15.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2019-04-07,,25.67,0,3.0,14,4.67,-,-,0
15,16.0,Sawai Mansingh Stadium,Chennai Super Kings,2019-04-11,19.0,25.32,1,4.0,19,4.75,19,24,0
16,17.0,Wankhede Stadium,Mumbai Indians,2019-04-13,20.0,23.64,3,4.0,39,9.75,13,8,0
17,18.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2019-04-16,23.0,21.4,3,4.0,12,3.0,4,8,0
18,19.0,Sawai Mansingh Stadium,Mumbai Indians,2019-04-20,26.0,21.42,1,4.0,22,5.5,22,24,0
19,20.0,Sawai Mansingh Stadium,Delhi Capitals,2019-04-22,,22.62,0,4.0,31,7.75,-,-,0
20,21.0,Eden Gardens,Kolkata Knight Riders,2019-04-25,,23.69,0,4.0,28,7.0,-,-,0
