,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-09,,,0,1,9,9.0,-,-,0
1,2.0,Sawai Mansingh Stadium,Delhi Capitals,2018-04-11,,,0,1,10,10.0,-,-,0
2,3.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-15,1.0,55.0,1,4,36,9.0,36,24,0
3,4.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2018-04-18,2.0,26.0,2,4,23,5.75,11.5,12,0
4,5.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-20,,37.67,0,3,35,11.67,-,-,0
5,6.0,Sawai Mansingh Stadium,Mumbai Indians,2018-04-22,,44.33,0,3,20,6.67,-,-,0
6,7.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2018-04-29,4.0,30.2,2,4,18,4.5,9,12,0
7,8.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-02,,35.6,0,2,27,13.5,-,-,0
8,9.0,Holkar Cricket Stadium,Punjab Kings,2018-05-06,6.0,32.67,1,3,18,6.0,18,18,0
9,10.0,Sawai Mansingh Stadium,Punjab Kings,2018-05-08,7.0,26.0,2,3,12,4.0,6,9,0
10,11.0,Sawai Mansingh Stadium,Chennai Super Kings,2018-05-11,,29.5,0,3,28,9.33,-,-,0
11,12.0,Wankhede Stadium,Mumbai Indians,2018-05-13,,32.38,0,2,23,11.5,-,-,0
12,13.0,Eden Gardens,Kolkata Knight Riders,2018-05-15,,36.38,0,2,32,16.0,-,-,0
13,14.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2018-05-19,9.0,33.0,1,2,6,3.0,6,12,0
14,15.0,Eden Gardens,Kolkata Knight Riders,2018-05-23,10.0,28.36,2,3,15,5.0,7.5,9,0
15,16.0,Sawai Mansingh Stadium,Punjab Kings,2019-03-25,12.0,28.67,1,4,32,8.0,32,24,0
16,17.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-29,,30.75,0,2,25,12.5,-,-,0
17,18.0,MA Chidambaram Stadium,Chennai Super Kings,2019-03-31,,31.83,0,2,13,6.5,-,-,0
18,19.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2019-04-02,,33.42,0,4,19,4.75,-,-,0
19,20.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2019-04-07,,35.25,0,1,22,22.0,-,-,0
20,21.0,Wankhede Stadium,Mumbai Indians,2019-04-13,,38.5,0,3,39,13.0,-,-,0
21,22.0,Arun Jaitley Stadium,Delhi Capitals,2019-05-04,,39.83,0,4,16,4.0,-,-,0
