,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-19,1.0,12.5,2,4.0,25,6.25,12.5,12,0
1,2.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2014-05-21,3.0,14.25,2,4.0,32,8.0,16,12,0
2,3.0,Wankhede Stadium,Delhi Capitals,2014-05-23,5.0,15.4,1,3.0,20,6.67,20,18,0
3,4.0,Wankhede Stadium,Rajasthan Royals,2014-05-25,6.0,18.83,1,3.0,36,12.0,36,18,0
4,5.0,Sardar Patel Stadium,Rajasthan Royals,2015-04-14,7.0,19.43,1,2.1,23,10.62,23,13,0
5,6.0,Wankhede Stadium,Rising Pune Supergiant,2016-04-09,,22.0,0,3.0,18,6.0,-,-,0
6,7.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-09,,24.43,0,3.0,18,6.0,-,-,0
7,9.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-15,8.0,21.44,2,4.0,22,5.5,11,12,0
8,10.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2018-04-18,,24.0,0,3.0,23,7.67,-,-,0
9,11.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-20,10.0,19.67,3,4.0,20,5.0,6.7,8,0
10,12.0,Sawai Mansingh Stadium,Mumbai Indians,2018-04-22,,22.17,0,2.0,30,15.0,-,-,0
11,13.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-02,13.0,22.46,1,2.0,26,13.0,26,12,0
12,14.0,Holkar Cricket Stadium,Punjab Kings,2018-05-06,,24.46,0,3.0,26,8.67,-,-,0
13,15.0,Wankhede Stadium,Mumbai Indians,2018-05-13,,26.08,0,2.0,21,10.5,-,-,0
14,16.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2018-05-19,14.0,20.88,4,4.0,16,4.0,4,6,0
15,17.0,Eden Gardens,Kolkata Knight Riders,2018-05-23,18.0,21.61,1,4.0,34,8.5,34,24,0
16,18.0,Sawai Mansingh Stadium,Punjab Kings,2019-03-25,,21.89,0,1.0,5,5.0,-,-,0
17,19.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-29,19.0,20.0,3,4.0,27,6.75,9,8,0
18,20.0,MA Chidambaram Stadium,Chennai Super Kings,2019-03-31,,21.1,0,3.0,23,7.67,-,-,0
19,21.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2019-04-02,22.0,18.96,3,4.0,12,3.0,4,8,0
20,22.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2019-04-07,25.0,18.85,2,4.0,35,8.75,17.5,12,0
21,23.0,Sawai Mansingh Stadium,Chennai Super Kings,2019-04-11,,20.04,0,4.0,31,7.75,-,-,0
22,24.0,Wankhede Stadium,Mumbai Indians,2019-04-13,,20.85,0,4.0,21,5.25,-,-,0
23,25.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2019-04-16,,22.04,0,4.0,31,7.75,-,-,0
24,26.0,Sawai Mansingh Stadium,Mumbai Indians,2019-04-20,27.0,21.21,2,4.0,21,5.25,10.5,12,0
25,27.0,Sawai Mansingh Stadium,Delhi Capitals,2019-04-22,29.0,21.37,2,4.0,47,11.75,23.5,12,0
26,28.0,Eden Gardens,Kolkata Knight Riders,2019-04-25,31.0,21.68,1,3.0,31,10.33,31,18,0
27,29.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2019-04-27,32.0,21.27,2,4.0,30,7.5,15,12,0
28,30.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-04-30,34.0,19.83,3,1.0,12,12.0,4,2,0
29,31.0,Arun Jaitley Stadium,Delhi Capitals,2019-05-04,37.0,19.34,2,4.0,21,5.25,10.5,12,0
