,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Eden Gardens,Kolkata Knight Riders,2010-04-19,,,0,1,9,9.0,-,-,0
1,2.0,Rajiv Gandhi International Stadium,Deccan Chargers,2011-04-09,,,0,1,14,14.0,-,-,0
2,3.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2011-04-21,,,0,2,18,9.0,-,-,0
3,7.0,MA Chidambaram Stadium,Chennai Super Kings,2011-05-04,,,0,1,12,12.0,-,-,0
4,8.0,MA Chidambaram Stadium,Chennai Super Kings,2012-04-21,,,0,2,20,10.0,-,-,0
5,10.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2012-05-05,1.0,81.0,1,1,8,8.0,8,6,0
6,11.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-05-08,2.0,46.5,1,3,12,4.0,12,18,0
7,13.0,Sawai Mansingh Stadium,Pune Warriors,2012-05-13,,55.0,0,2,17,8.5,-,-,0
8,14.0,Rajiv Gandhi International Stadium,Deccan Chargers,2012-05-18,3.0,39.33,1,1,8,8.0,8,6,0
9,15.0,Sawai Mansingh Stadium,Mumbai Indians,2012-05-20,,43.67,0,1,13,13.0,-,-,0
10,16.0,Arun Jaitley Stadium,Delhi Capitals,2013-04-06,,47.33,0,1,11,11.0,-,-,0
11,19.0,Sawai Mansingh Stadium,Punjab Kings,2013-04-14,,48.67,0,1,4,4.0,-,-,0
12,20.0,Sawai Mansingh Stadium,Mumbai Indians,2013-04-17,4.0,32.0,2,3,14,4.67,7,9,0
13,22.0,MA Chidambaram Stadium,Chennai Super Kings,2013-04-22,,36.0,0,2,20,10.0,-,-,0
14,23.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2013-04-27,6.0,34.17,1,4,25,6.25,25,24,0
15,24.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2013-04-29,,35.5,0,1,8,8.0,-,-,0
16,25.0,Eden Gardens,Kolkata Knight Riders,2013-05-03,,36.83,0,1,8,8.0,-,-,0
17,26.0,Sawai Mansingh Stadium,Pune Warriors,2013-05-05,,40.0,0,2,19,9.5,-,-,0
18,27.0,Sawai Mansingh Stadium,Delhi Capitals,2013-05-07,7.0,34.71,1,2,3,1.5,3,12,0
19,28.0,Sawai Mansingh Stadium,Chennai Super Kings,2013-05-12,8.0,32.5,1,3,17,5.67,17,18,0
20,29.0,Wankhede Stadium,Mumbai Indians,2013-05-15,,33.88,0,1,11,11.0,-,-,0
21,30.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2013-05-17,,35.0,0,1,9,9.0,-,-,0
22,31.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2013-05-22,,35.25,0,1,2,2.0,-,-,0
23,32.0,Eden Gardens,Mumbai Indians,2013-05-24,9.0,32.56,1,1,11,11.0,11,6,0
24,33.0,Sheikh Zayed Stadium,Sunrisers Hyderabad,2014-04-18,,33.33,0,1,7,7.0,-,-,0
25,34.0,Sharjah Cricket Stadium,Punjab Kings,2014-04-20,,33.78,0,1,4,4.0,-,-,0
26,35.0,Dubai International Cricket Stadium,Chennai Super Kings,2014-04-23,10.0,31.4,1,1,10,10.0,10,6,0
27,36.0,Sheikh Zayed Stadium,Royal Challengers Bangalore,2014-04-26,11.0,28.64,1,1,1,1.0,1,6,0
28,37.0,Sheikh Zayed Stadium,Kolkata Knight Riders,2014-04-29,,29.27,0,1,7,7.0,-,-,0
29,38.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-03,,30.09,0,1,9,9.0,-,-,0
30,43.0,Sardar Patel Stadium,Delhi Capitals,2014-05-15,12.0,28.75,1,2,14,7.0,14,12,0
31,44.0,Sardar Patel Stadium,Mumbai Indians,2014-05-19,,29.75,0,1,12,12.0,-,-,0
32,46.0,Maharashtra Cricket Association Stadium,Punjab Kings,2015-04-10,,31.0,0,2,15,7.5,-,-,0
33,48.0,Sardar Patel Stadium,Mumbai Indians,2015-04-14,13.0,29.23,1,2,8,4.0,8,12,0
34,49.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2015-04-16,,30.15,0,2,12,6.0,-,-,0
35,50.0,Sardar Patel Stadium,Chennai Super Kings,2015-04-19,,30.54,0,1,5,5.0,-,-,0
36,51.0,Sardar Patel Stadium,Punjab Kings,2015-04-21,,31.54,0,2,13,6.5,-,-,0
37,53.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2015-04-29,14.0,31.57,1,4,32,8.0,32,24,0
38,54.0,Wankhede Stadium,Mumbai Indians,2015-05-01,,32.79,0,2,17,8.5,-,-,0
39,55.0,Brabourne Stadium,Delhi Capitals,2015-05-03,15.0,30.38,2,2,27,13.5,13.5,6,0
40,57.0,Brabourne Stadium,Kolkata Knight Riders,2015-05-16,,31.0,0,1,10,10.0,-,-,0
41,58.0,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2015-05-20,,31.06,0,1,1,1.0,-,-,0
42,60.0,Barabati Stadium,Mumbai Indians,2016-04-20,,31.56,0,1,8,8.0,-,-,0
43,61.0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2016-04-22,,33.0,0,2,23,11.5,-,-,0
44,63.0,M Chinnaswamy Stadium,Kolkata Knight Riders,2016-05-02,17.0,32.06,1,2,17,8.5,17,12,0
45,64.0,M Chinnaswamy Stadium,Rising Pune Supergiant,2016-05-07,,33.06,0,2,17,8.5,-,-,0
46,65.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2016-05-09,,34.0,0,2,16,8.0,-,-,0
47,66.0,M Chinnaswamy Stadium,Mumbai Indians,2016-05-11,,34.12,0,1,2,2.0,-,-,0
48,67.0,M Chinnaswamy Stadium,Gujarat Lions,2016-05-14,,34.88,0,2,13,6.5,-,-,0
49,68.0,Eden Gardens,Kolkata Knight Riders,2016-05-16,,35.35,0,1,8,8.0,-,-,0
50,69.0,M Chinnaswamy Stadium,Punjab Kings,2016-05-18,,36.0,0,1,11,11.0,-,-,0
51,70.0,Shaheed Veer Narayan Sing International Stadium,Delhi Capitals,2016-05-22,,36.88,0,2,15,7.5,-,-,0
52,71.0,M Chinnaswamy Stadium,Gujarat Lions,2016-05-24,,37.12,0,1,4,4.0,-,-,0
