,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Rajiv Gandhi International Stadium,Punjab Kings,2017-04-17,1.0,28.0,1,4.0,28,7.0,28,24,0
1,2.0,Rajiv Gandhi International Stadium,Mumbai Indians,2017-05-08,2.0,20.5,1,4.0,13,3.25,13,24,0
2,3.0,Green Park,Gujarat Lions,2017-05-13,,29.0,0,3.0,17,5.67,-,-,0
3,4.0,Wankhede Stadium,Mumbai Indians,2018-04-24,3.0,27.0,1,3.0,23,7.67,23,18,0
4,5.0,Rajiv Gandhi International Stadium,Punjab Kings,2018-04-26,,35.0,0,2.0,24,12.0,-,-,0
5,6.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2019-03-31,4.0,16.57,4,4.0,11,2.75,2.8,6,0
6,7.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-04,8.0,15.22,2,4.0,21,5.25,10.5,12,0
7,8.0,Rajiv Gandhi International Stadium,Mumbai Indians,2019-04-06,10.0,15.0,1,4.0,13,3.25,13,24,0
8,9.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2019-04-08,,19.2,0,3.5,42,10.96,-,-,0
9,10.0,Rajiv Gandhi International Stadium,Punjab Kings,2019-04-29,,22.0,0,3.0,28,9.33,-,-,0
10,11.0,Wankhede Stadium,Mumbai Indians,2019-05-02,11.0,22.18,1,4.0,24,6.0,24,24,0
11,12.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-05-04,,24.55,0,2.2,26,11.14,-,-,0
12,13.0,Dr YS Rajasekhara Reddy Cricket Stadium,Delhi Capitals,2019-05-08,,27.18,0,4.0,29,7.25,-,-,0
