,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sawai Mansingh Stadium,Rajasthan Royals,2011-04-15,1.0,15.5,2,4.0,31,7.75,15.5,12,0
1,2.0,Eden Gardens,Rajasthan Royals,2011-04-17,3.0,13.0,2,4.0,21,5.25,10.5,12,0
2,3.0,Eden Gardens,Kochi Tuskers Kerala,2011-04-20,5.0,11.43,3,4.0,28,7.0,9.3,8,0
3,4.0,Eden Gardens,Royal Challengers Bangalore,2011-04-22,,15.57,0,2.1,29,13.38,-,-,0
4,5.0,Dr DY Patil Sports Academy,Pune Warriors,2011-05-19,8.0,13.89,2,4.0,16,4.0,8,12,0
5,6.0,Eden Gardens,Mumbai Indians,2011-05-22,,16.78,0,4.0,26,6.5,-,-,0
6,7.0,Wankhede Stadium,Mumbai Indians,2011-05-25,10.0,15.91,2,3.2,24,7.2,12,10,0
7,8.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2012-04-10,12.0,15.08,2,3.0,21,7.0,10.5,9,0
8,9.0,Eden Gardens,Rajasthan Royals,2012-04-13,14.0,13.31,3,4.0,17,4.25,5.7,8,0
9,10.0,Eden Gardens,Punjab Kings,2012-04-15,17.0,14.06,1,4.0,26,6.5,26,24,0
10,11.0,Eden Gardens,Mumbai Indians,2012-05-12,18.0,14.78,1,4.0,27,6.75,27,24,0
11,12.0,Wankhede Stadium,Mumbai Indians,2012-05-16,19.0,15.32,1,4.0,25,6.25,25,24,0
12,13.0,Maharashtra Cricket Association Stadium,Pune Warriors,2012-05-19,20.0,14.71,2,4.0,18,4.5,9,12,0
13,14.0,Maharashtra Cricket Association Stadium,Delhi Capitals,2012-05-22,22.0,15.68,1,4.0,36,9.0,36,24,0
14,15.0,MA Chidambaram Stadium,Chennai Super Kings,2012-05-27,23.0,16.09,1,3.0,25,8.33,25,18,0
15,16.0,Sheikh Zayed Stadium,Mumbai Indians,2014-04-16,24.0,16.63,1,4.0,29,7.25,29,24,0
16,17.0,Dubai International Cricket Stadium,Delhi Capitals,2014-04-19,,17.67,0,3.0,25,8.33,-,-,0
17,18.0,Sheikh Zayed Stadium,Rajasthan Royals,2014-04-29,25.0,17.88,1,4.0,23,5.75,23,24,0
18,19.0,JSCA International Stadium Complex,Chennai Super Kings,2014-05-02,26.0,17.48,2,4.0,25,6.25,12.5,12,0
19,20.0,Sardar Patel Stadium,Rajasthan Royals,2014-05-05,28.0,17.75,1,4.0,25,6.25,25,24,0
20,21.0,Arun Jaitley Stadium,Delhi Capitals,2014-05-07,29.0,17.59,1,4.0,13,3.25,13,24,0
21,22.0,Barabati Stadium,Mumbai Indians,2014-05-14,30.0,17.7,1,4.0,21,5.25,21,24,0
22,23.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2014-05-18,31.0,17.28,2,3.0,22,7.33,11,9,0
23,24.0,Eden Gardens,Chennai Super Kings,2014-05-20,,18.22,0,4.0,30,7.5,-,-,0
24,25.0,Eden Gardens,Royal Challengers Bangalore,2014-05-22,,19.06,0,4.0,27,6.75,-,-,0
25,26.0,Eden Gardens,Sunrisers Hyderabad,2014-05-24,33.0,19.24,1,4.0,25,6.25,25,24,0
