,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,JSCA International Stadium Complex,Rajasthan Royals,2014-05-13,,,0,1,19,19.0,-,-,0
1,9.0,Eden Gardens,Kolkata Knight Riders,2018-04-16,,,0,1,12,12.0,-,-,0
2,11.0,Arun Jaitley Stadium,Kolkata Knight Riders,2018-04-27,,,0,1,10,10.0,-,-,0
3,12.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-30,1.0,63.0,1,2,22,11.0,22,12,0
4,15.0,Arun Jaitley Stadium,Sunrisers Hyderabad,2018-05-10,,77.0,0,1,14,14.0,-,-,0
5,20.0,Rajiv Gandhi International Stadium,Rajasthan Royals,2019-03-29,,90.0,0,1,13,13.0,-,-,0
6,21.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2019-03-31,,103.0,0,2,13,6.5,-,-,0
7,25.0,Rajiv Gandhi International Stadium,Delhi Capitals,2019-04-14,,120.0,0,2,17,8.5,-,-,0
8,26.0,Rajiv Gandhi International Stadium,Chennai Super Kings,2019-04-17,2.0,65.5,1,2,11,5.5,11,12,0
9,32.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2019-05-04,,73.5,0,1,16,16.0,-,-,0
