,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Arun Jaitley Stadium,Delhi Capitals,2008-04-19,,,0,2.1,17,7.85,-,-,0
1,2.0,Sawai Mansingh Stadium,Punjab Kings,2008-04-21,,,0,1.0,13,13.0,-,-,0
2,3.0,Rajiv Gandhi International Stadium,Deccan Chargers,2008-04-24,1.0,25.0,2,2.0,20,10.0,10,6,0
3,4.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2008-04-26,,30.0,0,1.0,10,10.0,-,-,0
4,5.0,Sawai Mansingh Stadium,Kolkata Knight Riders,2008-05-01,,37.0,0,2.0,14,7.0,-,-,0
5,6.0,Sawai Mansingh Stadium,Chennai Super Kings,2008-05-04,,41.5,0,2.0,9,4.5,-,-,0
6,8.0,Sawai Mansingh Stadium,Deccan Chargers,2008-05-09,3.0,34.0,1,2.0,19,9.5,19,12,0
7,10.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2008-05-17,,43.33,0,2.0,28,14.0,-,-,0
8,11.0,Eden Gardens,Kolkata Knight Riders,2008-05-20,4.0,36.0,1,2.0,14,7.0,14,12,0
9,12.0,MA Chidambaram Stadium,Chennai Super Kings,2008-05-24,,43.75,0,3.0,31,10.33,-,-,0
10,13.0,Sawai Mansingh Stadium,Mumbai Indians,2008-05-26,,46.0,0,3.0,9,3.0,-,-,0
11,14.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2008-05-28,5.0,41.6,1,2.0,24,12.0,24,12,0
12,16.0,Dr DY Patil Sports Academy,Chennai Super Kings,2008-06-01,6.0,28.75,3,4.0,22,5.5,7.3,8,0
13,17.0,Newlands,Royal Challengers Bangalore,2009-04-18,,30.88,0,2.0,17,8.5,-,-,0
14,18.0,Newlands,Kolkata Knight Riders,2009-04-23,,34.25,0,4.0,27,6.75,-,-,0
15,19.0,Newlands,Punjab Kings,2009-04-26,,38.0,0,4.0,30,7.5,-,-,0
16,20.0,SuperSport Park,Delhi Capitals,2009-04-28,,39.75,0,2.0,14,7.0,-,-,0
17,21.0,Buffalo Park,Chennai Super Kings,2009-04-30,9.0,33.5,2,3.0,17,5.67,8.5,9,0
18,22.0,St George's Park,Deccan Chargers,2009-05-02,11.0,32.18,1,4.0,19,4.75,19,24,0
19,23.0,Kingsmead,Punjab Kings,2009-05-05,12.0,31.83,1,4.0,28,7.0,28,24,0
20,25.0,Diamond Oval,Chennai Super Kings,2009-05-09,,34.17,0,4.0,28,7.0,-,-,0
21,26.0,Diamond Oval,Deccan Chargers,2009-05-11,13.0,29.6,3,4.0,34,8.5,11.3,8,0
22,27.0,Kingsmead,Mumbai Indians,2009-05-14,,31.27,0,3.0,25,8.33,-,-,0
23,28.0,Mangaung Oval,Delhi Capitals,2009-05-17,,31.53,0,1.0,4,4.0,-,-,0
24,30.0,Brabourne Stadium,Mumbai Indians,2010-03-13,,33.0,0,2.0,22,11.0,-,-,0
25,33.0,Sardar Patel Stadium,Kolkata Knight Riders,2010-03-20,16.0,30.47,2,4.0,23,5.75,11.5,12,0
26,34.0,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2010-03-24,18.0,27.74,2,2.0,9,4.5,4.5,6,0
27,35.0,Sardar Patel Stadium,Deccan Chargers,2010-03-26,,28.37,0,2.0,12,6.0,-,-,0
28,36.0,Sardar Patel Stadium,Chennai Super Kings,2010-03-28,20.0,28.25,1,4.0,26,6.5,26,24,0
29,37.0,Arun Jaitley Stadium,Delhi Capitals,2010-03-31,,29.5,0,3.0,25,8.33,-,-,0
