Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns,Avg
1,23/04/2008,Chennai Super Kings,MA Chidambaram Stadium,c J D P Oram b Joginder Sharma,1,24,16,24,24
2,25/04/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b P P Chawla,1,23,21,47,23.5
3,27/04/2008,Deccan Chargers,Dr DY Patil Sports Academy,c P P Ojha b R P Singh,1,34,18,81,27
4,29/04/2008,Kolkata Knight Riders,Eden Gardens,not out,0,64,53,145,48.33
5,4/5/2008,Delhi Capitals,Dr DY Patil Sports Academy,c V Y Mahesh b Shoaib Malik,1,2,4,147,36.75
6,7/5/2008,Rajasthan Royals,Dr DY Patil Sports Academy,c S A Asnodkar b S R Watson,1,1,5,148,29.6
7,18/05/2008,Deccan Chargers,Rajiv Gandhi International Stadium,b R P Singh,1,30,17,178,29.67
8,18/04/2009,Chennai Super Kings,Newlands,c M L Hayden b Joginder Sharma,1,5,4,183,26.14
9,25/04/2009,Deccan Chargers,Kingsmead,lbw b F H Edwards,1,21,18,204,25.5
10,27/04/2009,Kolkata Knight Riders,St George's Park,c C H Gayle b L R Shukla,1,3,5,207,23
11,29/04/2009,Kings XI Punjab,Kingsmead,c W A Mota b R R Powar,1,15,20,222,22.2
12,3/5/2009,Royal Challengers Bangalore,Wanderers Stadium,not out,0,50,40,272,27.2
13,6/5/2009,Deccan Chargers,SuperSport Park,c R J Harris b T L Suman,1,13,16,285,25.91
14,8/5/2009,Delhi Capitals,Buffalo Park,c †K D Karthik b D P Nannes,1,35,30,320,26.67
15,12/5/2009,Kings XI Punjab,SuperSport Park,not out,0,70,59,390,32.5
16,14/05/2009,Rajasthan Royals,Kingsmead,c & b M M Patel,1,1,3,391,30.08
17,16/05/2009,Chennai Super Kings,St George's Park,b J A Morkel,1,5,8,396,28.29
18,17/03/2010,Delhi Capitals,Arun Jaitley Stadium,c M Manhas b S Ladda,1,9,4,405,27
19,20/03/2010,Royal Challengers Bangalore,Barabati Stadium,lbw b R Vinay Kumar,1,1,2,406,25.38
20,25/03/2010,Chennai Super Kings,Brabourne Stadium,not out,0,11,7,417,26.06
21,28/03/2010,Deccan Chargers,Dr DY Patil Sports Academy,c A Symonds b R P Singh,1,23,16,440,25.88
22,30/03/2010,Kings XI Punjab,Brabourne Stadium,c & b R S Bopara,1,8,4,448,24.89
23,3/4/2010,Deccan Chargers,Brabourne Stadium,b P P Ojha,1,2,8,450,23.68
24,6/4/2010,Chennai Super Kings,MA Chidambaram Stadium,c T Thushara b S Tyagi,1,2,3,452,22.6
25,19/04/2010,Kolkata Knight Riders,Eden Gardens,st W P Saha b M Kartik,1,5,9,457,21.76
26,22/05/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,lbw b D L Vettori,1,5,5,462,21
27,28/05/2011,Royal Challengers Bangalore,MA Chidambaram Stadium,not out,0,6,1,468,21.27
28,4/4/2012,Mumbai Indians,MA Chidambaram Stadium,c K A Pollard b P P Ojha,1,19,19,487,21.17
29,7/4/2012,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,43,18,530,23.04
30,10/4/2012,Delhi Capitals,Arun Jaitley Stadium,b U T Yadav,1,22,31,552,23
31,12/4/2012,Royal Challengers Bangalore,MA Chidambaram Stadium,not out,0,25,15,577,24.04
32,14/04/2012,Pune Warriors,Maharashtra Cricket Association Stadium,not out,0,5,2,582,24.25
33,19/04/2012,Pune Warriors,MA Chidambaram Stadium,c A D Mathews b A Nehra,1,12,8,594,23.76
34,21/04/2012,Rajasthan Royals,MA Chidambaram Stadium,not out,0,16,10,610,24.4
35,28/04/2012,Kings XI Punjab,MA Chidambaram Stadium,c P P Chawla b P Kumar,1,30,21,640,24.62
36,30/04/2012,Kolkata Knight Riders,MA Chidambaram Stadium,c Iqbal Abdulla b J H Kallis,1,12,12,652,24.15
37,4/5/2012,Deccan Chargers,MA Chidambaram Stadium,not out,0,12,4,664,24.59
38,6/5/2012,Mumbai Indians,Wankhede Stadium,b S L Malinga,1,40,33,704,25.14
39,10/5/2012,Rajasthan Royals,Sawai Mansingh Stadium,c S T R Binny b S K Trivedi,1,10,15,714,24.62
40,14/05/2012,Kolkata Knight Riders,Eden Gardens,not out,0,11,7,725,25
