Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,19/04/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lbw b J R Hopes,1,2,3,2
2,23/04/2008,Mumbai Indians,MA Chidambaram Stadium,c D J J Bravo b M Khote,1,30,16,32
3,26/04/2008,Kolkata Knight Riders,MA Chidambaram Stadium,not out,0,43,27,75
4,28/04/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,c sub b Z Khan,1,65,30,140
5,2/5/2008,Delhi Capitals,MA Chidambaram Stadium,c Shoaib Malik b Mohammad Asif,1,32,27,172
6,4/5/2008,Rajasthan Royals,Sawai Mansingh Stadium,c G C Smith b S K Warne,1,1,7,173
7,6/5/2008,Deccan Chargers,MA Chidambaram Stadium,c Shahid Afridi b P P Ojha,1,23,31,196
8,8/5/2008,Delhi Capitals,Arun Jaitley Stadium,c A B de Villiers b V Y Mahesh,1,33,33,229
9,10/5/2008,Kings XI Punjab,MA Chidambaram Stadium,not out,0,60,43,289
10,14/05/2008,Mumbai Indians,Wankhede Stadium,not out,0,43,35,332
11,21/05/2008,Royal Challengers Bangalore,MA Chidambaram Stadium,c A Kumble b R Vinay Kumar,1,4,8,336
12,24/05/2008,Rajasthan Royals,MA Chidambaram Stadium,c M Kaif b Sohail Tanvir,1,12,8,348
13,27/05/2008,Deccan Chargers,Rajiv Gandhi International Stadium,c H H Gibbs b P P Ojha,1,37,25,385
14,1/6/2008,Rajasthan Royals,Dr DY Patil Sports Academy,not out,0,29,17,414
15,18/04/2009,Mumbai Indians,Newlands,b S L Malinga,1,36,26,450
16,20/04/2009,Royal Challengers Bangalore,St George's Park,c R Bishnoi b P Kumar,1,16,14,466
17,23/04/2009,Delhi Capitals,Kingsmead,c †K D Karthik b D L Vettori,1,5,7,471
18,27/04/2009,Deccan Chargers,Kingsmead,c Shoaib Ahmed b P P Ojha,1,22,22,493
19,30/04/2009,Rajasthan Royals,Buffalo Park,not out,0,22,19,515
20,2/5/2009,Delhi Capitals,Wanderers Stadium,c G Gambhir b D P Nannes,1,6,7,521
21,4/5/2009,Deccan Chargers,Buffalo Park,not out,0,58,37,579
22,7/5/2009,Kings XI Punjab,SuperSport Park,not out,0,56,27,635
23,14/05/2009,Royal Challengers Bangalore,Kingsmead,c & b R E van der Merwe,1,18,20,653
24,16/05/2009,Mumbai Indians,St George's Park,not out,0,23,22,676
25,18/05/2009,Kolkata Knight Riders,SuperSport Park,not out,0,40,28,716
26,20/05/2009,Kings XI Punjab,Kingsmead,b S Sreesanth,1,2,2,718
27,23/05/2009,Royal Challengers Bangalore,Wanderers Stadium,c R Vinay Kumar b R E van der Merwe,1,28,30,746
28,14/03/2010,Deccan Chargers,MA Chidambaram Stadium,b A Symonds,1,42,29,788
29,16/03/2010,Kolkata Knight Riders,Eden Gardens,not out,0,66,33,854
30,28/03/2010,Rajasthan Royals,Sardar Patel Stadium,run out,1,21,19,875
31,31/03/2010,Royal Challengers Bangalore,MA Chidambaram Stadium,c R Dravid b D W Steyn,1,14,19,889
32,3/4/2010,Rajasthan Royals,MA Chidambaram Stadium,c S Narwal b S R Watson,1,0,1,889
33,6/4/2010,Mumbai Indians,MA Chidambaram Stadium,c & b K A Pollard,1,31,18,920
34,10/4/2010,Deccan Chargers,Vidarbha Cricket Association Stadium,b P P Ojha,1,7,13,927
35,15/04/2010,Delhi Capitals,MA Chidambaram Stadium,c M Manhas b D P Nannes,1,0,2,927
36,18/04/2010,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,not out,0,54,29,981
37,22/04/2010,Deccan Chargers,Dr DY Patil Sports Academy,c R G Sharma b Harmeet Singh,1,30,32,1011
38,25/04/2010,Mumbai Indians,Dr DY Patil Sports Academy,c C R D Fernando b Z Khan,1,22,15,1033
39,8/4/2011,Kolkata Knight Riders,MA Chidambaram Stadium,c †M S Bisla b J H Kallis,1,29,21,1062
40,13/04/2011,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b R J Harris,1,43,20,1105
41,16/04/2011,Royal Challengers Bangalore,MA Chidambaram Stadium,c †A B de Villiers b Z Khan,1,22,16,1127
42,18/04/2011,Kochi Tuskers Kerala,Nehru Stadium (Kochi),not out,0,14,13,1141
43,22/04/2011,Mumbai Indians,Wankhede Stadium,c R G Sharma b K A Pollard,1,3,6,1144
44,25/04/2011,Pune Warriors,MA Chidambaram Stadium,st R V Uthappa b R Sharma,1,26,21,1170
45,1/5/2011,Deccan Chargers,MA Chidambaram Stadium,st K C Sangakkara b P P Ojha,1,21,22,1191
46,9/5/2011,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,41,19,1232
47,12/5/2011,Delhi Capitals,MA Chidambaram Stadium,not out,0,63,31,1295
48,18/05/2011,Kochi Tuskers Kerala,MA Chidambaram Stadium,c †P A Patel b R A Jadeja,1,9,6,1304
49,22/05/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,70,40,1374
50,24/05/2011,Royal Challengers Bangalore,Wankhede Stadium,c A Mithun b Z Khan,1,29,19,1403
51,28/05/2011,Royal Challengers Bangalore,MA Chidambaram Stadium,c V Kohli b S Aravind,1,22,13,1425
52,4/4/2012,Mumbai Indians,MA Chidambaram Stadium,run out,1,4,6,1429
53,7/4/2012,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,c D J Harris b D W Steyn,1,7,9,1436
54,10/4/2012,Delhi Capitals,Arun Jaitley Stadium,c D P M D Jayawardene b M Morkel,1,11,18,1447
55,12/4/2012,Royal Challengers Bangalore,MA Chidambaram Stadium,c sub b Z Khan,1,40,24,1487
56,14/04/2012,Pune Warriors,Maharashtra Cricket Association Stadium,c M Kartik b A B Dinda,1,26,28,1513
57,19/04/2012,Pune Warriors,MA Chidambaram Stadium,not out,0,28,12,1541
58,21/04/2012,Rajasthan Royals,MA Chidambaram Stadium,not out,0,15,12,1556
59,28/04/2012,Kings XI Punjab,MA Chidambaram Stadium,run out,1,1,4,1557
60,30/04/2012,Kolkata Knight Riders,MA Chidambaram Stadium,not out,0,34,30,1591
61,4/5/2012,Deccan Chargers,MA Chidambaram Stadium,b D T Christian,1,34,28,1625
62,6/5/2012,Mumbai Indians,Wankhede Stadium,c R G Sharma b R P Singh,1,25,15,1650
63,10/5/2012,Rajasthan Royals,Sawai Mansingh Stadium,c A M Rahane b S K Trivedi,1,10,16,1660
64,14/05/2012,Kolkata Knight Riders,Eden Gardens,b R Bhatia,1,28,21,1688
65,17/05/2012,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,c N Saini b P Awana,1,6,16,1694
66,23/05/2012,Mumbai Indians,M Chinnaswamy Stadium,not out,0,51,20,1745
67,25/05/2012,Delhi Capitals,MA Chidambaram Stadium,c P Negi b V R Aaron,1,23,10,1768
68,27/05/2012,Kolkata Knight Riders,MA Chidambaram Stadium,not out,0,14,9,1782
69,6/4/2013,Mumbai Indians,MA Chidambaram Stadium,c K A Pollard b M M Patel,1,51,26,1833
70,13/04/2013,Royal Challengers Bangalore,MA Chidambaram Stadium,c †K B A Arun Karthik b R Rampaul,1,33,23,1866
71,15/04/2013,Pune Warriors,MA Chidambaram Stadium,c S P D Smith b A B Dinda,1,10,13,1876
72,18/04/2013,Delhi Capitals,Arun Jaitley Stadium,c B M A J Mendis b U T Yadav,1,44,23,1920
73,20/04/2013,Kolkata Knight Riders,Eden Gardens,run out,1,9,7,1929
74,22/04/2013,Rajasthan Royals,MA Chidambaram Stadium,c S T R Binny b J P Faulkner,1,21,16,1950
75,25/04/2013,Sunrisers Hyderabad,MA Chidambaram Stadium,not out,0,67,37,2017
76,28/04/2013,Kolkata Knight Riders,MA Chidambaram Stadium,not out,0,18,12,2035
77,30/04/2013,Pune Warriors,Maharashtra Cricket Association Stadium,not out,0,45,16,2080
78,2/5/2013,Kings XI Punjab,MA Chidambaram Stadium,run out,1,2,2,2082
79,5/5/2013,Mumbai Indians,Wankhede Stadium,c K A Pollard b P P Ojha,1,10,12,2092
80,8/5/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c K V Sharma b N L T C Perera,1,4,3,2096
81,12/5/2013,Rajasthan Royals,Sawai Mansingh Stadium,c S R Watson b K Cooper,1,2,3,2098
82,14/05/2013,Delhi Capitals,MA Chidambaram Stadium,not out,0,58,35,2156
83,18/05/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium,c J D Unadkat b Z Khan,1,24,10,2180
84,26/05/2013,Mumbai Indians,Eden Gardens,not out,0,63,45,2243
85,18/04/2014,Kings XI Punjab,Sheikh Zayed Stadium,c R Dhawan b L Balaji,1,26,11,2269
86,21/04/2014,Delhi Capitals,Sheikh Zayed Stadium,c M A Agarwal b J D Unadkat,1,32,15,2301
87,23/04/2014,Rajasthan Royals,Dubai International Cricket Stadium,c J P Faulkner b P V Tambe,1,5,8,2306
88,25/04/2014,Mumbai Indians,Dubai International Cricket Stadium,not out,0,14,11,2320
89,27/04/2014,Sunrisers Hyderabad,Sharjah Cricket Stadium,not out,0,13,14,2333
90,2/5/2014,Kolkata Knight Riders,JSCA International Stadium Complex,not out,0,22,17,2355
91,5/5/2014,Delhi Capitals,Arun Jaitley Stadium,not out,0,12,5,2367
92,7/5/2014,Kings XI Punjab,Barabati Stadium,c G J Bailey b M G Johnson,1,23,20,2390
93,10/5/2014,Mumbai Indians,Wankhede Stadium,not out,0,22,12,2412
94,13/05/2014,Rajasthan Royals,JSCA International Stadium Complex,not out,0,26,16,2438
95,18/05/2014,Royal Challengers Bangalore,JSCA International Stadium Complex,c C H Gayle b A N Ahmed,1,7,6,2445
96,20/05/2014,Kolkata Knight Riders,Eden Gardens,not out,0,21,15,2466
97,22/05/2014,Sunrisers Hyderabad,JSCA International Stadium Complex,not out,0,57,41,2523
98,24/05/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,49,28,2572
99,30/05/2014,Kings XI Punjab,Wankhede Stadium,not out,0,42,31,2614
100,9/4/2015,Delhi Capitals,MA Chidambaram Stadium,c M A Agarwal b N M Coulter-Nile,1,30,27,2644
101,11/4/2015,Sunrisers Hyderabad,MA Chidambaram Stadium,c D A Warner b T A Boult,1,53,29,2697
102,17/04/2015,Mumbai Indians,Wankhede Stadium,c & b K A Pollard,1,3,6,2700
103,19/04/2015,Rajasthan Royals,Sardar Patel Stadium,not out,0,31,37,2731
104,22/04/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A B de Villiers b Y S Chahal,1,13,13,2744
105,25/04/2015,Kings XI Punjab,MA Chidambaram Stadium,not out,0,41,27,2785
106,28/04/2015,Kolkata Knight Riders,MA Chidambaram Stadium,c †R V Uthappa b A D Russell,1,3,6,2788
107,30/04/2015,Kolkata Knight Riders,Eden Gardens,b P P Chawla,1,1,4,2789
108,2/5/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b A A Ashish Reddy,1,20,16,2809
109,4/5/2015,Royal Challengers Bangalore,MA Chidambaram Stadium,c M A Starc b D Wiese,1,29,18,2838
110,8/5/2015,Mumbai Indians,MA Chidambaram Stadium,not out,0,39,32,2877
111,10/5/2015,Rajasthan Royals,MA Chidambaram Stadium,not out,0,13,7,2890
112,12/5/2015,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,c S Nadeem b Z Khan,1,27,24,2917
113,16/05/2015,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,25,16,2942
114,19/05/2015,Mumbai Indians,Wankhede Stadium,lbw b Harbhajan Singh,1,0,1,2942
115,22/05/2015,Royal Challengers Bangalore,JSCA International Stadium Complex,c †K D Karthik b H V Patel,1,26,29,2968
116,24/05/2015,Mumbai Indians,Eden Gardens,b S L Malinga,1,18,13,2986
117,14/04/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,not out,0,22,10,3008
118,17/04/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c G J Maxwell b M M Sharma,1,1,2,3009
119,22/04/2016,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,c A B de Villiers b H V Patel,1,41,38,3050
120,24/04/2016,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,not out,0,23,12,3073
121,26/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c A P Tare b A Nehra,1,5,4,3078
122,29/04/2016,Gujarat Lions,Maharashtra Cricket Association Stadium,not out,0,30,18,3108
123,1/5/2016,Mumbai Indians,Maharashtra Cricket Association Stadium,c A T Rayudu b J J Bumrah,1,24,24,3132
124,5/5/2016,Delhi Capitals,Arun Jaitley Stadium,c S W Billings b Imran Tahir,1,27,20,3159
125,7/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Parvez Rasool b S R Watson,1,9,8,3168
126,10/5/2016,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,run out,1,30,20,3198
127,14/05/2016,Kolkata Knight Riders,Eden Gardens,not out,0,8,22,3206
128,21/05/2016,Kings XI Punjab,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,64,32,3270
129,6/4/2017,Mumbai Indians,Maharashtra Cricket Association Stadium,not out,0,12,12,3282
130,8/4/2017,Kings XI Punjab,Holkar Cricket Stadium,c & b Swapnil Singh,1,5,11,3287
131,11/4/2017,Delhi Capitals,Maharashtra Cricket Association Stadium,c K K Nair b A Mishra,1,11,14,3298
132,14/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,lbw b R A Jadeja,1,5,8,3303
133,16/04/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,b S R Watson,1,28,25,3331
134,22/04/2017,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,not out,0,61,34,3392
