Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,19/04/2008,Delhi Capitals,Arun Jaitley Stadium,b D L Vettori,1,29,23,29
2,21/04/2008,Kings XI Punjab,Sawai Mansingh Stadium,not out,0,36,25,65
3,24/04/2008,Deccan Chargers,Rajiv Gandhi International Stadium,b R P Singh,1,1,3,66
4,1/5/2008,Kolkata Knight Riders,Sawai Mansingh Stadium,b L R Shukla,1,33,19,99
5,7/5/2008,Mumbai Indians,Dr DY Patil Sports Academy,c †Y V Takawale b D S Kulkarni,1,0,1,99
6,11/5/2008,Delhi Capitals,Sawai Mansingh Stadium,b A Mishra,1,6,6,105
7,26/05/2008,Mumbai Indians,Sawai Mansingh Stadium,not out,0,23,20,128
8,30/05/2008,Delhi Capitals,Wankhede Stadium,c M F Maharoof b V Y Mahesh,1,7,5,135
9,1/6/2008,Chennai Super Kings,Dr DY Patil Sports Academy,c C K Kapugedera b J A Morkel,1,0,1,135
10,18/04/2009,Royal Challengers Bangalore,Newlands,c V Kohli b A Kumble,1,11,10,146
11,23/04/2009,Kolkata Knight Riders,Newlands,c Yashpal Singh b I Sharma,1,22,26,168
12,26/04/2009,Kings XI Punjab,Newlands,b Y A Abdulla,1,37,44,205
13,28/04/2009,Delhi Capitals,SuperSport Park,c P J Sangwan b A Mishra,1,16,13,221
14,30/04/2009,Chennai Super Kings,Buffalo Park,c M L Hayden b L Balaji,1,37,33,258
15,2/5/2009,Deccan Chargers,St George's Park,c D R Smith b Y Venugopal Rao,1,12,17,270
16,5/5/2009,Kings XI Punjab,Kingsmead,c D P M D Jayawardene b I K Pathan,1,33,12,303
17,7/5/2009,Royal Challengers Bangalore,SuperSport Park,not out,0,1,3,304
18,9/5/2009,Chennai Super Kings,Diamond Oval,c S K Raina b L Balaji,1,27,19,331
19,11/5/2009,Deccan Chargers,Diamond Oval,not out,0,19,20,350
20,14/05/2009,Mumbai Indians,Kingsmead,c D J J Bravo b S T Jayasuriya,1,42,32,392
21,17/05/2009,Delhi Capitals,Mangaung Oval,c †K D Karthik b A M Salvi,1,24,18,416
22,20/05/2009,Kolkata Knight Riders,Kingsmead,b S S Sarkar,1,14,19,430
23,9/4/2011,Royal Challengers Bangalore,Nehru Stadium (Kochi),not out,0,23,16,453
24,13/04/2011,Pune Warriors,Dr DY Patil Sports Academy,c W D Parnell b J D Ryder,1,47,33,500
25,15/04/2011,Mumbai Indians,Barabati Stadium,not out,0,25,11,525
26,18/04/2011,Chennai Super Kings,Nehru Stadium (Kochi),not out,0,16,6,541
27,20/04/2011,Kolkata Knight Riders,Eden Gardens,c Y K Pathan b B Lee,1,29,18,570
28,24/04/2011,Rajasthan Royals,Sawai Mansingh Stadium,c & b S K Warne,1,22,23,592
29,27/04/2011,Deccan Chargers,Nehru Stadium (Kochi),c D T Christian b A Mishra,1,23,35,615
30,30/04/2011,Delhi Capitals,Nehru Stadium (Kochi),c R E van der Merwe b A B Agarkar,1,31,22,646
31,5/5/2011,Kolkata Knight Riders,Nehru Stadium (Kochi),c Y K Pathan b R Bhatia,1,8,11,654
32,8/5/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,c M Kaif b A Mithun,1,23,22,677
