Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,b U T Yadav,1,54,34,54
2,5/5/2016,Rising Pune Supergiant,Arun Jaitley Stadium,c A M Rahane b R Bhatia,1,24,15,78
3,7/5/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c †W P Saha b M P Stoinis,1,6,9,84
4,22/05/2016,Royal Challengers Bangalore,Shaheed Veer Narayan Sing International Stadium,c C H Gayle b C J Jordan,1,4,6,88
5,8/4/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,c B Stanlake b Iqbal Abdulla,1,25,19,113
6,11/4/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,b Imran Tahir,1,24,17,137
7,15/04/2017,Kings XI Punjab,Arun Jaitley Stadium,c D A Miller b A R Patel,1,55,40,192
8,17/04/2017,Kolkata Knight Riders,Arun Jaitley Stadium,c †R V Uthappa b N M Coulter-Nile,1,21,17,213
9,19/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D J Hooda b Mohammed Siraj,1,13,9,226
10,30/04/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c †W P Saha b Sandeep Sharma,1,0,2,226
11,10/4/2018,Kolkata Knight Riders,MA Chidambaram Stadium,c R V Uthappa b T K Curran,1,56,23,282
12,15/04/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lbw b R Ashwin,1,9,8,291
13,20/04/2018,Rajasthan Royals,Maharashtra Cricket Association Stadium,c B A Stokes b S Gopal,1,3,7,294
14,25/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,st Q de Kock b Y S Chahal,1,9,7,303
15,28/04/2018,Mumbai Indians,Maharashtra Cricket Association Stadium,c B C J Cutting b H H Pandya,1,3,5,306
16,11/5/2018,Rajasthan Royals,Sawai Mansingh Stadium,run out,1,27,22,333
17,18/05/2018,Delhi Capitals,Arun Jaitley Stadium,c Abhishek Sharma b A Mishra,1,1,5,334
18,20/05/2018,Kings XI Punjab,Maharashtra Cricket Association Stadium,b A S Rajpoot,1,0,1,334
19,17/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c V Shankar b K K Ahmed,1,0,4,334
