Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,13/03/2010,Rajasthan Royals,Brabourne Stadium,c P Dogra b A Uniyal,1,55,33,55
2,17/03/2010,Delhi Capitals,Arun Jaitley Stadium,c T M Dilshan b M F Maharoof,1,34,21,89
3,20/03/2010,Royal Challengers Bangalore,Barabati Stadium,c †M V Boucher b R Vinay Kumar,1,3,4,92
4,28/03/2010,Deccan Chargers,Dr DY Patil Sports Academy,st A C Gilchrist b P P Ojha,1,6,7,98
5,30/03/2010,Kings XI Punjab,Brabourne Stadium,c Yuvraj Singh b S J Srivastava,1,9,12,107
6,3/4/2010,Deccan Chargers,Brabourne Stadium,not out,0,55,29,162
7,6/4/2010,Chennai Super Kings,MA Chidambaram Stadium,st M S Dhoni b S K Raina,1,3,4,165
8,9/4/2010,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b P P Chawla,1,33,18,198
9,11/4/2010,Rajasthan Royals,Sawai Mansingh Stadium,c †N V Ojha b S R Watson,1,0,3,198
10,13/04/2010,Delhi Capitals,Brabourne Stadium,c A B de Villiers b A Nehra,1,24,21,222
11,17/04/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,c & b J H Kallis,1,46,27,268
12,19/04/2010,Kolkata Knight Riders,Eden Gardens,run out,1,27,15,295
13,21/04/2010,Royal Challengers Bangalore,Dr DY Patil Sports Academy,c J H Kallis b D W Steyn,1,40,38,335
14,25/04/2010,Chennai Super Kings,Dr DY Patil Sports Academy,run out,1,21,14,356
15,10/4/2011,Delhi Capitals,Arun Jaitley Stadium,run out,1,14,15,370
16,12/4/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,63,50,433
17,15/04/2011,Kochi Tuskers Kerala,Barabati Stadium,run out,1,53,33,486
18,20/04/2011,Pune Warriors,Wankhede Stadium,c R Sharma b A C Thomas,1,37,40,523
19,22/04/2011,Chennai Super Kings,Wankhede Stadium,st M S Dhoni b H K S R Kaluhalamulla,1,27,29,550
20,24/04/2011,Deccan Chargers,Rajiv Gandhi International Stadium,c S Dhawan b A Mishra,1,7,8,557
21,29/04/2011,Rajasthan Royals,Sawai Mansingh Stadium,c & b A L Menaria,1,11,13,568
22,2/5/2011,Kings XI Punjab,Wankhede Stadium,c K D Karthik b P P Chawla,1,51,37,619
23,4/5/2011,Pune Warriors,Dr DY Patil Sports Academy,c M K Pandey b Yuvraj Singh,1,27,28,646
24,7/5/2011,Delhi Capitals,Wankhede Stadium,c V Sehwag b J R Hopes,1,59,39,705
25,10/5/2011,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c Bipul Sharma b S J Srivastava,1,13,19,718
26,14/05/2011,Deccan Chargers,Wankhede Stadium,b I Sharma,1,2,8,720
27,20/05/2011,Rajasthan Royals,Wankhede Stadium,c L R P L Taylor b S R Watson,1,2,8,722
28,22/05/2011,Kolkata Knight Riders,Eden Gardens,not out,0,17,6,739
29,25/05/2011,Kolkata Knight Riders,Wankhede Stadium,c †S P Goswami b J H Kallis,1,12,16,751
