Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,25/03/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,50,29,50
2,29/03/2010,Kolkata Knight Riders,Arun Jaitley Stadium,not out,0,4,1,54
3,31/03/2010,Rajasthan Royals,Arun Jaitley Stadium,c Y K Pathan b S K Warne,1,10,9,64
4,4/4/2010,Royal Challengers Bangalore,Arun Jaitley Stadium,run out,1,7,9,71
5,7/4/2010,Kolkata Knight Riders,Eden Gardens,c S C Ganguly b B A W Mendis,1,5,8,76
6,20/04/2011,Kolkata Knight Riders,Eden Gardens,b Shakib Al Hasan,1,12,11,88
7,24/04/2011,Rajasthan Royals,Sawai Mansingh Stadium,c †D H Yagnik b S K Trivedi,1,5,9,93
8,27/04/2011,Deccan Chargers,Nehru Stadium (Kochi),lbw b I Sharma,1,0,2,93
9,18/05/2011,Chennai Super Kings,MA Chidambaram Stadium,not out,0,1,1,94
10,9/4/2013,Mumbai Indians,Wankhede Stadium,c & b S L Malinga,1,1,2,95
11,12/4/2013,Sunrisers Hyderabad,Arun Jaitley Stadium,not out,0,30,20,125
12,16/04/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,29,16,154
13,18/04/2013,Chennai Super Kings,Arun Jaitley Stadium,c D J J Bravo b J A Morkel,1,31,28,185
14,23/04/2013,Kings XI Punjab,Arun Jaitley Stadium,c Mandeep Singh b Harmeet Singh,1,0,2,185
15,28/04/2013,Pune Warriors,Shaheed Veer Narayan Sing International Stadium,c M Manhas b A B Dinda,1,25,19,210
16,4/5/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c & b K V Sharma,1,3,4,213
17,7/5/2013,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,23,21,236
18,10/5/2013,Royal Challengers Bangalore,Arun Jaitley Stadium,c R Vinay Kumar b J D Unadkat,1,8,8,244
19,14/05/2013,Chennai Super Kings,MA Chidambaram Stadium,c †M S Dhoni b J A Morkel,1,2,4,246
20,27/04/2014,Mumbai Indians,Sharjah Cricket Stadium,not out,0,14,10,260
21,3/5/2014,Rajasthan Royals,Arun Jaitley Stadium,not out,0,28,14,288
22,5/5/2014,Chennai Super Kings,Arun Jaitley Stadium,not out,0,29,18,317
23,7/5/2014,Kolkata Knight Riders,Arun Jaitley Stadium,not out,0,26,15,343
24,10/5/2014,Sunrisers Hyderabad,Arun Jaitley Stadium,c I K Pathan b D W Steyn,1,5,11,348
25,13/05/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,run out,1,37,20,385
26,15/05/2014,Rajasthan Royals,Sardar Patel Stadium,run out,1,3,3,388
27,19/05/2014,Kings XI Punjab,Arun Jaitley Stadium,c G J Maxwell b Sandeep Sharma,1,0,1,388
28,23/05/2014,Mumbai Indians,Wankhede Stadium,not out,0,7,5,395
29,25/05/2014,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c M Vohra b P Awana,1,0,4,395
30,9/4/2015,Chennai Super Kings,MA Chidambaram Stadium,c R A Jadeja b M M Sharma,1,20,20,415
31,15/04/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,c Anureet Singh b A R Patel,1,3,5,418
32,18/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,19,12,437
33,20/04/2015,Kolkata Knight Riders,Arun Jaitley Stadium,c G Gambhir b U T Yadav,1,12,9,449
34,23/04/2015,Mumbai Indians,Arun Jaitley Stadium,not out,0,1,1,450
35,26/04/2015,Royal Challengers Bangalore,Arun Jaitley Stadium,c M A Starc b H V Patel,1,33,29,483
36,3/5/2015,Rajasthan Royals,Brabourne Stadium,c S R Watson b D S Kulkarni,1,11,7,494
37,5/5/2015,Mumbai Indians,Wankhede Stadium,st P A Patel b Harbhajan Singh,1,16,15,510
38,7/5/2015,Kolkata Knight Riders,Eden Gardens,c J Botha b P P Chawla,1,10,6,520
39,9/5/2015,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,not out,0,63,34,583
40,12/5/2015,Chennai Super Kings,Shaheed Veer Narayan Sing International Stadium,not out,0,1,1,584
41,17/05/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,c †K D Karthik b H V Patel,1,0,1,584
42,12/4/2016,Sunrisers Hyderabad,M Chinnaswamy Stadium,not out,0,8,6,592
43,17/04/2016,Delhi Capitals,M Chinnaswamy Stadium,not out,0,9,11,601
44,30/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,25,15,626
45,5/4/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,run out,1,31,16,657
46,8/4/2017,Delhi Capitals,M Chinnaswamy Stadium,c C H Morris b Z Khan,1,69,37,726
