Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,19/04/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c I K Pathan b W A Mota,1,32,13,246.15,,32,32,246.15
2,23/04/2008,Mumbai Indians,MA Chidambaram Stadium,Yes,c D J J Bravo b M Khote,1,53,37,143.24,,85,42.5,170
3,28/04/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,run out,1,28,17,164.71,,113,37.67,168.66
4,2/5/2008,Delhi Capitals,MA Chidambaram Stadium,Yes,run out,1,3,4,75,,116,29,163.38
5,4/5/2008,Rajasthan Royals,Sawai Mansingh Stadium,Yes,c Sohail Tanvir b M M Patel,1,27,27,100,,143,28.6,145.92
6,6/5/2008,Deccan Chargers,MA Chidambaram Stadium,Yes,c R G Sharma b S B Bangar,1,32,21,152.38,,175,29.17,147.06
7,8/5/2008,Delhi Capitals,Arun Jaitley Stadium,Yes,c M K Tiwary b P J Sangwan,1,1,2,50,,176,25.14,145.45
8,10/5/2008,Kings XI Punjab,MA Chidambaram Stadium,Yes,c S E Marsh b P P Chawla,1,26,17,152.94,,202,25.25,146.38
9,14/05/2008,Mumbai Indians,Wankhede Stadium,Yes,c †Y V Takawale b D J J Bravo,1,1,6,16.67,,203,22.56,140.97
10,21/05/2008,Royal Challengers Bangalore,MA Chidambaram Stadium,Yes,not out,0,21,20,105,,224,24.89,136.59
11,24/05/2008,Rajasthan Royals,MA Chidambaram Stadium,Yes,c M Kaif b S K Warne,1,45,24,187.5,,269,26.9,143.09
12,27/05/2008,Deccan Chargers,Rajiv Gandhi International Stadium,Yes,not out,0,54,43,125.58,,323,32.3,139.83
13,31/05/2008,Kings XI Punjab,Wankhede Stadium,Yes,not out,0,55,34,161.76,,378,37.8,142.64
14,1/6/2008,Rajasthan Royals,Dr DY Patil Sports Academy,Yes,c R A Jadeja b S R Watson,1,43,30,143.33,,421,38.27,142.71
15,18/04/2009,Mumbai Indians,Newlands,No,c R R Raje b D J J Bravo,1,8,9,88.89,,429,35.75,141.12
