Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,TotalRuns,Avg,S/R
1,4/4/2012,Mumbai Indians,MA Chidambaram Stadium,Yes,run out,1,3,2,150,3,3,150
2,7/4/2012,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c B Chipli b T P C Sudhindra,1,39,25,156,42,21,155.56
3,10/4/2012,Delhi Capitals,Arun Jaitley Stadium,Yes,c R E van der Merwe b M Morkel,1,15,12,125,57,19,146.15
4,12/4/2012,Royal Challengers Bangalore,MA Chidambaram Stadium,Yes,c V Kohli b M Muralitharan,1,71,46,154.35,128,32,150.59
5,14/04/2012,Pune Warriors,Maharashtra Cricket Association Stadium,Yes,st R V Uthappa b R Sharma,1,43,33,130.3,171,34.2,144.92
6,19/04/2012,Pune Warriors,MA Chidambaram Stadium,Yes,c A D Mathews b M N Samuels,1,58,48,120.83,229,38.17,137.95
7,21/04/2012,Rajasthan Royals,MA Chidambaram Stadium,Yes,c †S P Goswami b K Cooper,1,73,52,140.38,302,43.14,138.53
8,28/04/2012,Kings XI Punjab,MA Chidambaram Stadium,Yes,c & b Azhar Mahmood,1,29,20,145,331,41.38,139.08
9,30/04/2012,Kolkata Knight Riders,MA Chidambaram Stadium,Yes,c †B B McCullum b B Lee,1,3,4,75,334,37.11,138.02
10,4/5/2012,Deccan Chargers,MA Chidambaram Stadium,Yes,c S Dhawan b V Pratap Singh,1,42,35,120,376,37.6,135.74
11,6/5/2012,Mumbai Indians,Wankhede Stadium,Yes,run out,1,9,11,81.82,385,35,133.68
12,14/05/2012,Kolkata Knight Riders,Eden Gardens,Yes,c M K Tiwary b R Bhatia,1,13,16,81.25,398,33.17,130.92
13,21/04/2014,Delhi Capitals,Sheikh Zayed Stadium,Yes,c M Vijay b Mohammed Shami,1,24,17,141.18,422,32.46,131.46
14,23/04/2014,Rajasthan Royals,Dubai International Cricket Stadium,Yes,run out,1,7,9,77.78,429,30.64,130
15,25/04/2014,Mumbai Indians,Dubai International Cricket Stadium,Yes,st C M Gautam b Harbhajan Singh,1,20,25,80,449,29.93,126.48
16,27/04/2014,Sunrisers Hyderabad,Sharjah Cricket Stadium,Yes,c †K L Rahul b B Kumar,1,0,1,0,449,28.06,126.12
17,7/5/2014,Kings XI Punjab,Barabati Stadium,Yes,c M Kartik b M G Johnson,1,52,25,208,501,29.47,131.5
18,10/5/2014,Mumbai Indians,Wankhede Stadium,Yes,b S L Malinga,1,31,24,129.17,532,29.56,131.36
19,13/05/2014,Rajasthan Royals,JSCA International Stadium Complex,No,b J P Faulkner,1,38,39,97.44,570,30,128.38
20,20/05/2014,Kolkata Knight Riders,Eden Gardens,Yes,run out,1,23,20,115,593,29.65,127.8
21,22/05/2014,Sunrisers Hyderabad,JSCA International Stadium Complex,Yes,run out,1,19,11,172.73,612,29.14,128.84
22,24/05/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,54,43,125.58,666,31.71,128.57
23,28/05/2014,Mumbai Indians,Brabourne Stadium,Yes,c sub b Harbhajan Singh,1,35,20,175,701,31.86,130.3
24,30/05/2014,Kings XI Punjab,Wankhede Stadium,Yes,c G J Bailey b M G Johnson,1,0,1,0,701,30.48,130.06
25,9/4/2015,Delhi Capitals,MA Chidambaram Stadium,Yes,c S S Iyer b J-P Duminy,1,32,24,133.33,733,30.54,130.2
26,17/04/2015,Mumbai Indians,Wankhede Stadium,Yes,b S L Malinga,1,11,13,84.62,744,29.76,129.17
27,19/04/2015,Rajasthan Royals,Sardar Patel Stadium,Yes,c C H Morris b Ankit Sharma,1,1,3,33.33,745,28.65,128.67
28,22/04/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,33,18,183.33,778,29.92,130.32
29,28/04/2015,Kolkata Knight Riders,MA Chidambaram Stadium,Yes,not out,0,29,29,100,807,31.04,128.91
30,30/04/2015,Kolkata Knight Riders,Eden Gardens,Yes,st R V Uthappa b G B Hogg,1,20,11,181.82,827,30.63,129.83
