Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,2/5/2009,Delhi Capitals,Wanderers Stadium,Yes,c R Bhatia b A Nehra,1,14,13,107.69,,14,14,107.69
2,4/5/2009,Deccan Chargers,Buffalo Park,Yes,c H H Gibbs b T L Suman,1,31,33,93.94,,45,22.5,97.83
3,9/5/2009,Rajasthan Royals,Diamond Oval,Yes,lbw b S K Trivedi,1,10,12,83.33,,55,18.33,94.83
4,14/05/2009,Royal Challengers Bangalore,Kingsmead,No,c R V Uthappa b J H Kallis,1,5,9,55.56,,60,15,89.55
5,14/03/2010,Deccan Chargers,MA Chidambaram Stadium,Yes,b W P U J C Vaas,1,3,6,50,,63,12.6,86.3
6,16/03/2010,Kolkata Knight Riders,Eden Gardens,Yes,b L R Shukla,1,33,26,126.92,,96,16,96.97
7,19/03/2010,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,14,6,233.33,,110,18.33,104.76
8,21/03/2010,Kings XI Punjab,MA Chidambaram Stadium,Yes,lbw b J Theron,1,0,3,0,,110,15.71,101.85
9,23/03/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c E J G Morgan b A Kumble,1,3,7,42.86,,113,14.13,98.26
10,28/03/2010,Rajasthan Royals,Sardar Patel Stadium,Yes,run out,1,42,28,150,,155,17.22,108.39
11,31/03/2010,Royal Challengers Bangalore,MA Chidambaram Stadium,Yes,c M K Pandey b K P Pietersen,1,78,39,200,,233,23.3,128.02
12,3/4/2010,Rajasthan Royals,MA Chidambaram Stadium,Yes,c F Y Fazal b S R Watson,1,127,56,226.79,,360,32.73,151.26
13,6/4/2010,Mumbai Indians,MA Chidambaram Stadium,Yes,b Harbhajan Singh,1,14,17,82.35,,374,31.17,146.67
14,10/4/2010,Deccan Chargers,Vidarbha Cricket Association Stadium,Yes,run out,1,23,13,176.92,,397,30.54,148.13
15,13/04/2010,Kolkata Knight Riders,MA Chidambaram Stadium,Yes,not out,0,50,40,125,,447,34.38,145.13
16,15/04/2010,Delhi Capitals,MA Chidambaram Stadium,Yes,c †K D Karthik b A Nehra,1,17,11,154.55,,464,33.14,145.45
17,18/04/2010,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Yes,st K C Sangakkara b R R Powar,1,13,11,118.18,,477,31.8,144.55
18,22/04/2010,Deccan Chargers,Dr DY Patil Sports Academy,Yes,lbw b R J Harris,1,15,10,150,,492,30.75,144.71
19,25/04/2010,Mumbai Indians,Dr DY Patil Sports Academy,Yes,c S S Tiwary b C R D Fernando,1,26,19,136.84,,518,30.47,144.29
20,8/4/2011,Kolkata Knight Riders,MA Chidambaram Stadium,Yes,c R Bhatia b Iqbal Abdulla,1,4,4,100,,522,29,143.8
21,13/04/2011,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,st A C Gilchrist b P P Chawla,1,74,43,172.09,,596,31.37,146.8
22,16/04/2011,Royal Challengers Bangalore,MA Chidambaram Stadium,Yes,c Z Khan b R Ninan,1,31,21,147.62,,627,31.35,146.84
23,18/04/2011,Kochi Tuskers Kerala,Nehru Stadium (Kochi),Yes,lbw b N L T C Perera,1,28,18,155.56,,655,31.19,147.19
24,22/04/2011,Mumbai Indians,Wankhede Stadium,Yes,c R G Sharma b M M Patel,1,12,9,133.33,,667,30.32,146.92
25,25/04/2011,Pune Warriors,MA Chidambaram Stadium,Yes,c N L McCullum b A C Thomas,1,31,29,106.9,,698,30.35,144.51
26,27/04/2011,Pune Warriors,Dr DY Patil Sports Academy,Yes,c M Manhas b J D Ryder,1,31,31,100,,729,30.38,141.83
27,1/5/2011,Deccan Chargers,MA Chidambaram Stadium,Yes,b P P Ojha,1,3,14,21.43,,732,29.28,138.64
28,4/5/2011,Rajasthan Royals,MA Chidambaram Stadium,Yes,lbw b J Botha,1,5,6,83.33,,737,28.35,138.01
29,7/5/2011,Kolkata Knight Riders,Eden Gardens,Yes,c & b Iqbal Abdulla,1,5,14,35.71,,742,27.48,135.4
30,9/5/2011,Rajasthan Royals,Sawai Mansingh Stadium,Yes,run out,1,53,40,132.5,,795,28.39,135.2
31,12/5/2011,Delhi Capitals,MA Chidambaram Stadium,Yes,c Y Venugopal Rao b A B Agarkar,1,35,33,106.06,,830,28.62,133.66
32,18/05/2011,Kochi Tuskers Kerala,MA Chidambaram Stadium,Yes,b R P Singh,1,16,11,145.45,,846,28.2,133.86
