Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,19/04/2008,Delhi Capitals,Arun Jaitley Stadium,run out,1,21,15,21
2,21/04/2008,Kings XI Punjab,Sawai Mansingh Stadium,not out,0,76,49,97
3,24/04/2008,Deccan Chargers,Rajiv Gandhi International Stadium,b Shahid Afridi,1,4,6,101
4,26/04/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,61,41,162
5,1/5/2008,Kolkata Knight Riders,Sawai Mansingh Stadium,lbw b Umar Gul,1,0,1,162
6,4/5/2008,Chennai Super Kings,Sawai Mansingh Stadium,not out,0,14,8,176
7,7/5/2008,Mumbai Indians,Dr DY Patil Sports Academy,b D J J Bravo,1,32,20,208
8,9/5/2008,Deccan Chargers,Sawai Mansingh Stadium,not out,0,5,2,213
9,11/5/2008,Delhi Capitals,Sawai Mansingh Stadium,run out,1,74,40,287
10,17/05/2008,Royal Challengers Bangalore,Sawai Mansingh Stadium,not out,0,46,28,333
11,20/05/2008,Kolkata Knight Riders,Eden Gardens,b S C Ganguly,1,19,15,352
12,26/05/2008,Mumbai Indians,Sawai Mansingh Stadium,c S R Tendulkar b R R Raje,1,18,19,370
13,28/05/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c I K Pathan b P P Chawla,1,22,19,392
14,30/05/2008,Delhi Capitals,Wankhede Stadium,st K D Karthik b A Mishra,1,52,29,444
15,1/6/2008,Chennai Super Kings,Dr DY Patil Sports Academy,b M Muralitharan,1,28,19,472
16,3/4/2010,Chennai Super Kings,MA Chidambaram Stadium,b D E Bollinger,1,60,25,532
17,5/4/2010,Deccan Chargers,Vidarbha Cricket Association Stadium,c Anirudh Singh b R P Singh,1,58,36,590
18,11/4/2010,Mumbai Indians,Sawai Mansingh Stadium,run out,1,1,2,591
19,14/04/2010,Royal Challengers Bangalore,Sawai Mansingh Stadium,c K P Pietersen b J H Kallis,1,22,25,613
20,17/04/2010,Kolkata Knight Riders,Eden Gardens,b L R Shukla,1,44,26,657
21,15/04/2011,Kolkata Knight Riders,Sawai Mansingh Stadium,b Shakib Al Hasan,1,22,13,679
