Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,18/04/2014,Chennai Super Kings,Sheikh Zayed Stadium,lbw b R Ashwin,1,2,3,2
2,22/04/2014,Sunrisers Hyderabad,Sharjah Cricket Stadium,not out,0,0,0,2
3,26/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,st R V Uthappa b S P Narine,1,7,10,9
4,9/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,b M A Starc,1,2,3,11
5,11/5/2014,Kolkata Knight Riders,Barabati Stadium,run out,1,1,1,12
6,19/05/2014,Delhi Capitals,Arun Jaitley Stadium,not out,0,42,35,54
7,21/05/2014,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,c R G Sharma b P Kumar,1,6,6,60
8,28/05/2014,Kolkata Knight Riders,Eden Gardens,run out,1,2,2,62
9,10/4/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium,b T G Southee,1,24,28,86
10,15/04/2015,Delhi Capitals,Maharashtra Cricket Association Stadium,c A D Mathews b Imran Tahir,1,13,10,99
11,18/04/2015,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,c S A Yadav b S P Narine,1,2,3,101
12,21/04/2015,Rajasthan Royals,Sardar Patel Stadium,not out,0,12,7,113
13,25/04/2015,Chennai Super Kings,MA Chidambaram Stadium,st M S Dhoni b R Ashwin,1,9,10,122
14,27/04/2015,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,b T A Boult,1,17,13,139
15,1/5/2015,Delhi Capitals,Arun Jaitley Stadium,c M A Agarwal b N M Coulter-Nile,1,22,26,161
16,3/5/2015,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,run out,1,0,1,161
17,6/5/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,40,21,201
18,11/5/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †N V Ojha b B Kumar,1,15,11,216
19,13/05/2015,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,not out,0,20,15,236
20,16/05/2015,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c †M S Dhoni b D J J Bravo,1,32,29,268
21,11/4/2016,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,not out,0,4,2,272
22,15/04/2016,Delhi Capitals,Arun Jaitley Stadium,c P Negi b J Yadav,1,11,22,283
23,19/04/2016,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c S A Yadav b U T Yadav,1,9,8,292
24,23/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,36,17,328
25,25/04/2016,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,b M J McClenaghan,1,0,2,328
26,1/5/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,c Ishan Kishan b D J J Bravo,1,0,2,328
27,4/5/2016,Kolkata Knight Riders,Eden Gardens,run out,1,21,7,349
28,7/5/2016,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,0,16,5,365
29,18/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c V Kohli b S R Watson,1,13,9,378
30,21/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,c S S Tiwary b N L T C Perera,1,1,3,379
31,8/4/2017,Rising Pune Supergiant,Holkar Cricket Stadium,c & b Imran Tahir,1,24,22,403
32,10/4/2017,Royal Challengers Bangalore,Holkar Cricket Stadium,b Y S Chahal,1,9,6,412
33,13/04/2017,Kolkata Knight Riders,Barabati Stadium,c S P Narine b U T Yadav,1,0,1,412
34,15/04/2017,Delhi Capitals,Arun Jaitley Stadium,b C H Morris,1,44,29,456
35,17/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c S Dhawan b M C Henriques,1,7,12,463
36,20/04/2017,Mumbai Indians,Holkar Cricket Stadium,not out,0,4,5,467
37,23/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,c A J Finch b D R Smith,1,34,17,501
38,28/04/2017,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,not out,0,1,1,502
39,5/5/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,38,17,540
40,7/5/2017,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,not out,0,2,1,542
41,9/5/2017,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,not out,0,8,10,550
42,11/5/2017,Mumbai Indians,Wankhede Stadium,not out,0,19,13,569
43,14/05/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c †M S Dhoni b D T Christian,1,22,20,591
44,13/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,lbw b K Khejroliya,1,2,3,593
45,4/5/2018,Mumbai Indians,Holkar Cricket Stadium,c H H Pandya b J J Bumrah,1,13,12,606
46,6/5/2018,Rajasthan Royals,Holkar Cricket Stadium,c D J M Short b K Gowtham,1,4,5,610
47,8/5/2018,Rajasthan Royals,Sawai Mansingh Stadium,run out,1,9,5,619
48,12/5/2018,Kolkata Knight Riders,Holkar Cricket Stadium,c J P R Scantlebury-Searles b Kuldeep Yadav,1,19,11,638
49,14/05/2018,Royal Challengers Bangalore,Holkar Cricket Stadium,not out,0,9,13,647
50,16/05/2018,Mumbai Indians,Wankhede Stadium,not out,0,10,8,657
51,20/05/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,c S W Billings b S N Thakur,1,14,12,671
52,24/03/2019,Mumbai Indians,Wankhede Stadium,c Rasikh Salam b J J Bumrah,1,4,2,675
53,26/03/2019,Chennai Super Kings,Arun Jaitley Stadium,not out,0,9,9,684
54,4/4/2019,Sunrisers Hyderabad,Arun Jaitley Stadium,not out,0,23,13,707
55,7/4/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,4,1,711
56,14/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,14,11,725
57,18/04/2019,Mumbai Indians,Arun Jaitley Stadium,b J J Bumrah,1,26,23,751
58,20/04/2019,Kings XI Punjab,Arun Jaitley Stadium,run out,1,1,1,752
59,28/04/2019,Royal Challengers Bangalore,Arun Jaitley Stadium,not out,0,16,9,768
60,1/5/2019,Chennai Super Kings,MA Chidambaram Stadium,c S R Watson b Imran Tahir,1,9,9,777
61,4/5/2019,Rajasthan Royals,Arun Jaitley Stadium,not out,0,1,1,778
62,8/5/2019,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c †W P Saha b Rashid Khan,1,0,3,778
63,10/5/2019,Chennai Super Kings,Dr YS Rajasekhara Reddy Cricket Stadium,c Imran Tahir b D J J Bravo,1,3,6,781
