Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,13/04/2013,Royal Challengers Bangalore,MA Chidambaram Stadium,not out,0,7,4,7
2,15/04/2013,Pune Warriors,MA Chidambaram Stadium,not out,0,5,5,12
3,22/04/2013,Rajasthan Royals,MA Chidambaram Stadium,not out,0,1,1,13
4,25/04/2013,Sunrisers Hyderabad,MA Chidambaram Stadium,not out,0,0,1,13
5,5/5/2013,Mumbai Indians,Wankhede Stadium,b S L Malinga,1,1,4,14
6,26/05/2013,Mumbai Indians,Eden Gardens,c †K D Karthik b Harbhajan Singh,1,0,1,14
7,10/4/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,not out,0,6,8,20
8,12/4/2015,Delhi Capitals,Arun Jaitley Stadium,not out,0,13,6,33
9,24/04/2015,Royal Challengers Bangalore,Sardar Patel Stadium,not out,0,3,3,36
10,7/5/2015,Sunrisers Hyderabad,Brabourne Stadium,not out,0,34,11,70
11,10/5/2015,Chennai Super Kings,MA Chidambaram Stadium,not out,0,16,10,86
12,16/05/2015,Kolkata Knight Riders,Brabourne Stadium,run out,1,4,5,90
13,20/05/2015,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,c Y S Chahal b M A Starc,1,0,3,90
14,10/4/2016,Kolkata Knight Riders,Eden Gardens,b P P Chawla,1,11,9,101
15,27/04/2016,Gujarat Lions,Arun Jaitley Stadium,not out,0,82,32,183
16,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,b U T Yadav,1,0,2,183
17,7/5/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,17,12,200
18,15/05/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,run out,1,20,16,220
19,17/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,38,20,258
20,22/05/2016,Royal Challengers Bangalore,Shaheed Veer Narayan Sing International Stadium,not out,0,27,18,285
21,8/4/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,lbw b Iqbal Abdulla,1,4,5,289
22,11/4/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,not out,0,38,9,327
23,15/04/2017,Kings XI Punjab,Arun Jaitley Stadium,c M M Sharma b Sandeep Sharma,1,16,8,343
24,17/04/2017,Kolkata Knight Riders,Arun Jaitley Stadium,c U T Yadav b C R Woakes,1,16,9,359
25,19/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,0,0,359
26,22/04/2017,Mumbai Indians,Wankhede Stadium,not out,0,52,41,411
27,28/04/2017,Kolkata Knight Riders,Eden Gardens,c C R Woakes b N M Coulter-Nile,1,11,10,422
28,30/04/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c & b A R Patel,1,2,5,424
29,2/5/2017,Sunrisers Hyderabad,Arun Jaitley Stadium,not out,0,15,7,439
30,8/4/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,27,16,466
31,11/4/2018,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,17,7,483
32,16/04/2018,Kolkata Knight Riders,Eden Gardens,b S P Narine,1,2,3,485
33,21/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,0,0,485
34,1/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,run out,1,0,1,485
35,4/4/2019,Sunrisers Hyderabad,Arun Jaitley Stadium,c Mohammad Nabi b B Kumar,1,17,15,502
36,7/4/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A B de Villiers b N A Saini,1,0,3,502
37,14/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Rashid Khan,1,4,8,506
38,18/04/2019,Mumbai Indians,Arun Jaitley Stadium,c H H Pandya b S L Malinga,1,11,9,517
39,1/5/2019,Chennai Super Kings,MA Chidambaram Stadium,st M S Dhoni b R A Jadeja,1,0,1,517
