Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,7/5/2011,Mumbai Indians,Wankhede Stadium,b S L Malinga,1,1,2,1
2,12/5/2011,Chennai Super Kings,MA Chidambaram Stadium,c D J J Bravo b R Ashwin,1,7,12,8
3,21/05/2011,Pune Warriors,Arun Jaitley Stadium,not out,0,13,12,21
4,24/03/2019,Mumbai Indians,Wankhede Stadium,c H H Pandya b B C J Cutting,1,47,32,68
5,26/03/2019,Chennai Super Kings,Arun Jaitley Stadium,c S K Raina b D J J Bravo,1,2,2,70
6,30/03/2019,Kolkata Knight Riders,Arun Jaitley Stadium,run out,1,10,7,80
7,1/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c sub b S M Curran,1,38,29,118
8,4/4/2019,Sunrisers Hyderabad,Arun Jaitley Stadium,c M K Pandey b S Kaul,1,5,8,123
9,7/4/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,lbw b M M Ali,1,22,21,145
10,12/4/2019,Kolkata Knight Riders,Eden Gardens,not out,0,14,6,159
11,20/04/2019,Kings XI Punjab,Arun Jaitley Stadium,b Mohammed Shami,1,19,9,178
12,22/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,3,5,181
13,28/04/2019,Royal Challengers Bangalore,Arun Jaitley Stadium,c W Washington Sundar b N A Saini,1,11,7,192
14,1/5/2019,Chennai Super Kings,MA Chidambaram Stadium,lbw b R A Jadeja,1,1,5,193
15,4/5/2019,Rajasthan Royals,Arun Jaitley Stadium,c A M Rahane b I S Sodhi,1,12,23,205
