Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,5/4/2013,Pune Warriors,Rajiv Gandhi International Stadium,c A B Dinda b B Kumar,1,11,12,11
2,7/4/2013,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,not out,0,44,46,55
3,9/4/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,4,3,59
4,12/4/2013,Delhi Capitals,Arun Jaitley Stadium,c J Botha b M Morkel,1,17,23,76
5,14/04/2013,Kolkata Knight Riders,Eden Gardens,c M K Tiwary b R Bhatia,1,1,2,77
6,17/04/2013,Pune Warriors,Maharashtra Cricket Association Stadium,c A J Finch b B Kumar,1,1,8,78
7,19/04/2013,Kings XI Punjab,Rajiv Gandhi International Stadium,c D J Hussey b P P Chawla,1,46,39,124
8,25/04/2013,Chennai Super Kings,MA Chidambaram Stadium,run out,1,2,3,126
9,27/04/2013,Rajasthan Royals,Sawai Mansingh Stadium,c †D H Yagnik b K Cooper,1,4,9,130
10,1/5/2013,Mumbai Indians,Rajiv Gandhi International Stadium,c A T Rayudu b D S Kulkarni,1,25,23,155
11,4/5/2013,Delhi Capitals,Rajiv Gandhi International Stadium,not out,0,11,9,166
12,8/5/2013,Chennai Super Kings,Rajiv Gandhi International Stadium,c M Vijay b S K Raina,1,3,8,169
13,11/5/2013,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c D A Miller b Sandeep Sharma,1,5,7,174
14,13/05/2013,Mumbai Indians,Wankhede Stadium,c M G Johnson b S L Malinga,1,41,37,215
15,17/05/2013,Rajasthan Royals,Rajiv Gandhi International Stadium,c Sachin Baby b S K Trivedi,1,19,28,234
16,19/05/2013,Kolkata Knight Riders,Rajiv Gandhi International Stadium,c P Dogra b Iqbal Abdulla,1,6,13,240
17,22/05/2013,Rajasthan Royals,Arun Jaitley Stadium,c K Cooper b V S Malik,1,1,8,241
18,25/04/2015,Mumbai Indians,Wankhede Stadium,c †P A Patel b S L Malinga,1,16,10,257
19,27/04/2015,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c M Vohra b Anureet Singh,1,9,8,266
20,2/5/2015,Chennai Super Kings,Rajiv Gandhi International Stadium,c sub b D J J Bravo,1,8,5,274
21,4/5/2015,Kolkata Knight Riders,Eden Gardens,st R V Uthappa b P P Chawla,1,6,12,280
22,30/03/2019,Kolkata Knight Riders,Arun Jaitley Stadium,c Shubman Gill b Kuldeep Yadav,1,2,3,282
23,1/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b Mohammed Shami,1,2,5,284
