Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,27/04/2016,Gujarat Lions,Arun Jaitley Stadium,c P Kumar b J P Faulkner,1,20,17,20
2,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,run out,1,4,4,24
3,3/5/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,c †K D Karthik b R A Jadeja,1,69,40,93
4,5/5/2016,Rising Pune Supergiant,Arun Jaitley Stadium,b A B Dinda,1,2,8,95
5,7/5/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,4,3,99
6,12/5/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,39,26,138
7,15/05/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,b J J Bumrah,1,23,17,161
8,17/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,c N L T C Perera b A Zampa,1,4,9,165
9,20/05/2016,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,run out,1,32,26,197
10,22/05/2016,Royal Challengers Bangalore,Shaheed Veer Narayan Sing International Stadium,c †K L Rahul b S Aravind,1,1,2,198
11,8/4/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,b P Negi,1,57,36,255
12,11/4/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,run out,1,31,22,286
13,15/04/2017,Kings XI Punjab,Arun Jaitley Stadium,c E J G Morgan b V R Aaron,1,15,9,301
14,17/04/2017,Kolkata Knight Riders,Arun Jaitley Stadium,c G Gambhir b N M Coulter-Nile,1,38,16,339
15,19/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D A Warner b Yuvraj Singh,1,0,1,339
16,22/04/2017,Mumbai Indians,Wankhede Stadium,c Harbhajan Singh b J J Bumrah,1,0,3,339
17,28/04/2017,Kolkata Knight Riders,Eden Gardens,lbw b N M Coulter-Nile,1,6,4,345
18,30/04/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lbw b G J Maxwell,1,3,6,348
19,2/5/2017,Sunrisers Hyderabad,Arun Jaitley Stadium,b Mohammed Siraj,1,34,20,382
20,4/5/2017,Gujarat Lions,Arun Jaitley Stadium,c †K D Karthik b Basil Thampi,1,97,43,479
21,6/5/2017,Mumbai Indians,Barabati Stadium,c L M P Simmons b J J Bumrah,1,0,3,479
22,10/5/2017,Gujarat Lions,Green Park,run out,1,4,2,483
23,12/5/2017,Rising Pune Supergiant,Arun Jaitley Stadium,c D T Christian b A Zampa,1,36,22,519
24,14/05/2017,Royal Challengers Bangalore,Arun Jaitley Stadium,b H V Patel,1,45,34,564
25,8/4/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c A J Tye b Mujeeb Ur Rahman,1,28,13,592
26,11/4/2018,Rajasthan Royals,Sawai Mansingh Stadium,c K Gowtham b J D Unadkat,1,20,14,612
27,14/04/2018,Mumbai Indians,Wankhede Stadium,c K A Pollard b K H Pandya,1,47,25,659
28,16/04/2018,Kolkata Knight Riders,Eden Gardens,c P P Chawla b Kuldeep Yadav,1,43,26,702
29,21/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A B de Villiers b C J Anderson,1,85,48,787
30,23/04/2018,Kings XI Punjab,Arun Jaitley Stadium,b Mujeeb Ur Rahman,1,4,7,791
31,27/04/2018,Kolkata Knight Riders,Arun Jaitley Stadium,c †K D Karthik b A D Russell,1,0,1,791
