Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,9/4/2015,Chennai Super Kings,MA Chidambaram Stadium,Yes,c F du Plessis b A Nehra,1,7,7,100,,7,7,100
2,12/4/2015,Rajasthan Royals,Arun Jaitley Stadium,Yes,c T G Southee b C H Morris,1,40,30,133.33,,47,23.5,127.03
3,15/04/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,c Anureet Singh b Sandeep Sharma,1,6,5,120,,53,17.67,126.19
4,18/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c D A Warner b P Kumar,1,60,40,150,,113,28.25,137.8
5,20/04/2015,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,b P P Chawla,1,31,24,129.17,,144,28.8,135.85
6,23/04/2015,Mumbai Indians,Arun Jaitley Stadium,Yes,b S L Malinga,1,83,56,148.21,,227,37.83,140.12
7,26/04/2015,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,lbw b M A Starc,1,0,1,0,,227,32.43,139.26
8,1/5/2015,Kings XI Punjab,Arun Jaitley Stadium,Yes,c A R Patel b S N Thakur,1,54,40,135,,281,35.13,138.42
9,3/5/2015,Rajasthan Royals,Brabourne Stadium,Yes,b S R Watson,1,9,12,75,,290,32.22,134.88
10,5/5/2015,Mumbai Indians,Wankhede Stadium,Yes,c R Vinay Kumar b Harbhajan Singh,1,19,18,105.56,,309,30.9,132.62
11,7/5/2015,Kolkata Knight Riders,Eden Gardens,Yes,b G B Hogg,1,40,35,114.29,,349,31.73,130.22
12,9/5/2015,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,Yes,c & b B Kumar,1,0,7,0,,349,29.08,126.91
13,12/5/2015,Chennai Super Kings,Shaheed Veer Narayan Sing International Stadium,No,not out,0,70,49,142.86,,419,34.92,129.32
14,17/05/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c C H Gayle b H V Patel,1,20,18,111.11,,439,33.77,128.36
15,10/4/2016,Kolkata Knight Riders,Eden Gardens,Yes,lbw b A D Russell,1,0,3,0,,439,31.36,127.25
16,15/04/2016,Kings XI Punjab,Arun Jaitley Stadium,No,c †W P Saha b Sandeep Sharma,1,3,5,60,,442,29.47,126.29
17,17/04/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c D Wiese b S Aravind,1,0,4,0,,442,27.63,124.86
18,23/04/2016,Mumbai Indians,Arun Jaitley Stadium,Yes,c A T Rayudu b H H Pandya,1,19,20,95,,461,27.12,123.26
19,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,lbw b A D Russell,1,0,1,0,,461,25.61,122.93
20,17/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c U T Khawaja b A B Dinda,1,8,10,80,,469,24.68,121.82
21,15/04/2017,Kings XI Punjab,Arun Jaitley Stadium,Yes,c E J G Morgan b M M Sharma,1,22,17,129.41,,491,24.55,122.14
22,17/04/2017,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,run out,1,26,17,152.94,,517,24.62,123.39
23,19/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,No,not out,0,50,31,161.29,,567,27,126
24,22/04/2017,Mumbai Indians,Wankhede Stadium,Yes,c †P A Patel b M J McClenaghan,1,6,7,85.71,,573,26.05,125.38
25,28/04/2017,Kolkata Knight Riders,Eden Gardens,Yes,lbw b N M Coulter-Nile,1,47,34,138.24,,620,26.96,126.27
26,30/04/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c & b Sandeep Sharma,1,6,7,85.71,,626,26.08,125.7
27,2/5/2017,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,c Mohammed Siraj b B Kumar,1,33,25,132,,659,26.36,126
28,4/5/2017,Gujarat Lions,Arun Jaitley Stadium,Yes,not out,0,14,8,175,,673,26.92,126.74
29,6/5/2017,Mumbai Indians,Barabati Stadium,Yes,c Harbhajan Singh b S L Malinga,1,3,6,50,,676,26,125.88
30,10/5/2017,Gujarat Lions,Green Park,Yes,b Basil Thampi,1,96,57,168.42,,772,28.59,129.97
31,12/5/2017,Rising Pune Supergiant,Arun Jaitley Stadium,Yes,c †M S Dhoni b J D Unadkat,1,3,4,75,,775,27.68,129.6
32,14/05/2017,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,c S R Watson b H V Patel,1,32,30,106.67,,807,27.83,128.5
33,8/4/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c †K L Rahul b A R Patel,1,11,11,100,,818,27.27,128.01
34,11/4/2018,Rajasthan Royals,Sawai Mansingh Stadium,Yes,not out,0,0,0,-,,818,27.27,128.01
35,14/04/2018,Mumbai Indians,Wankhede Stadium,Yes,not out,0,27,20,135,,845,28.17,128.22
36,16/04/2018,Kolkata Knight Riders,Eden Gardens,Yes,c N Rana b A D Russell,1,4,3,133.33,,849,27.39,128.25
37,21/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c Mohammed Siraj b W Washington Sundar,1,52,31,167.74,,901,28.16,130.01
38,23/04/2018,Kings XI Punjab,Arun Jaitley Stadium,Yes,c A J Finch b Mujeeb Ur Rahman,1,57,45,126.67,,958,29.03,129.81
39,27/04/2018,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,not out,0,93,40,232.5,,1051,31.85,135.09
40,30/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,run out,1,13,14,92.86,,1064,31.29,134.34
41,2/5/2018,Rajasthan Royals,Arun Jaitley Stadium,Yes,c R A Tripathi b J D Unadkat,1,50,35,142.86,,1114,31.83,134.7
42,5/5/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c S Dhawan b S Kaul,1,44,36,122.22,,1158,32.17,134.18
43,10/5/2018,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,run out,1,3,8,37.5,,1161,31.38,133.3
44,12/5/2018,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,c V Kohli b Mohammed Siraj,1,32,35,91.43,,1193,31.39,131.68
45,18/05/2018,Chennai Super Kings,Arun Jaitley Stadium,Yes,b L Ngidi,1,19,22,86.36,,1212,31.08,130.6
46,20/05/2018,Mumbai Indians,Arun Jaitley Stadium,Yes,c K H Pandya b M Markande,1,6,10,60,,1218,30.45,129.85
47,24/03/2019,Mumbai Indians,Wankhede Stadium,Yes,c K A Pollard b M J McClenaghan,1,16,10,160,,1234,30.1,130.17
48,26/03/2019,Chennai Super Kings,Arun Jaitley Stadium,Yes,lbw b Imran Tahir,1,18,20,90,,1252,29.81,129.34
49,30/03/2019,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,c Shubman Gill b A D Russell,1,43,32,134.38,,1295,30.12,129.5
50,1/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,b G C Viljoen,1,28,22,127.27,,1323,30.07,129.45
51,4/4/2019,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,b Rashid Khan,1,43,41,104.88,,1366,30.36,128.5
52,7/4/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c Y S Chahal b N A Saini,1,67,50,134,,1433,31.15,128.75
53,12/4/2019,Kolkata Knight Riders,Eden Gardens,Yes,c †K D Karthik b A D Russell,1,6,6,100,,1439,30.62,128.6
54,14/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,No,c †J M Bairstow b B Kumar,1,45,40,112.5,,1484,30.92,128.04
55,18/04/2019,Mumbai Indians,Arun Jaitley Stadium,Yes,b R D Chahar,1,3,6,50,,1487,30.35,127.64
56,20/04/2019,Kings XI Punjab,Arun Jaitley Stadium,Yes,not out,0,58,49,118.37,,1545,31.53,127.27
57,22/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,Yes,c B A Stokes b R Parag,1,4,5,80,,1549,30.98,127.07
58,28/04/2019,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,c V Kohli b W Washington Sundar,1,52,37,140.54,,1601,31.39,127.47
59,1/5/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,st M S Dhoni b R A Jadeja,1,44,31,141.94,,1645,31.63,127.82
60,4/5/2019,Rajasthan Royals,Arun Jaitley Stadium,Yes,c L S Livingstone b S Gopal,1,15,9,166.67,,1660,31.32,128.09
61,8/5/2019,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,No,c †W P Saha b K K Ahmed,1,8,10,80,,1668,30.89,127.72
62,10/5/2019,Chennai Super Kings,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c S K Raina b Imran Tahir,1,13,18,72.22,,1681,30.56,126.96
