Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,19/04/2008,Rajasthan Royals,Arun Jaitley Stadium,Yes,not out,0,52,41,126.83,,52,,126.83
2,22/04/2008,Deccan Chargers,Rajiv Gandhi International Stadium,Yes,not out,0,25,28,89.29,,77,,111.59
3,27/04/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c †K C Sangakkara b B Lee,1,0,3,0,,77,77,106.94
4,30/04/2008,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,c R Dravid b J H Kallis,1,50,33,151.52,,127,63.5,120.95
5,2/5/2008,Chennai Super Kings,MA Chidambaram Stadium,Yes,not out,0,19,17,111.76,,146,73,119.67
6,4/5/2008,Mumbai Indians,Dr DY Patil Sports Academy,Yes,c R V Uthappa b S M Pollock,1,1,3,33.33,,147,49,117.6
7,8/5/2008,Chennai Super Kings,Arun Jaitley Stadium,Yes,c C K Kapugedera b J A Morkel,1,59,46,128.26,,206,51.5,120.47
8,11/5/2008,Rajasthan Royals,Sawai Mansingh Stadium,Yes,run out,1,3,3,100,,209,41.8,120.11
9,13/05/2008,Kolkata Knight Riders,Eden Gardens,Yes,b A B Dinda,1,7,10,70,,216,36,117.39
10,15/05/2008,Deccan Chargers,Arun Jaitley Stadium,Yes,not out,0,68,52,130.77,,284,47.33,120.34
11,17/05/2008,Kings XI Punjab,Arun Jaitley Stadium,Yes,c P P Chawla b R R Powar,1,8,5,160,,292,41.71,121.16
12,19/05/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,16,13,123.08,,308,44,121.26
13,24/05/2008,Mumbai Indians,Arun Jaitley Stadium,Yes,c S D Chitnis b D R Smith,1,27,29,93.1,,335,41.88,118.37
14,30/05/2008,Rajasthan Royals,Wankhede Stadium,Yes,c R A Jadeja b S R Watson,1,5,12,41.67,,340,37.78,115.25
15,18/04/2009,Chennai Super Kings,Newlands,No,c M S Dhoni b M Gony,1,22,21,104.76,,362,36.2,114.56
