Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,23/04/2018,Kings XI Punjab,Arun Jaitley Stadium,Yes,b A S Rajpoot,1,22,10,220,,22,22,220
2,27/04/2018,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,b P P Chawla,1,62,44,140.91,,84,42,155.56
3,30/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,c R A Jadeja b K M Asif,1,9,5,180,,93,31,157.63
4,2/5/2018,Rajasthan Royals,Arun Jaitley Stadium,Yes,c & b S Gopal,1,47,25,188,,140,35,166.67
5,5/5/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c S Kaul b Rashid Khan,1,65,36,180.56,,205,41,170.83
6,10/5/2018,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,c S Dhawan b Shakib Al Hasan,1,9,11,81.82,,214,35.67,163.36
7,12/5/2018,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,b Y S Chahal,1,2,4,50,,216,30.86,160
8,18/05/2018,Chennai Super Kings,Arun Jaitley Stadium,Yes,c S N Thakur b D L Chahar,1,17,17,100,,233,29.13,153.29
9,20/05/2018,Mumbai Indians,Arun Jaitley Stadium,Yes,run out,1,12,8,150,,245,27.22,153.13
10,24/03/2019,Mumbai Indians,Wankhede Stadium,Yes,c †Q de Kock b M J McClenaghan,1,7,6,116.67,,252,25.2,151.81
11,26/03/2019,Chennai Super Kings,Arun Jaitley Stadium,Yes,c S R Watson b D L Chahar,1,24,16,150,,276,25.09,151.65
12,30/03/2019,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,c †K D Karthik b L H Ferguson,1,99,55,180,,375,31.25,158.23
13,1/4/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c †K L Rahul b R Ashwin,1,0,1,0,,375,28.85,157.56
14,4/4/2019,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,b B Kumar,1,11,11,100,,386,27.57,155.02
15,7/4/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c A D Nath b P Negi,1,28,22,127.27,,414,27.6,152.77
16,12/4/2019,Kolkata Knight Riders,Eden Gardens,Yes,c †K D Karthik b M Prasidh Krishna,1,14,7,200,,428,26.75,153.96
17,14/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,No,c †J M Bairstow b K K Ahmed,1,4,5,80,,432,25.41,152.65
18,18/04/2019,Mumbai Indians,Arun Jaitley Stadium,Yes,c H H Pandya b R D Chahar,1,20,24,83.33,,452,25.11,147.23
19,20/04/2019,Kings XI Punjab,Arun Jaitley Stadium,Yes,run out,1,13,11,118.18,,465,24.47,146.23
20,22/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,Yes,c R Parag b S Gopal,1,42,39,107.69,,507,25.35,142.02
21,28/04/2019,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,c †P A Patel b U T Yadav,1,18,10,180,,525,25,143.05
22,1/5/2019,Chennai Super Kings,MA Chidambaram Stadium,Yes,c S K Raina b D L Chahar,1,4,5,80,,529,24.05,142.2
23,4/5/2019,Rajasthan Royals,Arun Jaitley Stadium,Yes,b I S Sodhi,1,8,8,100,,537,23.35,141.32
24,8/5/2019,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,No,c V Shankar b K K Ahmed,1,56,38,147.37,,593,24.71,141.87
25,10/5/2019,Chennai Super Kings,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,lbw b D L Chahar,1,5,6,83.33,,598,23.92,141.04
