Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,13/04/2016,Mumbai Indians,Eden Gardens,Yes,run out,1,4,5,80,,4,4,80
2,22/05/2016,Sunrisers Hyderabad,Eden Gardens,Yes,c †N V Ojha b D J Hooda,1,10,8,125,,14,7,107.69
3,25/05/2016,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,run out,1,16,17,94.12,,30,10,100
4,8/4/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,lbw b Mujeeb Ur Rahman,1,4,6,66.67,,34,8.5,94.44
5,11/4/2018,Rajasthan Royals,Sawai Mansingh Stadium,Yes,run out,1,0,0,-,,34,6.8,94.44
6,27/04/2018,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,b Shivam Mavi,1,33,18,183.33,,67,11.17,124.07
7,30/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,c K V Sharma b K M Asif,1,26,16,162.5,,93,13.29,132.86
8,2/5/2018,Rajasthan Royals,Arun Jaitley Stadium,Yes,c †J C Buttler b D S Kulkarni,1,0,1,0,,93,11.63,130.99
9,14/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,No,c †J M Bairstow b Abhishek Sharma,1,40,24,166.67,,133,14.78,140
10,18/04/2019,Mumbai Indians,Arun Jaitley Stadium,Yes,b K H Pandya,1,3,9,33.33,,136,13.6,130.77
11,8/5/2019,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,No,lbw b Rashid Khan,1,14,13,107.69,,150,13.64,128.21
12,10/5/2019,Chennai Super Kings,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c D J J Bravo b R A Jadeja,1,27,24,112.5,,177,14.75,125.53
