Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,17/05/2012,Royal Challengers Bangalore,Arun Jaitley Stadium,c V Kohli b P Parameswaran,1,31,15,31
2,25/05/2012,Chennai Super Kings,MA Chidambaram Stadium,c D J J Bravo b R Ashwin,1,16,11,47
3,3/4/2013,Kolkata Knight Riders,Eden Gardens,c & b S P Narine,1,4,8,51
4,6/4/2013,Rajasthan Royals,Arun Jaitley Stadium,b K Cooper,1,7,6,58
5,2/5/2014,Chennai Super Kings,JSCA International Stadium Complex,b M M Sharma,1,1,5,59
6,5/5/2014,Rajasthan Royals,Sardar Patel Stadium,b S R Watson,1,1,3,60
7,11/4/2015,Royal Challengers Bangalore,Eden Gardens,not out,0,41,17,101
8,18/04/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,b M G Johnson,1,66,36,167
9,22/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c D W Steyn b R S Bopara,1,19,10,186
10,28/04/2015,Chennai Super Kings,MA Chidambaram Stadium,run out,1,4,4,190
11,30/04/2015,Chennai Super Kings,Eden Gardens,not out,0,55,32,245
12,2/5/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,run out,1,45,17,290
13,4/5/2015,Sunrisers Hyderabad,Eden Gardens,c E J G Morgan b Bipul Sharma,1,1,3,291
14,7/5/2015,Delhi Capitals,Eden Gardens,c A D Mathews b Imran Tahir,1,5,5,296
15,9/5/2015,Kings XI Punjab,Eden Gardens,c †W P Saha b A R Patel,1,51,21,347
16,14/05/2015,Mumbai Indians,Wankhede Stadium,c †P A Patel b S L Malinga,1,2,4,349
17,16/05/2015,Rajasthan Royals,Brabourne Stadium,c D S Kulkarni b C H Morris,1,37,20,386
18,13/04/2016,Mumbai Indians,Eden Gardens,b M J McClenaghan,1,36,17,422
19,16/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Mustafizur Rahman,1,2,5,424
20,24/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c F du Plessis b N L T C Perera,1,17,11,441
21,28/04/2016,Mumbai Indians,Wankhede Stadium,b T G Southee,1,22,16,463
22,30/04/2016,Delhi Capitals,Arun Jaitley Stadium,c & b A Mishra,1,17,12,480
23,2/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c S T R Binny b Y S Chahal,1,39,24,519
24,4/5/2016,Kings XI Punjab,Eden Gardens,run out,1,16,10,535
25,16/05/2016,Royal Challengers Bangalore,Eden Gardens,not out,1,39,19,574
26,8/4/2018,Royal Challengers Bangalore,Eden Gardens,c A B de Villiers b C R Woakes,1,15,11,589
27,10/4/2018,Chennai Super Kings,MA Chidambaram Stadium,not out,1,88,36,677
28,14/04/2018,Sunrisers Hyderabad,Eden Gardens,c M K Pandey b B Stanlake,1,9,5,686
29,16/04/2018,Delhi Capitals,Eden Gardens,b T A Boult,1,41,12,727
30,21/04/2018,Kings XI Punjab,Eden Gardens,c K K Nair b B B Sran,1,10,7,737
31,27/04/2018,Delhi Capitals,Arun Jaitley Stadium,b Avesh Khan,1,44,30,781
32,29/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,c †Q de Kock b Mohammed Siraj,1,0,1,781
33,6/5/2018,Mumbai Indians,Wankhede Stadium,c K H Pandya b J J Bumrah,1,9,10,790
34,9/5/2018,Mumbai Indians,Eden Gardens,c M Markande b H H Pandya,1,2,4,792
35,12/5/2018,Kings XI Punjab,Holkar Cricket Stadium,c †K L Rahul b A J Tye,1,31,14,823
36,15/05/2018,Rajasthan Royals,Eden Gardens,not out,0,11,5,834
37,19/05/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c M K Pandey b S Kaul,1,4,4,838
38,23/05/2018,Rajasthan Royals,Eden Gardens,not out,0,49,25,887
39,25/05/2018,Sunrisers Hyderabad,Eden Gardens,c S Dhawan b Rashid Khan,1,3,7,890
40,24/03/2019,Sunrisers Hyderabad,Eden Gardens,not out,0,49,19,939
41,27/03/2019,Kings XI Punjab,Eden Gardens,c M A Agarwal b A J Tye,1,48,17,987
42,30/03/2019,Delhi Capitals,Arun Jaitley Stadium,c sub b C H Morris,1,62,28,1049
43,5/4/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,48,13,1097
44,9/4/2019,Chennai Super Kings,MA Chidambaram Stadium,not out,0,50,44,1147
45,12/4/2019,Delhi Capitals,Eden Gardens,c K Rabada b C H Morris,1,45,21,1192
46,14/04/2019,Chennai Super Kings,Eden Gardens,c sub b Imran Tahir,1,10,4,1202
47,19/04/2019,Royal Challengers Bangalore,Eden Gardens,run out,1,65,25,1267
48,21/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Rashid Khan b B Kumar,1,15,9,1282
49,25/04/2019,Rajasthan Royals,Eden Gardens,c R Parag b O R Thomas,1,14,14,1296
50,28/04/2019,Mumbai Indians,Eden Gardens,not out,0,80,40,1376
51,3/5/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c A J Tye b Mohammed Shami,1,24,14,1400
52,5/5/2019,Mumbai Indians,Wankhede Stadium,c †Q de Kock b S L Malinga,1,0,1,1400
