Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,10/4/2016,Kolkata Knight Riders,Eden Gardens,lbw b P P Chawla,1,6,4,6
1,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,c S P Narine b A D Russell,1,34,11,40
1,5/5/2016,Rising Pune Supergiant,Arun Jaitley Stadium,c N L T C Perera b S M Boland,1,20,8,60
1,7/5/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c Gurkeerat Singh b Sandeep Sharma,1,12,6,72
1,20/05/2016,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,c B B Sran b Mustafizur Rahman,1,10,7,82
1,22/05/2016,Royal Challengers Bangalore,Shaheed Veer Narayan Sing International Stadium,c S R Watson b C H Gayle,1,1,2,83
1,8/4/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,b Y S Chahal,1,1,5,84
1,10/5/2017,Gujarat Lions,Green Park,c & b D S Kulkarni,1,11,10,95
1,19/05/2018,Kolkata Knight Riders,Rajiv Gandhi International Stadium,c †K D Karthik b A D Russell,1,3,4,98
1,22/05/2018,Chennai Super Kings,Wankhede Stadium,not out,0,43,29,141
1,25/05/2018,Kolkata Knight Riders,Eden Gardens,run out,1,8,4,149
1,27/05/2018,Chennai Super Kings,Wankhede Stadium,c A T Rayudu b S N Thakur,1,21,11,170
1,12/4/2019,Delhi Capitals,Eden Gardens,c R Tewatia b K M A Paul,1,6,7,176
1,25/04/2019,Rajasthan Royals,Eden Gardens,c A M Rahane b J D Unadkat,1,5,3,181
