Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,21/04/2008,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,24,11,24
2,25/04/2008,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,lbw b Harbhajan Singh,1,0,1,24
3,3/5/2008,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,not out,0,21,7,45
4,10/5/2008,Chennai Super Kings,MA Chidambaram Stadium,c C K Kapugedera b L Balaji,1,17,15,62
5,23/05/2008,Deccan Chargers,Punjab Cricket Association IS Bindra Stadium,not out,0,16,9,78
6,25/05/2008,Kolkata Knight Riders,Eden Gardens,b Umar Gul,1,0,1,78
7,31/05/2008,Chennai Super Kings,Wankhede Stadium,b M Muralitharan,1,12,15,90
8,19/04/2009,Delhi Capitals,Newlands,run out,1,0,0,90
9,21/04/2009,Kolkata Knight Riders,Kingsmead,not out,0,3,6,93
10,26/04/2009,Rajasthan Royals,Newlands,not out,0,6,6,99
11,29/04/2009,Mumbai Indians,Kingsmead,b S L Malinga,1,0,2,99
12,1/5/2009,Royal Challengers Bangalore,Kingsmead,b P Kumar,1,3,4,102
13,5/5/2009,Rajasthan Royals,Kingsmead,c R A Jadeja b S K Warne,1,6,7,108
14,9/5/2009,Deccan Chargers,Diamond Oval,not out,0,8,6,116
15,12/5/2009,Mumbai Indians,SuperSport Park,run out,1,0,0,116
16,17/05/2009,Deccan Chargers,Wanderers Stadium,not out,0,1,1,117
17,20/05/2009,Chennai Super Kings,Kingsmead,not out,0,4,4,121
18,13/03/2010,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,c M F Maharoof b D P Nannes,1,5,7,126
19,19/03/2010,Deccan Chargers,Barabati Stadium,c P P Ojha b R P Singh,1,9,13,135
20,21/03/2010,Chennai Super Kings,MA Chidambaram Stadium,not out,0,8,4,143
21,24/03/2010,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c S W Tait b Y K Pathan,1,8,8,151
22,30/03/2010,Mumbai Indians,Brabourne Stadium,run out,1,22,13,173
23,7/4/2010,Rajasthan Royals,Sawai Mansingh Stadium,c A A Jhunjhunwala b S K Trivedi,1,10,15,183
24,10/4/2011,Pune Warriors,Dr DY Patil Sports Academy,c †R V Uthappa b S B Wagh,1,15,28,198
25,21/04/2011,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,b S W Tait,1,4,3,202
26,2/5/2011,Mumbai Indians,Wankhede Stadium,not out,0,10,10,212
27,6/5/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,b C H Gayle,1,5,6,217
28,15/05/2011,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,not out,0,1,1,218
29,21/05/2011,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,not out,0,13,7,231
30,6/4/2012,Rajasthan Royals,Sawai Mansingh Stadium,b K Cooper,1,10,8,241
31,8/4/2012,Pune Warriors,Maharashtra Cricket Association Stadium,c M K Pandey b R Sharma,1,16,8,257
32,12/4/2012,Pune Warriors,Punjab Cricket Association IS Bindra Stadium,not out,0,21,24,278
33,15/04/2012,Kolkata Knight Riders,Eden Gardens,not out,0,13,8,291
34,18/04/2012,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,b S P Narine,1,9,10,300
35,20/04/2012,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,not out,0,7,3,307
36,28/04/2012,Chennai Super Kings,MA Chidambaram Stadium,c D J J Bravo b J A Morkel,1,0,2,307
37,2/5/2012,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,6,2,313
38,5/5/2012,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,b S R Watson,1,5,4,318
39,13/05/2012,Deccan Chargers,Punjab Cricket Association IS Bindra Stadium,c C L White b D W Steyn,1,8,3,326
40,15/05/2012,Delhi Capitals,Arun Jaitley Stadium,c †N V Ojha b U T Yadav,1,10,14,336
41,19/05/2012,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,b M Morkel,1,1,2,337
42,10/4/2013,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c M Vijay b D J J Bravo,1,4,5,341
43,14/04/2013,Rajasthan Royals,Sawai Mansingh Stadium,c A M Rahane b K Cooper,1,7,9,348
44,16/04/2013,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,not out,0,11,8,359
45,19/04/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,run out,1,23,15,382
46,23/04/2013,Delhi Capitals,Arun Jaitley Stadium,not out,0,5,3,387
47,26/04/2013,Kolkata Knight Riders,Eden Gardens,not out,0,0,2,387
48,29/04/2013,Mumbai Indians,Wankhede Stadium,c A T Rayudu b D S Kulkarni,1,12,10,399
49,9/5/2013,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,not out,0,1,1,400
50,11/5/2013,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c S Dhawan b N L T C Perera,1,0,2,400
51,16/05/2013,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,not out,0,0,0,400
52,18/05/2013,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,run out,1,1,2,401
53,26/04/2014,Kings XI Punjab,Sheikh Zayed Stadium,st W P Saha b A R Patel,1,0,2,401
54,29/04/2014,Rajasthan Royals,Sheikh Zayed Stadium,run out,1,0,1,401
55,2/5/2014,Chennai Super Kings,JSCA International Stadium Complex,c F du Plessis b M M Sharma,1,1,2,402
56,28/05/2014,Kings XI Punjab,Eden Gardens,not out,0,17,9,419
57,1/6/2014,Kings XI Punjab,M Chinnaswamy Stadium,not out,0,13,5,432
58,11/4/2015,Royal Challengers Bangalore,Eden Gardens,not out,0,0,0,432
59,18/04/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,not out,0,4,1,436
60,28/04/2015,Chennai Super Kings,MA Chidambaram Stadium,c †M S Dhoni b D J J Bravo,1,0,2,436
61,4/5/2015,Sunrisers Hyderabad,Eden Gardens,not out,0,9,6,445
62,7/5/2015,Delhi Capitals,Eden Gardens,c S S Tiwary b J A Morkel,1,22,19,467
63,9/5/2015,Kings XI Punjab,Eden Gardens,c †W P Saha b Anureet Singh,1,18,11,485
64,14/05/2015,Mumbai Indians,Wankhede Stadium,not out,0,1,7,486
65,16/05/2015,Rajasthan Royals,Brabourne Stadium,c S T R Binny b S R Watson,1,0,1,486
66,24/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c S P D Smith b N L T C Perera,1,8,5,494
67,30/04/2016,Delhi Capitals,Arun Jaitley Stadium,lbw b Z Khan,1,8,5,502
68,19/05/2016,Gujarat Lions,Green Park,b D R Smith,1,11,16,513
69,19/05/2017,Mumbai Indians,M Chinnaswamy Stadium,c A T Rayudu b M G Johnson,1,2,6,515
70,16/04/2018,Delhi Capitals,Eden Gardens,c †R R Pant b R Tewatia,1,0,3,515
71,21/04/2018,Kings XI Punjab,Eden Gardens,not out,0,2,2,517
72,27/04/2018,Delhi Capitals,Arun Jaitley Stadium,c C Munro b G J Maxwell,1,2,4,519
73,6/5/2018,Mumbai Indians,Wankhede Stadium,not out,0,0,0,519
74,9/5/2018,Mumbai Indians,Eden Gardens,c S A Yadav b B C J Cutting,1,11,13,530
75,23/05/2018,Rajasthan Royals,Eden Gardens,not out,0,0,0,530
76,25/05/2018,Sunrisers Hyderabad,Eden Gardens,b S Kaul,1,12,12,542
77,30/03/2019,Delhi Capitals,Arun Jaitley Stadium,run out,1,12,5,554
78,9/4/2019,Chennai Super Kings,MA Chidambaram Stadium,st M S Dhoni b Harbhajan Singh,1,8,13,562
79,12/4/2019,Delhi Capitals,Eden Gardens,not out,0,14,6,576
80,14/04/2019,Chennai Super Kings,Eden Gardens,not out,0,4,5,580
81,21/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †J M Bairstow b Rashid Khan,1,4,8,584
