Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,27/04/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b Yuvraj Singh,1,24,14,24
2,30/04/2008,Royal Challengers Bangalore,Arun Jaitley Stadium,b J H Kallis,1,2,4,26
3,4/5/2008,Mumbai Indians,Dr DY Patil Sports Academy,lbw b D J J Bravo,1,28,23,54
4,8/5/2008,Chennai Super Kings,Arun Jaitley Stadium,not out,0,6,3,60
5,11/5/2008,Rajasthan Royals,Sawai Mansingh Stadium,c †M Rawat b A D Mascarenhas,1,13,15,73
6,19/05/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,c C L White b A Kumble,1,6,4,79
7,24/05/2008,Mumbai Indians,Arun Jaitley Stadium,not out,0,56,32,135
8,30/05/2008,Rajasthan Royals,Wankhede Stadium,c M Kaif b S K Trivedi,1,10,12,145
9,23/04/2009,Chennai Super Kings,Kingsmead,c A Flintoff b L Balaji,1,18,16,163
10,26/04/2009,Royal Challengers Bangalore,St George's Park,c J H Kallis b B Akhil,1,12,9,175
11,28/04/2009,Rajasthan Royals,SuperSport Park,c & b S K Warne,1,4,5,179
12,30/04/2009,Deccan Chargers,SuperSport Park,lbw b P P Ojha,1,41,30,220
13,2/5/2009,Chennai Super Kings,Wanderers Stadium,c M Muralitharan b S B Jakati,1,52,31,272
14,8/5/2009,Mumbai Indians,Buffalo Park,not out,0,5,3,277
15,10/5/2009,Kolkata Knight Riders,Wanderers Stadium,not out,0,17,22,294
16,13/05/2009,Deccan Chargers,Kingsmead,not out,0,44,23,338
17,15/05/2009,Kings XI Punjab,Mangaung Oval,c W A Mota b I K Pathan,1,32,29,370
18,17/05/2009,Rajasthan Royals,Mangaung Oval,not out,0,23,11,393
19,19/05/2009,Royal Challengers Bangalore,Wanderers Stadium,c R V Uthappa b P Kumar,1,31,29,424
20,21/05/2009,Mumbai Indians,SuperSport Park,not out,0,0,1,424
21,22/05/2009,Deccan Chargers,SuperSport Park,b R J Harris,1,9,8,433
22,13/03/2010,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c I K Pathan b Y A Abdulla,1,20,18,453
23,15/03/2010,Rajasthan Royals,Barabati Stadium,not out,0,23,26,476
24,17/03/2010,Mumbai Indians,Arun Jaitley Stadium,st A P Tare b Harbhajan Singh,1,16,6,492
25,19/03/2010,Chennai Super Kings,Arun Jaitley Stadium,lbw b Joginder Sharma,1,19,14,511
26,21/03/2010,Deccan Chargers,Barabati Stadium,c & b A Symonds,1,46,27,557
27,25/03/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,run out,1,17,19,574
28,29/03/2010,Kolkata Knight Riders,Arun Jaitley Stadium,b I Sharma,1,0,1,574
29,31/03/2010,Rajasthan Royals,Arun Jaitley Stadium,c sub b S W Tait,1,69,38,643
30,4/4/2010,Royal Challengers Bangalore,Arun Jaitley Stadium,c C L White b K P Appanna,1,6,4,649
31,7/4/2010,Kolkata Knight Riders,Eden Gardens,c B B McCullum b A B Dinda,1,20,17,669
32,11/4/2010,Kings XI Punjab,Arun Jaitley Stadium,c D P M D Jayawardene b I K Pathan,1,17,35,686
