Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,11/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c S T R Binny b Y S Chahal,1,9,11,81.82,,9,9,81.82
2,13/05/2016,Kings XI Punjab,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c †W P Saha b M P Stoinis,1,25,28,89.29,,34,17,87.18
3,21/05/2016,Gujarat Lions,Green Park,Yes,c D S Kulkarni b D J J Bravo,1,70,36,194.44,,104,34.67,138.67
4,6/4/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Yes,c R Bhatia b A Zampa,1,34,28,121.43,,138,34.5,133.98
5,9/4/2017,Kolkata Knight Riders,Wankhede Stadium,Yes,c S P Narine b A S Rajpoot,1,50,29,172.41,,188,37.6,142.42
6,12/4/2017,Sunrisers Hyderabad,Wankhede Stadium,Yes,b B Kumar,1,45,36,125,,233,38.83,138.69
7,14/04/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c S Aravind b S Badree,1,11,16,68.75,,244,34.86,132.61
8,16/04/2017,Gujarat Lions,Wankhede Stadium,Yes,c †K D Karthik b A J Tye,1,53,36,147.22,,297,37.13,135
9,20/04/2017,Kings XI Punjab,Holkar Cricket Stadium,Yes,not out,0,62,34,182.35,,359,44.88,141.34
10,22/04/2017,Delhi Capitals,Wankhede Stadium,Yes,c C J Anderson b P J Cummins,1,8,9,88.89,,367,40.78,139.54
11,24/04/2017,Rising Pune Supergiant,Wankhede Stadium,Yes,c J D Unadkat b D T Christian,1,3,9,33.33,,370,37,136.03
12,29/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,Yes,lbw b Ankit Soni,1,19,16,118.75,,389,35.36,135.07
13,1/5/2017,Royal Challengers Bangalore,Wankhede Stadium,Yes,c T M Head b P Negi,1,27,28,96.43,,416,34.67,131.65
14,8/5/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c B Kumar b S Kaul,1,9,11,81.82,,425,32.69,129.97
15,11/5/2017,Kings XI Punjab,Wankhede Stadium,Yes,c M J Guptill b A R Patel,1,12,12,100,,437,31.21,128.91
16,8/4/2018,Royal Challengers Bangalore,Eden Gardens,Yes,lbw b W Washington Sundar,1,34,25,136,,471,31.4,129.4
17,10/4/2018,Chennai Super Kings,MA Chidambaram Stadium,Yes,c †M S Dhoni b S R Watson,1,16,14,114.29,,487,30.44,128.84
18,14/04/2018,Sunrisers Hyderabad,Eden Gardens,Yes,c M K Pandey b B Stanlake,1,18,16,112.5,,505,29.71,128.17
19,16/04/2018,Delhi Capitals,Eden Gardens,Yes,c G Gambhir b C H Morris,1,59,35,168.57,,564,31.33,131.47
20,18/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,Yes,not out,0,35,27,129.63,,599,33.28,131.36
21,21/04/2018,Kings XI Punjab,Eden Gardens,Yes,run out,1,3,5,60,,602,31.68,130.59
22,27/04/2018,Delhi Capitals,Arun Jaitley Stadium,Yes,c & b Avesh Khan,1,8,7,114.29,,610,30.5,130.34
23,29/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,retired hurt,0,15,10,150,,625,31.25,130.75
24,6/5/2018,Mumbai Indians,Wankhede Stadium,Yes,c J J Bumrah b H H Pandya,1,31,27,114.81,,656,31.24,129.9
25,9/5/2018,Mumbai Indians,Eden Gardens,Yes,c B C J Cutting b H H Pandya,1,21,19,110.53,,677,30.77,129.2
26,12/5/2018,Kings XI Punjab,Holkar Cricket Stadium,Yes,c sub b M M Sharma,1,11,4,275,,688,29.91,130.3
27,15/05/2018,Rajasthan Royals,Eden Gardens,Yes,lbw b I S Sodhi,1,21,17,123.53,,709,29.54,130.09
28,19/05/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c B Kumar b C R Brathwaite,1,7,5,140,,716,28.64,130.18
