Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,20/04/2008,Royal Challengers Bangalore,Wankhede Stadium,Yes,st M V Boucher b B Akhil,1,48,38,126.32,,48,48,126.32
2,23/04/2008,Chennai Super Kings,MA Chidambaram Stadium,Yes,b Joginder Sharma,1,43,36,119.44,,91,45.5,122.97
3,25/04/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c R R Sarwan b V R Singh,1,21,18,116.67,,112,37.33,121.74
4,27/04/2008,Deccan Chargers,Dr DY Patil Sports Academy,Yes,c †A C Gilchrist b Shahid Afridi,1,6,5,120,,118,29.5,121.65
5,29/04/2008,Kolkata Knight Riders,Eden Gardens,Yes,not out,0,37,37,100,,155,38.75,115.67
6,4/5/2008,Delhi Capitals,Dr DY Patil Sports Academy,Yes,c Shoaib Malik b P J Sangwan,1,22,21,104.76,,177,35.4,114.19
7,7/5/2008,Rajasthan Royals,Dr DY Patil Sports Academy,Yes,not out,0,34,21,161.9,,211,42.2,119.89
8,14/05/2008,Chennai Super Kings,Wankhede Stadium,Yes,not out,0,16,19,84.21,,227,45.4,116.41
9,16/05/2008,Kolkata Knight Riders,Wankhede Stadium,Yes,c S C Ganguly b I Sharma,1,9,8,112.5,,236,39.33,116.26
10,18/05/2008,Deccan Chargers,Rajiv Gandhi International Stadium,Yes,c Shahid Afridi b Y Venugopal Rao,1,7,16,43.75,,243,34.71,110.96
11,21/05/2008,Kings XI Punjab,Wankhede Stadium,Yes,c J R Hopes b Yuvraj Singh,1,9,13,69.23,,252,31.5,108.62
12,24/05/2008,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,46,23,200,,298,37.25,116.86
13,26/05/2008,Rajasthan Royals,Sawai Mansingh Stadium,Yes,st Kamran Akmal b Sohail Tanvir,1,3,8,37.5,,301,33.44,114.45
14,28/05/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,19,16,118.75,,320,35.56,114.7
15,18/04/2009,Rajasthan Royals,Newlands,Yes,c †M Rawat b A D Mascarenhas,1,3,10,30,,323,32.3,111.76
16,20/04/2009,Chennai Super Kings,St George's Park,Yes,st M S Dhoni b M Muralitharan,1,20,19,105.26,,343,31.18,111.36
17,22/04/2009,Deccan Chargers,Newlands,Yes,c D B Ravi Teja b S B Styris,1,12,19,63.16,,355,29.58,108.56
18,24/04/2009,Kings XI Punjab,Kingsmead,Yes,c Yuvraj Singh b I K Pathan,1,0,1,0,,355,27.31,108.23
19,26/04/2009,Delhi Capitals,St George's Park,No,c P J Sangwan b A Nehra,1,3,4,75,,358,25.57,107.83
20,1/5/2009,Kings XI Punjab,Kingsmead,Yes,c S M Katich b Yuvraj Singh,1,19,17,111.76,,377,25.13,108.02
21,3/5/2009,Mumbai Indians,Wanderers Stadium,Yes,not out,0,66,42,157.14,,443,29.53,113.3
22,7/5/2009,Rajasthan Royals,SuperSport Park,No,lbw b R A Jadeja,1,17,20,85,,460,28.75,111.92
23,10/5/2009,Mumbai Indians,St George's Park,No,c S R Tendulkar b D S Kulkarni,1,4,5,80,,464,27.29,111.54
24,12/5/2009,Kolkata Knight Riders,SuperSport Park,No,c A D Mathews b M Kartik,1,7,9,77.78,,471,26.17,110.82
25,14/05/2009,Chennai Super Kings,Kingsmead,No,lbw b J A Morkel,1,6,4,150,,477,25.11,111.19
26,19/05/2009,Delhi Capitals,Wanderers Stadium,Yes,c †K D Karthik b A Nehra,1,1,5,20,,478,23.9,110.14
27,24/05/2009,Deccan Chargers,Wanderers Stadium,Yes,not out,0,17,15,113.33,,495,24.75,110.24
28,14/03/2010,Kolkata Knight Riders,Eden Gardens,Yes,c †W P Saha b A D Mathews,1,20,17,117.65,,515,24.52,110.52
29,16/03/2010,Kings XI Punjab,M Chinnaswamy Stadium,Yes,c M Kaif b Bipul Sharma,1,51,21,242.86,,566,25.73,116.22
30,20/03/2010,Mumbai Indians,Barabati Stadium,Yes,c S L Malinga b Z Khan,1,23,15,153.33,,589,25.61,117.33
31,23/03/2010,Chennai Super Kings,M Chinnaswamy Stadium,Yes,not out,0,68,38,178.95,,657,28.57,121.67
32,25/03/2010,Delhi Capitals,M Chinnaswamy Stadium,Yes,c †K D Karthik b A Mishra,1,15,10,150,,672,28,122.18
33,31/03/2010,Chennai Super Kings,MA Chidambaram Stadium,Yes,c M Gony b S B Jakati,1,21,13,161.54,,693,27.72,123.09
34,2/4/2010,Kings XI Punjab,Barabati Stadium,Yes,c †K C Sangakkara b I K Pathan,1,22,8,275,,715,27.5,125.22
35,4/4/2010,Delhi Capitals,Arun Jaitley Stadium,Yes,c D A Warner b P J Sangwan,1,12,9,133.33,,727,26.93,125.34
36,8/4/2010,Deccan Chargers,M Chinnaswamy Stadium,Yes,c †A C Gilchrist b A Symonds,1,2,5,40,,729,26.04,124.62
37,10/4/2010,Kolkata Knight Riders,M Chinnaswamy Stadium,Yes,not out,0,50,22,227.27,,779,27.82,128.34
38,12/4/2010,Deccan Chargers,Vidarbha Cricket Association Stadium,Yes,b Harmeet Singh,1,34,20,170,,813,28.03,129.67
39,14/04/2010,Rajasthan Royals,Sawai Mansingh Stadium,Yes,st N V Ojha b S K Warne,1,26,21,123.81,,839,27.97,129.48
40,17/04/2010,Mumbai Indians,M Chinnaswamy Stadium,Yes,c A M Nayar b K A Pollard,1,4,6,66.67,,843,27.19,128.9
41,21/04/2010,Mumbai Indians,Dr DY Patil Sports Academy,Yes,c S Dhawan b K A Pollard,1,26,13,200,,869,27.16,130.28
42,10/4/2011,Kings XI Punjab,Dr DY Patil Sports Academy,Yes,not out,0,22,14,157.14,,891,27.84,130.84
43,13/04/2011,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,Yes,b M Muralitharan,1,31,13,238.46,,922,27.94,132.85
44,17/04/2011,Delhi Capitals,Dr DY Patil Sports Academy,Yes,c D A Warner b S Nadeem,1,4,10,40,,926,27.24,131.53
