Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,18/05/2012,Rajasthan Royals,Rajiv Gandhi International Stadium,Yes,c S R Watson b S K Trivedi,1,6,9,66.67,,6,6,66.67
2,24/04/2014,Royal Challengers Bangalore,Sharjah Cricket Stadium,Yes,c A B de Villiers b V R Aaron,1,45,31,145.16,,51,25.5,127.5
3,26/04/2014,Kings XI Punjab,Sheikh Zayed Stadium,Yes,b A R Patel,1,13,18,72.22,,64,21.33,110.34
4,28/04/2016,Mumbai Indians,Wankhede Stadium,Yes,not out,0,10,10,100,,74,24.67,108.82
5,2/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b Y S Chahal,1,15,12,125,,89,22.25,111.25
6,7/4/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,Yes,not out,0,93,41,226.83,,182,45.5,150.41
7,9/4/2017,Mumbai Indians,Wankhede Stadium,Yes,lbw b J J Bumrah,1,32,24,133.33,,214,42.8,147.59
8,7/5/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b P Negi,1,50,22,227.27,,264,44,158.08
9,9/5/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,run out,1,84,52,161.54,,348,49.71,158.9
10,13/05/2017,Mumbai Indians,Eden Gardens,Yes,c sub b R Vinay Kumar,1,26,14,185.71,,374,46.75,160.52
11,17/05/2017,Sunrisers Hyderabad,M Chinnaswamy Stadium,Yes,c †N V Ojha b B Kumar,1,6,2,300,,380,42.22,161.7
12,19/05/2017,Mumbai Indians,M Chinnaswamy Stadium,Yes,c K A Pollard b J J Bumrah,1,4,8,50,,384,38.4,158.02
13,8/4/2018,Royal Challengers Bangalore,Eden Gardens,Yes,c A B de Villiers b C R Woakes,1,5,8,62.5,,389,35.36,154.98
14,10/4/2018,Chennai Super Kings,MA Chidambaram Stadium,Yes,b R A Jadeja,1,22,16,137.5,,411,34.25,153.93
