Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,20/05/2009,Kings XI Punjab,Kingsmead,c L A Pommersbach b I K Pathan,1,8,15,8
2,14/03/2010,Deccan Chargers,MA Chidambaram Stadium,c R P Singh b R G Sharma,1,0,1,8
3,21/03/2010,Kings XI Punjab,MA Chidambaram Stadium,c M Kaif b I K Pathan,1,2,5,10
4,23/03/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,11,10,21
5,10/4/2010,Deccan Chargers,Vidarbha Cricket Association Stadium,c & b R J Harris,1,5,6,26
6,15/04/2010,Delhi Capitals,MA Chidambaram Stadium,run out,1,6,13,32
7,22/04/2010,Deccan Chargers,Dr DY Patil Sports Academy,not out,0,6,5,38
8,22/04/2011,Mumbai Indians,Wankhede Stadium,c K A Pollard b Harbhajan Singh,1,0,2,38
9,22/05/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A Mithun b S Aravind,1,2,4,40
10,4/4/2012,Mumbai Indians,MA Chidambaram Stadium,run out,1,3,5,43
11,10/4/2012,Delhi Capitals,Arun Jaitley Stadium,run out,1,8,5,51
12,28/04/2012,Kings XI Punjab,MA Chidambaram Stadium,not out,0,7,3,58
13,6/5/2012,Mumbai Indians,Wankhede Stadium,c Harbhajan Singh b S L Malinga,1,0,1,58
14,17/05/2012,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,not out,0,0,1,58
15,6/4/2013,Mumbai Indians,MA Chidambaram Stadium,c K A Pollard b Harbhajan Singh,1,2,5,60
16,15/04/2013,Pune Warriors,MA Chidambaram Stadium,not out,0,11,5,71
17,20/04/2013,Kolkata Knight Riders,Eden Gardens,c S M S M Senanayake b S P Narine,1,11,13,82
18,5/5/2013,Mumbai Indians,Wankhede Stadium,b Harbhajan Singh,1,2,8,84
19,26/05/2013,Mumbai Indians,Eden Gardens,c sub b K A Pollard,1,9,18,93
20,21/04/2014,Delhi Capitals,Sheikh Zayed Stadium,run out,1,1,1,94
21,23/04/2014,Rajasthan Royals,Dubai International Cricket Stadium,not out,0,9,13,103
22,7/5/2014,Kings XI Punjab,Barabati Stadium,not out,0,11,4,114
23,10/5/2014,Mumbai Indians,Wankhede Stadium,not out,0,0,0,114
24,13/05/2014,Rajasthan Royals,JSCA International Stadium Complex,b R Bhatia,1,14,16,128
25,30/05/2014,Kings XI Punjab,Wankhede Stadium,st W P Saha b A R Patel,1,10,11,138
26,9/4/2015,Delhi Capitals,MA Chidambaram Stadium,not out,0,12,8,150
27,22/04/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,c M S Bisla b D Wiese,1,5,3,155
28,28/04/2015,Kolkata Knight Riders,MA Chidambaram Stadium,not out,0,9,4,164
29,19/05/2015,Mumbai Indians,Wankhede Stadium,c A T Rayudu b S L Malinga,1,23,12,187
30,22/05/2015,Royal Challengers Bangalore,JSCA International Stadium Complex,not out,0,1,1,188
31,24/05/2015,Mumbai Indians,Eden Gardens,c J Suchith b M J McClenaghan,1,2,4,190
32,17/04/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,1,2,191
33,22/04/2016,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,c H V Patel b S R Watson,1,0,1,191
34,7/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,10,5,201
35,10/5/2016,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c †N V Ojha b B B Sran,1,29,25,230
36,14/05/2016,Kolkata Knight Riders,Eden Gardens,not out,0,0,4,230
37,21/05/2016,Kings XI Punjab,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,1,1,231
38,13/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,st Q de Kock b Y S Chahal,1,33,21,264
39,15/04/2018,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c †M S Dhoni b S N Thakur,1,14,11,278
40,23/04/2018,Delhi Capitals,Arun Jaitley Stadium,c R Tewatia b T A Boult,1,6,7,284
41,26/04/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c K S Williamson b Rashid Khan,1,4,6,288
42,4/5/2018,Mumbai Indians,Holkar Cricket Stadium,not out,0,0,0,288
43,8/5/2018,Rajasthan Royals,Sawai Mansingh Stadium,b K Gowtham,1,0,2,288
44,12/5/2018,Kolkata Knight Riders,Holkar Cricket Stadium,lbw b M Prasidh Krishna,1,45,22,333
45,14/05/2018,Royal Challengers Bangalore,Holkar Cricket Stadium,run out,1,0,1,333
46,20/05/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,c †M S Dhoni b L Ngidi,1,0,1,333
47,1/4/2019,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,b C H Morris,1,3,4,336
48,16/04/2019,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,not out,0,17,4,353
49,20/04/2019,Delhi Capitals,Arun Jaitley Stadium,c S S Iyer b K Rabada,1,16,14,369
50,24/04/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,c V Kohli b U T Yadav,1,6,2,375
51,29/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c M K Pandey b Rashid Khan,1,0,1,375
52,3/5/2019,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,b A D Russell,1,0,3,375
