Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,20/04/2012,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,c Z Khan b A B McDonald,1,8,13,8
2,22/04/2012,Mumbai Indians,Wankhede Stadium,not out,0,5,5,13
3,25/04/2012,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,not out,0,34,17,47
4,28/04/2012,Chennai Super Kings,MA Chidambaram Stadium,c †M S Dhoni b J A Morkel,1,19,15,66
5,8/5/2012,Deccan Chargers,Rajiv Gandhi International Stadium,not out,0,28,18,94
6,15/05/2012,Delhi Capitals,Arun Jaitley Stadium,run out,1,4,7,98
7,16/04/2013,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,b S M S M Senanayake,1,20,17,118
8,21/04/2013,Pune Warriors,Punjab Cricket Association IS Bindra Stadium,not out,0,80,41,198
9,23/04/2013,Delhi Capitals,Arun Jaitley Stadium,not out,0,34,39,232
10,26/04/2013,Kolkata Knight Riders,Eden Gardens,b S Ladda,1,10,8,242
11,29/04/2013,Mumbai Indians,Wankhede Stadium,c S R Tendulkar b M G Johnson,1,56,34,298
12,2/5/2013,Chennai Super Kings,MA Chidambaram Stadium,not out,0,51,26,349
13,6/5/2013,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,not out,0,101,38,450
14,9/5/2013,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c A M Rahane b K Cooper,1,8,11,458
15,11/5/2013,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c C L White b D J G Sammy,1,6,7,464
16,14/05/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium,b M Muralitharan,1,2,4,466
17,16/05/2013,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,not out,0,44,24,510
18,18/05/2013,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,c N M Coulter-Nile b K A Pollard,1,6,5,516
19,18/04/2014,Chennai Super Kings,Sheikh Zayed Stadium,not out,0,54,37,570
20,20/04/2014,Rajasthan Royals,Sharjah Cricket Stadium,not out,0,51,19,621
21,22/04/2014,Sunrisers Hyderabad,Sharjah Cricket Stadium,c D A Warner b B Kumar,1,10,10,631
22,26/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,c M Morkel b P P Chawla,1,14,10,645
23,28/04/2014,Royal Challengers Bangalore,Dubai International Cricket Stadium,c †P A Patel b Y S Chahal,1,26,20,671
24,3/5/2014,Mumbai Indians,Wankhede Stadium,c Shivam Sharma b S L Malinga,1,16,12,687
25,7/5/2014,Chennai Super Kings,Barabati Stadium,b D R Smith,1,47,32,734
26,9/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Y S Chahal b V R Aaron,1,66,29,800
27,11/5/2014,Kolkata Knight Riders,Barabati Stadium,b U T Yadav,1,13,14,813
28,14/05/2014,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,24,24,837
29,19/05/2014,Delhi Capitals,Arun Jaitley Stadium,b J-P Duminy,1,2,6,839
30,23/05/2014,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,not out,0,29,20,868
31,25/05/2014,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,0,47,34,915
32,28/05/2014,Kolkata Knight Riders,Eden Gardens,b P P Chawla,1,8,12,923
33,30/05/2014,Chennai Super Kings,Wankhede Stadium,run out,1,38,19,961
34,1/6/2014,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,0,1,1,962
35,10/4/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium,c J P Faulkner b D S Kulkarni,1,23,21,985
36,12/4/2015,Mumbai Indians,Wankhede Stadium,c †A P Tare b S L Malinga,1,24,23,1009
37,15/04/2015,Delhi Capitals,Maharashtra Cricket Association Stadium,b J-P Duminy,1,5,7,1014
38,21/04/2015,Rajasthan Royals,Sardar Patel Stadium,c S T R Binny b D J Hooda,1,54,30,1068
39,25/04/2015,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b R A Jadeja,1,3,9,1071
40,27/04/2015,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c T A Boult b K V Sharma,1,15,14,1086
41,1/5/2015,Delhi Capitals,Arun Jaitley Stadium,c S S Tiwary b N M Coulter-Nile,1,42,41,1128
42,3/5/2015,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,c R G Sharma b S L Malinga,1,43,37,1171
43,6/5/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium,b S Aravind,1,7,10,1178
44,9/5/2015,Kolkata Knight Riders,Eden Gardens,not out,0,27,11,1205
45,11/5/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,89,44,1294
46,13/05/2015,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,st K D Karthik b Y S Chahal,1,14,4,1308
47,16/05/2015,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c R A Jadeja b P Negi,1,11,15,1319
48,11/4/2016,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,b D J J Bravo,1,15,10,1334
49,15/04/2016,Delhi Capitals,Arun Jaitley Stadium,lbw b A Mishra,1,9,9,1343
50,17/04/2016,Rising Pune Supergiant,Punjab Cricket Association IS Bindra Stadium,c K P Pietersen b M Ashwin,1,7,6,1350
51,19/04/2016,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c †R V Uthappa b Y K Pathan,1,6,6,1356
52,23/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †N V Ojha b M C Henriques,1,9,11,1365
53,25/04/2016,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,not out,0,30,17,1395
54,1/5/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,c D R Smith b D S Kulkarni,1,31,27,1426
55,4/5/2016,Kolkata Knight Riders,Eden Gardens,c sub b A D Russell,1,13,18,1439
56,7/5/2016,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,0,11,6,1450
57,9/5/2016,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,st K L Rahul b Y S Chahal,1,0,1,1450
58,15/05/2016,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,not out,0,20,9,1470
59,18/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A B de Villiers b S R Watson,1,3,6,1473
60,21/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b R Ashwin,1,7,5,1480
61,8/4/2017,Rising Pune Supergiant,Holkar Cricket Stadium,not out,0,20,27,1510
62,13/04/2017,Kolkata Knight Riders,Barabati Stadium,c M K Pandey b U T Yadav,1,28,19,1538
63,15/04/2017,Delhi Capitals,Arun Jaitley Stadium,lbw b C J Anderson,1,24,28,1562
64,17/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Rashid Khan,1,1,6,1563
65,8/4/2018,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,0,24,23,1587
66,23/04/2018,Delhi Capitals,Arun Jaitley Stadium,c L E Plunkett b D T Christian,1,26,19,1613
67,20/05/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,b D J J Bravo,1,24,22,1637
68,27/03/2019,Kolkata Knight Riders,Eden Gardens,not out,0,59,40,1696
69,30/03/2019,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,handled ball,1,15,10,1711
70,1/4/2019,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,c †R R Pant b C H Morris,1,43,30,1754
71,6/4/2019,Chennai Super Kings,MA Chidambaram Stadium,b D L Chahar,1,6,5,1760
72,8/4/2019,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c D J Hooda b Sandeep Sharma,1,1,3,1761
73,10/4/2019,Mumbai Indians,Wankhede Stadium,c †Q de Kock b H H Pandya,1,7,8,1768
74,16/04/2019,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c J C Buttler b D S Kulkarni,1,40,27,1808
75,20/04/2019,Delhi Capitals,Arun Jaitley Stadium,c P P Shaw b A R Patel,1,7,5,1815
76,24/04/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A B de Villiers b N A Saini,1,24,25,1839
77,29/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c V Shankar b Rashid Khan,1,11,11,1850
