Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,27/03/2010,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c B Lee b S J Srivastava,1,4,7,4
2,29/03/2010,Delhi Capitals,Arun Jaitley Stadium,st K D Karthik b A Mishra,1,0,4,4
3,8/5/2011,Pune Warriors,Punjab Cricket Association IS Bindra Stadium,c Yuvraj Singh b W D Parnell,1,6,11,10
4,10/5/2011,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,run out,1,8,5,18
5,13/05/2011,Kochi Tuskers Kerala,Holkar Cricket Stadium,not out,0,15,10,33
6,15/05/2011,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,b I K Pathan,1,11,7,44
7,21/05/2011,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,st K H Devdhar b A Mishra,1,7,8,51
8,6/4/2012,Rajasthan Royals,Sawai Mansingh Stadium,b A A Chavan,1,34,25,85
9,8/4/2012,Pune Warriors,Maharashtra Cricket Association Stadium,c †R V Uthappa b J D Ryder,1,24,23,109
10,12/4/2012,Pune Warriors,Punjab Cricket Association IS Bindra Stadium,c S P D Smith b R Sharma,1,10,10,119
11,15/04/2012,Kolkata Knight Riders,Eden Gardens,c R N ten Doeschate b Shakib Al Hasan,1,38,34,157
12,18/04/2012,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c R Bhatia b L Balaji,1,6,10,163
13,20/04/2012,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,c V Kohli b R Vinay Kumar,1,20,15,183
14,22/04/2012,Mumbai Indians,Wankhede Stadium,c J E C Franklin b K A Pollard,1,24,21,207
15,25/04/2012,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,c †K D Karthik b R P Singh,1,22,16,229
16,28/04/2012,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b D J J Bravo,1,56,50,285
17,2/5/2012,Royal Challengers Bangalore,M Chinnaswamy Stadium,lbw b K P Appanna,1,43,30,328
18,5/5/2012,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c S K Trivedi b S R Watson,1,7,6,335
19,8/5/2012,Deccan Chargers,Rajiv Gandhi International Stadium,b A A Ashish Reddy,1,75,48,410
20,13/05/2012,Deccan Chargers,Punjab Cricket Association IS Bindra Stadium,c D T Christian b M Gony,1,28,20,438
21,15/05/2012,Delhi Capitals,Arun Jaitley Stadium,c V Sehwag b V R Aaron,1,21,12,459
22,17/05/2012,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,b J A Morkel,1,24,21,483
23,19/05/2012,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,c †N V Ojha b U T Yadav,1,0,1,483
24,7/4/2013,Pune Warriors,Maharashtra Cricket Association Stadium,b R Sharma,1,31,26,514
25,10/4/2013,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c D J J Bravo b D P Nannes,1,9,10,523
26,14/04/2013,Rajasthan Royals,Sawai Mansingh Stadium,c S T R Binny b S Sreesanth,1,2,8,525
27,16/04/2013,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c †M S Bisla b J H Kallis,1,41,30,566
28,19/04/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †Q de Kock b I Sharma,1,10,11,576
29,21/04/2013,Pune Warriors,Punjab Cricket Association IS Bindra Stadium,not out,0,77,58,653
30,23/04/2013,Delhi Capitals,Arun Jaitley Stadium,run out,1,24,15,677
31,26/04/2013,Kolkata Knight Riders,Eden Gardens,c E J G Morgan b J H Kallis,1,25,20,702
32,29/04/2013,Mumbai Indians,Wankhede Stadium,b S L Malinga,1,9,8,711
33,2/5/2013,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b M M Sharma,1,15,15,726
34,6/5/2013,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,c †K B A Arun Karthik b R Vinay Kumar,1,16,12,742
35,9/5/2013,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c & b A Chandila,1,0,3,742
36,11/5/2013,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c C L White b D W Steyn,1,0,2,742
37,18/05/2013,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,c K A Pollard b R Dhawan,1,1,5,743
38,7/5/2014,Chennai Super Kings,Barabati Stadium,c I C Pandey b M M Sharma,1,3,8,746
39,9/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,c J A Morkel b H V Patel,1,21,15,767
40,11/5/2014,Kolkata Knight Riders,Barabati Stadium,c †R V Uthappa b M Morkel,1,0,3,767
41,11/4/2015,Kolkata Knight Riders,Eden Gardens,b Y K Pathan,1,6,3,773
42,13/04/2015,Sunrisers Hyderabad,M Chinnaswamy Stadium,c D A Warner b R S Bopara,1,0,1,773
43,29/04/2015,Rajasthan Royals,M Chinnaswamy Stadium,lbw b S T R Binny,1,27,20,800
44,2/5/2015,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,0,45,18,845
45,4/5/2015,Chennai Super Kings,MA Chidambaram Stadium,run out,1,0,0,845
46,13/05/2015,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c D A Miller b A R Patel,1,20,14,865
47,15/05/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c E J G Morgan b P Kumar,1,1,3,866
48,20/05/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium,not out,0,54,34,920
49,22/05/2015,Chennai Super Kings,JSCA International Stadium Complex,c M E K Hussey b R Ashwin,1,4,7,924
50,5/4/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Rashid Khan,1,24,16,948
51,8/4/2017,Delhi Capitals,M Chinnaswamy Stadium,b P J Cummins,1,12,10,960
52,10/4/2017,Kings XI Punjab,Holkar Cricket Stadium,c †W P Saha b V R Aaron,1,28,34,988
53,14/04/2017,Mumbai Indians,M Chinnaswamy Stadium,b M J McClenaghan,1,0,1,988
54,16/04/2017,Rising Pune Supergiant,M Chinnaswamy Stadium,c †M S Dhoni b S N Thakur,1,0,3,988
55,23/04/2017,Kolkata Knight Riders,Eden Gardens,c M K Pandey b U T Yadav,1,1,3,989
56,27/04/2017,Gujarat Lions,M Chinnaswamy Stadium,c R A Jadeja b A J Tye,1,8,14,997
57,1/5/2017,Mumbai Indians,Wankhede Stadium,c H H Pandya b K V Sharma,1,17,13,1014
58,5/5/2017,Kings XI Punjab,M Chinnaswamy Stadium,b G J Maxwell,1,46,40,1060
59,7/5/2017,Kolkata Knight Riders,M Chinnaswamy Stadium,c U T Yadav b S P Narine,1,52,43,1112
60,8/4/2018,Kolkata Knight Riders,Eden Gardens,c Kuldeep Yadav b R Vinay Kumar,1,37,18,1149
61,13/04/2018,Kings XI Punjab,M Chinnaswamy Stadium,run out,1,22,19,1171
62,15/04/2018,Rajasthan Royals,M Chinnaswamy Stadium,not out,0,47,25,1218
63,17/04/2018,Mumbai Indians,Wankhede Stadium,st Ishan Kishan b K H Pandya,1,16,14,1234
64,21/04/2018,Delhi Capitals,M Chinnaswamy Stadium,not out,0,17,9,1251
65,25/04/2018,Chennai Super Kings,M Chinnaswamy Stadium,c R A Jadeja b S N Thakur,1,32,17,1283
66,29/04/2018,Kolkata Knight Riders,M Chinnaswamy Stadium,c Shivam Mavi b A D Russell,1,19,14,1302
67,1/5/2018,Mumbai Indians,M Chinnaswamy Stadium,c S A Yadav b H H Pandya,1,14,10,1316
68,5/5/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,c D J Willey b R A Jadeja,1,7,13,1323
69,7/5/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,21,23,1344
70,12/5/2018,Delhi Capitals,Arun Jaitley Stadium,b T A Boult,1,13,14,1357
71,17/05/2018,Sunrisers Hyderabad,M Chinnaswamy Stadium,c S Dhawan b S Kaul,1,4,6,1361
72,18/05/2018,Rajasthan Royals,Sawai Mansingh Stadium,st H Klaasen b S Gopal,1,3,4,1364
73,25/03/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,5,2,1369
74,27/03/2019,Kolkata Knight Riders,Eden Gardens,not out,0,33,15,1402
75,1/4/2019,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,0,29,21,1431
76,6/4/2019,Chennai Super Kings,MA Chidambaram Stadium,not out,0,1,1,1432
77,8/4/2019,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c D J Hooda b S Kaul,1,2,3,1434
78,10/4/2019,Mumbai Indians,Wankhede Stadium,not out,0,7,3,1441
79,13/04/2019,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,not out,0,18,16,1459
80,16/04/2019,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,b J C Archer,1,0,2,1459
81,20/04/2019,Delhi Capitals,Arun Jaitley Stadium,st R R Pant b A R Patel,1,30,27,1489
82,24/04/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,4,4,1493
83,3/5/2019,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c R V Uthappa b H F Gurney,1,25,17,1518
84,5/5/2019,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,not out,0,11,9,1529
