Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,19/04/2009,Deccan Chargers,Newlands,c R G Sharma b S B Styris,1,6,8,6
3,5/5/2009,Delhi Capitals,Kingsmead,not out,0,30,24,36
4,10/5/2009,Delhi Capitals,Wanderers Stadium,st K D Karthik b A Mishra,1,2,8,38
5,21/03/2010,Deccan Chargers,Barabati Stadium,c R P Singh b A Symonds,1,11,5,49
6,7/4/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c C L White b I Sharma,1,44,40,93
7,9/4/2013,Sunrisers Hyderabad,M Chinnaswamy Stadium,not out,0,7,9,100
9,29/04/2013,Rajasthan Royals,Sawai Mansingh Stadium,run out,1,22,19,122
10,2/5/2013,Pune Warriors,Maharashtra Cricket Association Stadium,not out,0,27,13,149
11,6/5/2013,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,16,7,165
12,10/5/2013,Delhi Capitals,Arun Jaitley Stadium,c & b S Nadeem,1,26,22,191
13,12/5/2013,Kolkata Knight Riders,JSCA International Stadium Complex,c M K Tiwary b J H Kallis,1,11,11,202
14,14/05/2013,Kings XI Punjab,M Chinnaswamy Stadium,not out,0,0,1,202
15,18/05/2013,Chennai Super Kings,M Chinnaswamy Stadium,not out,0,12,3,214
16,8/5/2014,Rajasthan Royals,Sardar Patel Stadium,c A M Rahane b S R Watson,1,9,13,223
19,14/05/2014,Kings XI Punjab,Rajiv Gandhi International Stadium,c D A Miller b Sandeep Sharma,1,0,1,223
20,22/04/2015,Kolkata Knight Riders,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,7,5,230
21,27/04/2015,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b Sandeep Sharma,1,30,32,260
22,2/5/2015,Chennai Super Kings,Rajiv Gandhi International Stadium,st M S Dhoni b P Negi,1,19,9,279
23,4/5/2015,Kolkata Knight Riders,Eden Gardens,c M K Pandey b G B Hogg,1,41,33,320
24,7/5/2015,Rajasthan Royals,Brabourne Stadium,b P V Tambe,1,20,21,340
25,9/5/2015,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,not out,0,74,46,414
26,11/5/2015,Kings XI Punjab,Rajiv Gandhi International Stadium,c Anureet Singh b Gurkeerat Singh,1,28,24,442
27,15/05/2015,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,c †K D Karthik b D Wiese,1,57,22,499
28,17/05/2015,Mumbai Indians,Rajiv Gandhi International Stadium,st P A Patel b J Suchith,1,11,19,510
29,12/4/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Parvez Rasool b A F Milne,1,19,23,529
30,16/04/2016,Kolkata Knight Riders,Rajiv Gandhi International Stadium,lbw b U T Yadav,1,6,9,535
31,18/04/2016,Mumbai Indians,Rajiv Gandhi International Stadium,c †P A Patel b T G Southee,1,20,22,555
33,23/04/2016,Kings XI Punjab,Rajiv Gandhi International Stadium,not out,0,5,4,560
34,26/04/2016,Rising Pune Supergiant,Rajiv Gandhi International Stadium,c †M S Dhoni b M R Marsh,1,1,4,561
35,30/04/2016,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,not out,0,31,14,592
36,6/5/2016,Gujarat Lions,Rajiv Gandhi International Stadium,c †K D Karthik b D J J Bravo,1,14,16,606
37,8/5/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,1,2,607
38,10/5/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,c R Bhatia b A Zampa,1,10,8,617
39,12/5/2016,Delhi Capitals,Rajiv Gandhi International Stadium,lbw b Mohammed Shami,1,0,1,617
41,20/05/2016,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,c P Negi b J-P Duminy,1,18,13,635
42,22/05/2016,Kolkata Knight Riders,Eden Gardens,b S P Narine,1,11,10,646
43,25/05/2016,Kolkata Knight Riders,Arun Jaitley Stadium,c & b Kuldeep Yadav,1,31,21,677
44,27/05/2016,Gujarat Lions,Arun Jaitley Stadium,c E R Dwivedi b D R Smith,1,11,6,688
45,29/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Y S Chahal b C J Jordan,1,4,5,692
46,5/4/2017,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,c Sachin Baby b Y S Chahal,1,52,37,744
47,9/4/2017,Gujarat Lions,Rajiv Gandhi International Stadium,not out,0,52,39,796
48,15/04/2017,Kolkata Knight Riders,Eden Gardens,c & b C R Woakes,1,13,10,809
49,17/04/2017,Kings XI Punjab,Rajiv Gandhi International Stadium,st W P Saha b A R Patel,1,9,16,818
50,19/04/2017,Delhi Capitals,Rajiv Gandhi International Stadium,not out,0,12,6,830
51,22/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,not out,0,55,28,885
52,28/04/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,7,6,892
54,2/5/2017,Delhi Capitals,Arun Jaitley Stadium,not out,0,25,18,917
55,6/5/2017,Rising Pune Supergiant,Rajiv Gandhi International Stadium,b Imran Tahir,1,4,6,921
56,8/5/2017,Mumbai Indians,Rajiv Gandhi International Stadium,c R G Sharma b J J Bumrah,1,44,35,965
57,13/05/2017,Gujarat Lions,Green Park,c †K D Karthik b P Kumar,1,4,2,969
