Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,22/04/2015,Chennai Super Kings,M Chinnaswamy Stadium,c M M Sharma b R A Jadeja,1,11,7,11
2,29/04/2015,Rajasthan Royals,M Chinnaswamy Stadium,not out,0,45,21,56
3,4/5/2015,Chennai Super Kings,MA Chidambaram Stadium,c D R Smith b A Nehra,1,8,8,64
4,6/5/2015,Kings XI Punjab,M Chinnaswamy Stadium,not out,0,11,7,75
5,13/05/2015,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c B E Hendricks b Anureet Singh,1,4,6,79
6,15/05/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,0,0,79
7,20/05/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium,not out,0,1,1,80
8,22/05/2015,Chennai Super Kings,JSCA International Stadium Complex,c P Negi b D J J Bravo,1,31,21,111
9,12/4/2016,Sunrisers Hyderabad,M Chinnaswamy Stadium,not out,0,35,10,146
10,17/04/2016,Delhi Capitals,M Chinnaswamy Stadium,run out,1,1,2,147
11,20/04/2016,Mumbai Indians,Barabati Stadium,c K H Pandya b J J Bumrah,1,28,18,175
12,22/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,not out,0,2,1,177
13,8/4/2018,Kolkata Knight Riders,Eden Gardens,c R K Singh b M G Johnson,1,6,10,183
14,13/04/2018,Kings XI Punjab,M Chinnaswamy Stadium,c K K Nair b R Ashwin,1,0,1,183
15,17/04/2018,Mumbai Indians,Wankhede Stadium,st sub b M Markande,1,5,6,188
16,12/5/2018,Delhi Capitals,Arun Jaitley Stadium,c P P Shaw b H V Patel,1,11,8,199
17,17/05/2018,Sunrisers Hyderabad,M Chinnaswamy Stadium,not out,0,22,8,221
18,18/05/2018,Rajasthan Royals,Sawai Mansingh Stadium,c †H Klaasen b B Laughlin,1,7,8,228
19,25/03/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,46,29,274
20,27/03/2019,Kolkata Knight Riders,Eden Gardens,c †K D Karthik b A D Russell,1,13,13,287
21,1/4/2019,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,c †R R Pant b S Lamichhane,1,39,29,326
22,6/4/2019,Chennai Super Kings,MA Chidambaram Stadium,c F du Plessis b S C Kuggeleijn,1,67,59,393
23,13/04/2019,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,c †P A Patel b Mohammed Siraj,1,15,13,408
