Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,19/04/2009,Deccan Chargers,Newlands,Yes,c Harmeet Singh b R P Singh,1,10,12,83.33,,10,10,83.33
2,21/04/2009,Kings XI Punjab,Kingsmead,No,not out,0,44,26,169.23,,54,54,142.11
3,23/04/2009,Rajasthan Royals,Newlands,Yes,c R A Jadeja b S K Warne,1,41,33,124.24,,95,47.5,133.8
4,27/04/2009,Mumbai Indians,St George's Park,Yes,c S R Tendulkar b D J J Bravo,1,12,11,109.09,,107,35.67,130.49
5,29/04/2009,Royal Challengers Bangalore,Kingsmead,No,c S P Goswami b K P Appanna,1,40,37,108.11,,147,36.75,123.53
6,1/5/2009,Mumbai Indians,Buffalo Park,No,b Z Khan,1,7,7,100,,154,30.8,122.22
7,3/5/2009,Kings XI Punjab,St George's Park,No,c Yuvraj Singh b Y A Abdulla,1,17,17,100,,171,28.5,119.58
8,22/03/2010,Mumbai Indians,Brabourne Stadium,Yes,lbw b Z Khan,1,75,60,125,,246,35.14,121.18
9,27/03/2010,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c M S Bisla b S J Srivastava,1,14,12,116.67,,260,32.5,120.93
10,29/03/2010,Delhi Capitals,Arun Jaitley Stadium,Yes,c A Mishra b R Bhatia,1,30,21,142.86,,290,32.22,122.88
11,1/4/2010,Deccan Chargers,Eden Gardens,Yes,c K A J Roach b A Symonds,1,4,7,57.14,,294,29.4,120.99
12,4/4/2010,Kings XI Punjab,Eden Gardens,Yes,c R S Bopara b J Theron,1,88,42,209.52,,382,34.73,134.04
13,7/4/2010,Delhi Capitals,Eden Gardens,Yes,b R Bhatia,1,40,21,190.48,,422,35.17,137.91
14,10/4/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c R Dravid b J H Kallis,1,34,15,226.67,,456,35.08,142.06
15,13/04/2010,Chennai Super Kings,MA Chidambaram Stadium,Yes,st M S Dhoni b R Ashwin,1,7,4,175,,463,33.07,142.46
16,17/04/2010,Rajasthan Royals,Eden Gardens,Yes,b Kamran Khan,1,0,2,0,,463,30.87,141.59
17,22/04/2011,Kolkata Knight Riders,Barabati Stadium,Yes,not out,0,102,55,185.45,,565,37.67,147.91
18,26/04/2011,Delhi Capitals,Arun Jaitley Stadium,Yes,c Y Venugopal Rao b J R Hopes,1,26,14,185.71,,591,36.94,149.24
19,29/04/2011,Pune Warriors,M Chinnaswamy Stadium,Yes,lbw b R Sharma,1,49,26,188.46,,640,37.65,151.66
20,6/5/2011,Kings XI Punjab,M Chinnaswamy Stadium,Yes,c R J Harris b P P Chawla,1,107,49,218.37,,747,41.5,158.6
21,8/5/2011,Kochi Tuskers Kerala,M Chinnaswamy Stadium,Yes,b R Vinay Kumar,1,44,16,275,,791,41.63,162.42
22,11/5/2011,Rajasthan Royals,Sawai Mansingh Stadium,Yes,not out,0,70,44,159.09,,861,45.32,162.15
23,14/05/2011,Kolkata Knight Riders,M Chinnaswamy Stadium,Yes,c J H Kallis b B Lee,1,38,12,316.67,,899,44.95,165.56
24,17/05/2011,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Yes,c †A C Gilchrist b R J Harris,1,0,7,0,,899,42.81,163.45
