Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,TotalRuns,Avg,S/R
1,9/4/2011,Kochi Tuskers Kerala,Nehru Stadium (Kochi),Yes,c R Vinay Kumar b R A Jadeja,1,33,24,33,33,137.5
2,12/4/2011,Mumbai Indians,M Chinnaswamy Stadium,Yes,b S L Malinga,1,0,1,33,16.5,132
3,14/04/2011,Deccan Chargers,Rajiv Gandhi International Stadium,Yes,c A Mishra b M Gony,1,16,13,49,16.33,128.95
4,16/04/2011,Chennai Super Kings,MA Chidambaram Stadium,Yes,c J A Morkel b R Ashwin,1,7,13,56,14,109.8
5,24/05/2011,Chennai Super Kings,Wankhede Stadium,Yes,c D E Bollinger b D J J Bravo,1,34,33,90,18,107.14
6,27/05/2011,Mumbai Indians,MA Chidambaram Stadium,Yes,c R G Sharma b K A Pollard,1,41,31,131,21.83,113.91
7,28/05/2011,Chennai Super Kings,MA Chidambaram Stadium,Yes,b R Ashwin,1,10,5,141,20.14,117.5
8,7/4/2012,Delhi Capitals,M Chinnaswamy Stadium,Yes,c Y Nagar b S Nadeem,1,16,15,157,19.63,116.3
9,10/4/2012,Kolkata Knight Riders,M Chinnaswamy Stadium,Yes,c G Gambhir b L Balaji,1,5,6,162,18,114.89
10,12/4/2012,Chennai Super Kings,MA Chidambaram Stadium,Yes,c D J J Bravo b J A Morkel,1,45,26,207,20.7,123.95
11,15/04/2012,Rajasthan Royals,M Chinnaswamy Stadium,Yes,c O A Shah b Pankaj Singh,1,34,21,241,21.91,128.19
12,17/04/2012,Pune Warriors,M Chinnaswamy Stadium,Yes,c M Manhas b M N Samuels,1,9,10,250,20.83,126.26
13,20/04/2012,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,lbw b P Awana,1,1,3,251,19.31,124.88
14,23/04/2012,Rajasthan Royals,Sawai Mansingh Stadium,Yes,c B J Hodge b G B Hogg,1,15,17,266,19,122.02
15,28/04/2012,Kolkata Knight Riders,Eden Gardens,Yes,b S P Narine,1,10,13,276,18.4,119.48
16,2/5/2012,Kings XI Punjab,M Chinnaswamy Stadium,Yes,b R J Harris,1,7,9,283,17.69,117.92
17,6/5/2012,Deccan Chargers,M Chinnaswamy Stadium,Yes,lbw b A A Ashish Reddy,1,18,6,301,17.71,122.36
18,14/05/2012,Mumbai Indians,M Chinnaswamy Stadium,Yes,not out,0,64,30,365,21.47,132.25
19,20/05/2012,Deccan Chargers,Rajiv Gandhi International Stadium,Yes,b A Mishra,1,1,2,366,20.33,131.65
20,4/4/2013,Mumbai Indians,M Chinnaswamy Stadium,Yes,c S R Tendulkar b J J Bumrah,1,1,5,367,19.32,129.68
21,7/4/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,c Ankit Sharma b D W Steyn,1,7,8,374,18.7,128.52
22,9/4/2013,Sunrisers Hyderabad,M Chinnaswamy Stadium,Yes,c K C Sangakkara b N L T C Perera,1,29,20,403,19.19,129.58
23,11/4/2013,Kolkata Knight Riders,M Chinnaswamy Stadium,Yes,c †M S Bisla b R McLaren,1,6,8,409,18.59,128.21
24,13/04/2013,Chennai Super Kings,MA Chidambaram Stadium,Yes,st M S Dhoni b R Ashwin,1,24,21,433,18.83,127.35
25,17/04/2014,Royal Challengers Bangalore,Sharjah Cricket Stadium,No,c V Kohli b M A Starc,1,6,10,439,18.29,125.43
26,19/04/2014,Kolkata Knight Riders,Dubai International Cricket Stadium,Yes,c P P Chawla b M Morkel,1,26,14,465,18.6,127.75
27,21/04/2014,Chennai Super Kings,Sheikh Zayed Stadium,Yes,c S K Raina b I C Pandey,1,2,7,467,17.96,125.88
28,10/5/2014,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,c D A Warner b A Mishra,1,25,18,492,18.22,126.48
29,13/05/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c S Rana b A N Ahmed,1,31,25,523,18.68,126.33
30,15/05/2014,Rajasthan Royals,Sardar Patel Stadium,Yes,c S P D Smith b J P Faulkner,1,17,10,540,18.62,127.36
31,19/05/2014,Kings XI Punjab,Arun Jaitley Stadium,Yes,b Sandeep Sharma,1,6,2,546,18.2,128.17
32,25/05/2014,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c V Sehwag b M G Johnson,1,2,5,548,17.68,127.15
33,9/4/2015,Chennai Super Kings,MA Chidambaram Stadium,Yes,c †M S Dhoni b A Nehra,1,15,12,563,17.59,127.09
34,12/4/2015,Rajasthan Royals,Arun Jaitley Stadium,Yes,c & b P V Tambe,1,37,21,600,18.18,129.31
35,15/04/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,b Anureet Singh,1,68,48,668,19.65,130.47
36,18/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c S Dhawan b B Kumar,1,1,3,669,19.11,129.9
37,20/04/2015,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,c U T Yadav b M Morkel,1,1,8,670,18.61,128.11
38,23/04/2015,Mumbai Indians,Arun Jaitley Stadium,Yes,c A T Rayudu b M J McClenaghan,1,1,2,671,18.14,127.81
39,26/04/2015,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,st K D Karthik b Iqbal Abdulla,1,27,34,698,18.37,124.87
40,1/5/2015,Kings XI Punjab,Arun Jaitley Stadium,Yes,not out,0,52,40,750,19.74,125.21
41,3/5/2015,Rajasthan Royals,Brabourne Stadium,Yes,b S T R Binny,1,11,8,761,19.51,125.37
42,5/5/2015,Mumbai Indians,Wankhede Stadium,Yes,c †P A Patel b S L Malinga,1,0,1,761,19.03,125.16
43,10/4/2016,Kolkata Knight Riders,Eden Gardens,Yes,c G B Hogg b A D Russell,1,9,11,770,18.78,124.39
