Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,4/4/2013,Mumbai Indians,M Chinnaswamy Stadium,Yes,lbw b J J Bumrah,1,0,3,0,,0,0,0
2,7/4/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,lbw b A Mishra,1,9,9,100,,9,4.5,75
3,26/04/2014,Royal Challengers Bangalore,Sheikh Zayed Stadium,No,c †P A Patel b M A Starc,1,8,12,66.67,,17,5.67,70.83
4,29/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,Yes,b R Vinay Kumar,1,1,5,20,,18,4.5,62.07
5,3/5/2014,Delhi Capitals,Arun Jaitley Stadium,Yes,not out,0,73,50,146,,91,22.75,115.19
6,5/5/2014,Kolkata Knight Riders,Sardar Patel Stadium,Yes,st R V Uthappa b Shakib Al Hasan,1,44,35,125.71,,135,27,118.42
7,8/5/2014,Sunrisers Hyderabad,Sardar Patel Stadium,Yes,c †N V Ojha b D W Steyn,1,12,9,133.33,,147,24.5,119.51
8,11/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b Yuvraj Singh,1,56,39,143.59,,203,29,125.31
9,13/05/2014,Chennai Super Kings,JSCA International Stadium Complex,No,b S Badree,1,8,11,72.73,,211,26.38,121.97
10,15/05/2014,Delhi Capitals,Sardar Patel Stadium,Yes,lbw b S Nadeem,1,19,14,135.71,,230,25.56,122.99
11,19/05/2014,Mumbai Indians,Sardar Patel Stadium,Yes,c K Santokie b Harbhajan Singh,1,48,24,200,,278,27.8,131.75
12,23/05/2014,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c G J Bailey b L Balaji,1,11,6,183.33,,289,26.27,133.18
13,25/05/2014,Mumbai Indians,Wankhede Stadium,Yes,c L M P Simmons b J J Bumrah,1,50,27,185.19,,339,28.25,138.93
14,10/4/2015,Kings XI Punjab,Maharashtra Cricket Association Stadium,Yes,b A R Patel,1,8,11,72.73,,347,26.69,136.08
15,12/4/2015,Delhi Capitals,Arun Jaitley Stadium,Yes,st K M Jadhav b A Mishra,1,20,12,166.67,,367,26.21,137.45
16,16/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c & b R S Bopara,1,1,5,20,,368,24.53,135.29
17,19/04/2015,Chennai Super Kings,Sardar Patel Stadium,Yes,not out,0,1,1,100,,369,24.6,135.16
18,21/04/2015,Kings XI Punjab,Sardar Patel Stadium,No,c A R Patel b Anureet Singh,1,25,13,192.31,,394,24.63,137.76
19,24/04/2015,Royal Challengers Bangalore,Sardar Patel Stadium,Yes,run out,1,16,14,114.29,,410,24.12,136.67
20,1/5/2015,Mumbai Indians,Wankhede Stadium,Yes,c †P A Patel b M J McClenaghan,1,7,6,116.67,,417,23.17,136.27
21,3/5/2015,Delhi Capitals,Brabourne Stadium,Yes,c A Mishra b N M Coulter-Nile,1,61,38,160.53,,478,25.16,138.95
22,7/5/2015,Sunrisers Hyderabad,Brabourne Stadium,Yes,c †N V Ojha b M C Henriques,1,4,10,40,,482,24.1,136.16
23,10/5/2015,Chennai Super Kings,MA Chidambaram Stadium,Yes,c R Ashwin b R A Jadeja,1,10,12,83.33,,492,23.43,134.43
24,16/05/2015,Kolkata Knight Riders,Brabourne Stadium,Yes,c †R V Uthappa b U T Yadav,1,16,10,160,,508,23.09,135.11
25,20/05/2015,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Yes,c †K D Karthik b H V Patel,1,12,13,92.31,,520,22.61,133.68
26,10/4/2016,Kolkata Knight Riders,Eden Gardens,Yes,c M K Pandey b J W Hastings,1,3,8,37.5,,523,21.79,131.74
27,17/04/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,not out,0,54,42,128.57,,577,24.04,131.44
28,23/04/2016,Mumbai Indians,Arun Jaitley Stadium,Yes,c T G Southee b Harbhajan Singh,1,5,5,100,,582,23.28,131.08
29,27/04/2016,Gujarat Lions,Arun Jaitley Stadium,Yes,c P V Tambe b D S Kulkarni,1,9,7,128.57,,591,22.73,131.04
30,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,lbw b U T Yadav,1,68,50,136,,659,24.41,131.54
31,5/5/2016,Rising Pune Supergiant,Arun Jaitley Stadium,Yes,c N L T C Perera b R Bhatia,1,32,23,139.13,,691,24.68,131.87
32,7/5/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,c D A Miller b K C Cariappa,1,23,25,92,,714,24.62,130.05
33,12/5/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,b M C Henriques,1,20,17,117.65,,734,24.47,129.68
34,15/05/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,c J J Bumrah b Harbhajan Singh,1,8,8,100,,742,23.94,129.27
35,17/05/2016,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,Yes,lbw b A Zampa,1,41,43,95.35,,783,24.47,126.9
36,20/05/2016,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,Yes,not out,0,83,59,140.68,,866,27.06,128.11
37,22/05/2016,Royal Challengers Bangalore,Shaheed Veer Narayan Sing International Stadium,Yes,c V Kohli b Y S Chahal,1,11,10,110,,877,26.58,127.84
38,8/4/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b B Stanlake,1,4,3,133.33,,881,25.91,127.87
39,15/04/2017,Kings XI Punjab,Arun Jaitley Stadium,Yes,c †W P Saha b V R Aaron,1,0,3,0,,881,25.17,127.31
40,17/04/2017,Kolkata Knight Riders,Arun Jaitley Stadium,Yes,b N M Coulter-Nile,1,21,27,77.78,,902,25.06,125.45
41,19/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,No,run out,1,33,23,143.48,,935,25.27,126.01
42,22/04/2017,Mumbai Indians,Wankhede Stadium,Yes,b H H Pandya,1,5,15,33.33,,940,24.74,124.17
43,28/04/2017,Kolkata Knight Riders,Eden Gardens,Yes,b S P Narine,1,15,17,88.24,,955,24.49,123.39
44,30/04/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,b A R Patel,1,11,10,110,,966,24.15,123.21
45,2/5/2017,Sunrisers Hyderabad,Arun Jaitley Stadium,Yes,c B Kumar b S Kaul,1,39,20,195,,1005,24.51,125
46,4/5/2017,Gujarat Lions,Arun Jaitley Stadium,Yes,c †K D Karthik b P J Sangwan,1,12,11,109.09,,1017,24.21,124.79
47,6/5/2017,Mumbai Indians,Barabati Stadium,Yes,c R G Sharma b Harbhajan Singh,1,21,15,140,,1038,24.14,125.06
48,10/5/2017,Gujarat Lions,Green Park,Yes,c D R Smith b J P Faulkner,1,30,15,200,,1068,24.27,126.39
49,12/5/2017,Rising Pune Supergiant,Arun Jaitley Stadium,Yes,c J D Unadkat b B A Stokes,1,64,45,142.22,,1132,25.16,127.19
50,14/05/2017,Royal Challengers Bangalore,Arun Jaitley Stadium,Yes,c K M Jadhav b S R Watson,1,26,22,118.18,,1158,25.17,126.97
51,8/4/2018,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Yes,c T A Boult b D T Christian,1,50,33,151.52,,1208,25.7,127.83
52,13/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,b K Khejroliya,1,29,26,111.54,,1237,25.77,127.39
53,15/04/2018,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Yes,c R A Jadeja b D J J Bravo,1,29,17,170.59,,1266,25.84,128.14
54,19/04/2018,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Yes,c S Dhawan b B Kumar,1,31,21,147.62,,1297,25.94,128.54
55,23/04/2018,Delhi Capitals,Arun Jaitley Stadium,Yes,c S S Iyer b L E Plunkett,1,34,32,106.25,,1331,26.1,127.86
56,26/04/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Yes,lbw b Rashid Khan,1,13,17,76.47,,1344,25.85,127.03
57,4/5/2018,Mumbai Indians,Holkar Cricket Stadium,Yes,c H H Pandya b M J McClenaghan,1,23,12,191.67,,1367,25.79,127.76
58,6/5/2018,Rajasthan Royals,Holkar Cricket Stadium,Yes,b Anureet Singh,1,31,23,134.78,,1398,25.89,127.9
59,8/5/2018,Rajasthan Royals,Sawai Mansingh Stadium,Yes,c J D Unadkat b J C Archer,1,3,5,60,,1401,25.47,127.6
60,12/5/2018,Kolkata Knight Riders,Holkar Cricket Stadium,Yes,c M Prasidh Krishna b A D Russell,1,3,6,50,,1404,25.07,127.17
61,14/05/2018,Royal Challengers Bangalore,Holkar Cricket Stadium,Yes,c V Kohli b Mohammed Siraj,1,1,3,33.33,,1405,24.65,126.92
62,20/05/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,Yes,c D L Chahar b D J J Bravo,1,54,26,207.69,,1459,25.16,128.77
63,10/4/2019,Mumbai Indians,Wankhede Stadium,Yes,c R D Chahar b H H Pandya,1,5,6,83.33,,1464,24.81,128.53
