Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,15/05/2014,Delhi Capitals,Sardar Patel Stadium,run out,1,8,6,8
2,15/05/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,18,11,26
3,25/05/2016,Kolkata Knight Riders,Arun Jaitley Stadium,st R V Uthappa b Kuldeep Yadav,1,0,1,26
4,27/05/2016,Gujarat Lions,Arun Jaitley Stadium,c †K D Karthik b S Kaushik,1,8,7,34
5,29/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,39,15,73
6,5/4/2017,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,not out,0,16,6,89
7,12/4/2017,Mumbai Indians,Wankhede Stadium,b J J Bumrah,1,20,10,109
8,15/04/2017,Kolkata Knight Riders,Eden Gardens,c C de Grandhomme b T A Boult,1,15,10,124
9,12/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Rashid Khan,1,9,9,133
10,1/5/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,12,6,145
11,9/5/2018,Kolkata Knight Riders,Eden Gardens,c A D Russell b P P Chawla,1,24,9,169
12,13/05/2018,Rajasthan Royals,Wankhede Stadium,not out,0,10,7,179
13,16/05/2018,Kings XI Punjab,Wankhede Stadium,c A R Patel b R Ashwin,1,4,7,183
14,20/05/2018,Delhi Capitals,Arun Jaitley Stadium,c G J Maxwell b H V Patel,1,37,20,220
15,24/03/2019,Delhi Capitals,Wankhede Stadium,c †R R Pant b K Rabada,1,3,4,223
16,18/04/2019,Delhi Capitals,Arun Jaitley Stadium,lbw b A R Patel,1,2,4,225
17,20/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,13,9,238
