Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,17/03/2010,Delhi Capitals,Arun Jaitley Stadium,st K D Karthik b S Ladda,1,10,8,10
2,20/03/2010,Royal Challengers Bangalore,Barabati Stadium,c V Kohli b D W Steyn,1,21,19,31
3,22/03/2010,Kolkata Knight Riders,Brabourne Stadium,lbw b I Sharma,1,7,7,38
4,25/03/2010,Chennai Super Kings,Brabourne Stadium,b M Muralitharan,1,20,9,58
5,28/03/2010,Deccan Chargers,Dr DY Patil Sports Academy,c T L Suman b Jaskaran Singh,1,1,5,59
6,30/03/2010,Kings XI Punjab,Brabourne Stadium,c R S Bopara b I K Pathan,1,20,13,79
7,3/4/2010,Deccan Chargers,Brabourne Stadium,c A Symonds b R J Harris,1,21,10,100
8,6/4/2010,Chennai Super Kings,MA Chidambaram Stadium,c M Vijay b R Ashwin,1,5,6,105
9,9/4/2010,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b I K Pathan,1,18,14,123
10,11/4/2010,Rajasthan Royals,Sawai Mansingh Stadium,b A P Dole,1,25,13,148
11,13/04/2010,Delhi Capitals,Brabourne Stadium,not out,0,45,13,193
12,17/04/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,lbw b A Kumble,1,20,7,213
13,21/04/2010,Royal Challengers Bangalore,Dr DY Patil Sports Academy,not out,0,33,13,246
14,25/04/2010,Chennai Super Kings,Dr DY Patil Sports Academy,c M L Hayden b J A Morkel,1,27,10,273
15,15/04/2011,Kochi Tuskers Kerala,Barabati Stadium,not out,0,0,0,273
16,22/04/2011,Chennai Super Kings,Wankhede Stadium,not out,0,0,2,273
17,24/04/2011,Deccan Chargers,Rajiv Gandhi International Stadium,c †K C Sangakkara b P P Ojha,1,0,1,273
18,29/04/2011,Rajasthan Royals,Sawai Mansingh Stadium,lbw b J Botha,1,4,15,277
19,2/5/2011,Kings XI Punjab,Wankhede Stadium,c P C Valthaty b P P Chawla,1,20,11,297
20,4/5/2011,Pune Warriors,Dr DY Patil Sports Academy,c Yuvraj Singh b J E Taylor,1,28,21,325
21,7/5/2011,Delhi Capitals,Wankhede Stadium,not out,0,9,8,334
22,10/5/2011,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c S E Marsh b B A Bhatt,1,17,11,351
23,14/05/2011,Deccan Chargers,Wankhede Stadium,c M J Lumb b Anand Rajan,1,24,13,375
24,20/05/2011,Rajasthan Royals,Wankhede Stadium,b S R Watson,1,20,18,395
25,22/05/2011,Kolkata Knight Riders,Eden Gardens,b L Balaji,1,18,22,413
26,25/05/2011,Kolkata Knight Riders,Wankhede Stadium,lbw b Shakib Al Hasan,1,3,5,416
27,27/05/2011,Royal Challengers Bangalore,MA Chidambaram Stadium,c A Mithun b D L Vettori,1,3,6,419
28,6/4/2012,Pune Warriors,Wankhede Stadium,b R Sharma,1,8,11,427
29,9/4/2012,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,c S Dhawan b D T Christian,1,24,18,451
30,11/4/2012,Rajasthan Royals,Wankhede Stadium,c A M Rahane b A A Chavan,1,64,33,515
31,16/04/2012,Delhi Capitals,Wankhede Stadium,c L R P L Taylor b U T Yadav,1,1,3,516
32,22/04/2012,Kings XI Punjab,Wankhede Stadium,c Mandeep Singh b P Awana,1,7,10,523
33,25/04/2012,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c Mandeep Singh b P Awana,1,3,7,526
34,27/04/2012,Delhi Capitals,Arun Jaitley Stadium,b S Nadeem,1,16,9,542
