Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,16/04/2016,Gujarat Lions,Wankhede Stadium,not out,0,20,11,20
2,18/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,49,28,69
3,23/04/2016,Delhi Capitals,Arun Jaitley Stadium,run out,1,36,17,105
4,25/04/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,0,0,105
5,28/04/2016,Kolkata Knight Riders,Wankhede Stadium,b S P Narine,1,6,5,111
6,8/5/2016,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c S Dhawan b B B Sran,1,17,11,128
7,13/05/2016,Kings XI Punjab,Dr YS Rajasekhara Reddy Cricket Stadium,c A R Patel b M P Stoinis,1,19,12,147
8,15/05/2016,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,b C H Morris,1,86,37,233
9,21/05/2016,Gujarat Lions,Green Park,c A J Finch b D R Smith,1,4,3,237
10,6/4/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c †M S Dhoni b R Bhatia,1,3,5,240
11,9/4/2017,Kolkata Knight Riders,Wankhede Stadium,c †R V Uthappa b A S Rajpoot,1,11,6,251
12,12/4/2017,Sunrisers Hyderabad,Wankhede Stadium,c B C J Cutting b B Kumar,1,37,20,288
13,14/04/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,0,37,30,325
14,22/04/2017,Delhi Capitals,Wankhede Stadium,c †R R Pant b A Mishra,1,17,16,342
15,29/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,run out,1,29,20,371
16,1/5/2017,Royal Challengers Bangalore,Wankhede Stadium,retired hurt,0,2,2,373
17,13/05/2017,Kolkata Knight Riders,Eden Gardens,not out,0,0,1,373
18,16/05/2017,Rising Pune Supergiant,Wankhede Stadium,c D T Christian b S N Thakur,1,15,11,388
19,19/05/2017,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,0,45,30,433
20,21/05/2017,Rising Pune Supergiant,Rajiv Gandhi International Stadium,c A M Rahane b D T Christian,1,47,38,480
21,7/4/2018,Chennai Super Kings,Wankhede Stadium,not out,0,41,22,521
22,12/4/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c K S Williamson b Shakib Al Hasan,1,15,10,536
23,14/04/2018,Delhi Capitals,Wankhede Stadium,c R Tewatia b Mohammed Shami,1,11,10,547
24,17/04/2018,Royal Challengers Bangalore,Wankhede Stadium,run out,1,15,12,562
25,22/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,c H Klaasen b J C Archer,1,7,6,569
26,24/04/2018,Sunrisers Hyderabad,Wankhede Stadium,lbw b Rashid Khan,1,24,20,593
27,1/5/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Mandeep Singh b Mohammed Siraj,1,23,19,616
28,4/5/2018,Kings XI Punjab,Holkar Cricket Stadium,not out,0,31,12,647
29,6/5/2018,Kolkata Knight Riders,Wankhede Stadium,c Shubman Gill b S P Narine,1,14,11,661
30,9/5/2018,Kolkata Knight Riders,Eden Gardens,not out,0,8,2,669
31,13/05/2018,Rajasthan Royals,Wankhede Stadium,c K Gowtham b J D Unadkat,1,3,7,672
32,16/05/2018,Kings XI Punjab,Wankhede Stadium,c A S Rajpoot b M P Stoinis,1,32,23,704
33,20/05/2018,Delhi Capitals,Arun Jaitley Stadium,c sub b S Lamichhane,1,4,3,708
34,24/03/2019,Delhi Capitals,Wankhede Stadium,c R Tewatia b T A Boult,1,32,15,740
35,28/03/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,c N A Saini b U T Yadav,1,1,2,741
36,30/03/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c M Ashwin b G C Viljoen,1,10,5,751
37,3/4/2019,Chennai Super Kings,Wankhede Stadium,c R A Jadeja b M M Sharma,1,42,32,793
38,6/4/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †J M Bairstow b S Kaul,1,6,13,799
39,10/4/2019,Kings XI Punjab,Wankhede Stadium,c D A Miller b Mohammed Shami,1,1,2,800
40,13/04/2019,Rajasthan Royals,Wankhede Stadium,not out,0,0,0,800
41,15/04/2019,Royal Challengers Bangalore,Wankhede Stadium,c sub b Mohammed Siraj,1,11,21,811
42,18/04/2019,Delhi Capitals,Arun Jaitley Stadium,not out,0,37,26,848
43,20/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,2,2,850
44,26/04/2019,Chennai Super Kings,MA Chidambaram Stadium,c M J Santner b Imran Tahir,1,1,3,851
45,28/04/2019,Kolkata Knight Riders,Eden Gardens,c & b P P Chawla,1,24,18,875
46,2/5/2019,Sunrisers Hyderabad,Wankhede Stadium,not out,0,9,3,884
47,7/5/2019,Chennai Super Kings,MA Chidambaram Stadium,c & b Imran Tahir,1,0,1,884
48,12/5/2019,Chennai Super Kings,Rajiv Gandhi International Stadium,c & b S N Thakur,1,7,7,891
