Match,Date,Vs,Venue,D/N*,How Dismissed,Out,Runs,Balls,S/R,,TotalRuns,Avg,S/R
1,20/04/2008,Kolkata Knight Riders,Eden Gardens,Yes,c †W P Saha b M Kartik,1,0,3,0,,0,0,0
2,22/04/2008,Delhi Capitals,Rajiv Gandhi International Stadium,Yes,c G D McGrath b R Bhatia,1,66,36,183.33,,66,33,169.23
3,24/04/2008,Rajasthan Royals,Rajiv Gandhi International Stadium,Yes,c D Salunkhe b S K Warne,1,36,30,120,,102,34,147.83
4,1/5/2008,Kings XI Punjab,Rajiv Gandhi International Stadium,Yes,not out,0,76,42,180.95,,178,59.33,160.36
5,3/5/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,Yes,c W Jaffer b J H Kallis,1,57,42,135.71,,235,58.75,153.59
6,6/5/2008,Chennai Super Kings,MA Chidambaram Stadium,Yes,c S Badrinath b M Muralitharan,1,23,17,135.29,,258,51.6,151.76
7,9/5/2008,Rajasthan Royals,Sawai Mansingh Stadium,Yes,run out,1,5,8,62.5,,263,43.83,147.75
8,11/5/2008,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Yes,c S C Ganguly b A B Dinda,1,33,24,137.5,,296,42.29,146.53
9,15/05/2008,Delhi Capitals,Arun Jaitley Stadium,Yes,b M F Maharoof,1,35,18,194.44,,331,41.38,150.45
10,18/05/2008,Mumbai Indians,Rajiv Gandhi International Stadium,Yes,lbw b C R D Fernando,1,6,10,60,,337,37.44,146.52
11,23/05/2008,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Yes,b V R Singh,1,50,27,185.19,,387,38.7,150.58
12,25/05/2008,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Yes,c D W Steyn b R Vinay Kumar,1,17,16,106.25,,404,36.73,147.99
13,19/04/2009,Kolkata Knight Riders,Newlands,Yes,not out,0,36,32,112.5,,440,40,144.26
14,22/04/2009,Royal Challengers Bangalore,Newlands,Yes,c K P Pietersen b D W Steyn,1,52,30,173.33,,492,41,146.87
15,25/04/2009,Mumbai Indians,Kingsmead,No,c S Dhawan b D J J Bravo,1,3,5,60,,495,38.08,145.59
16,27/04/2009,Chennai Super Kings,Kingsmead,No,c †M S Dhoni b L Balaji,1,18,19,94.74,,513,36.64,142.9
17,30/04/2009,Delhi Capitals,SuperSport Park,No,c M Manhas b A Mishra,1,17,20,85,,530,35.33,139.84
18,2/5/2009,Rajasthan Royals,St George's Park,No,c S K Warne b S K Trivedi,1,38,32,118.75,,568,35.5,138.2
19,4/5/2009,Chennai Super Kings,Buffalo Park,Yes,c S Badrinath b S B Jakati,1,21,20,105,,589,34.65,136.66
20,6/5/2009,Mumbai Indians,SuperSport Park,Yes,c D J J Bravo b S L Malinga,1,38,36,105.56,,627,34.83,134.26
21,9/5/2009,Kings XI Punjab,Diamond Oval,No,c †K C Sangakkara b B Lee,1,9,15,60,,636,33.47,131.95
22,11/5/2009,Rajasthan Royals,Diamond Oval,Yes,st N V Ojha b R A Jadeja,1,9,14,64.29,,645,32.25,130.04
23,13/05/2009,Delhi Capitals,Kingsmead,Yes,c D A Warner b P J Sangwan,1,6,7,85.71,,651,31,129.42
24,16/05/2009,Kolkata Knight Riders,Wanderers Stadium,Yes,not out,0,32,13,246.15,,683,32.52,132.36
25,17/05/2009,Kings XI Punjab,Wanderers Stadium,No,b I K Pathan,1,42,26,161.54,,725,32.95,133.76
26,21/05/2009,Royal Challengers Bangalore,SuperSport Park,Yes,c V Kohli b A Kumble,1,12,12,100,,737,32.04,133.03
